架次编号,机型,无人机,电池,开始时刻_s,返回时刻_s,访问服务区顺序,能耗_kWh,返航SOC,电池充满时刻_s
T01,A,U01,A-B1,0.0,2003.737982,S002,3.018691,0.32918,3375.804252
T02,A,U02,A-B2,0.0,1990.409812,S014,2.290977,0.490894,3152.247738
T03,A,U03,A-B3,0.0,1310.899502,S001,1.264346,0.719034,2176.15492
T04,A,U04,A-B4,0.0,2429.586299,S006-S015,2.801201,0.377511,3738.822257
T05,B,U05,B-B1,0.0,1922.740351,S012,2.752414,0.311896,3782.11988
T06,B,U06,B-B2,0.0,1555.379566,S010,1.823196,0.544201,3012.097702
T07,C,U07,C-B1,0.0,2479.563141,S006-S007,4.691941,0.413507,4583.630526
T08,C,U08,C-B2,0.0,2434.442592,S001-S002,6.076589,0.240426,4913.518663
T09,A,U03,A-B5,1311.0,2561.899502,S001,1.282346,0.715034,3432.355027
T10,B,U06,B-B3,1555.379566,3065.851891,S013,1.824759,0.54381,4523.247576
T11,B,U05,B-B4,1923.0,3072.100207,S001,1.220418,0.694896,4267.614508
T12,A,U02,A-B6,1990.409812,4437.952365,S001-S014,2.841672,0.368517,5758.879938
T13,A,U01,A-B3,2176.15492,4438.784198,S003,3.083593,0.314757,5829.599887
T14,C,U08,C-B3,2434.442592,5017.661751,S001-S008,6.301076,0.212366,7557.536477
T15,C,U07,C-B4,2480.0,5173.592418,S007-S003,6.1757,0.228037,7679.511238
T16,B,U06,B-B2,3066.0,5027.831436,S008,2.975217,0.256196,6983.758597
T17,B,U06,B-B3,5028.0,6586.441733,S009,2.096234,0.475942,8161.476351
T18,C,U08,C-B1,5259.0,7748.742869,S011-S004,5.442995,0.319626,10056.220704
T19,A,U03,A-B2,5612.0,7790.800185,S004,3.19112,0.290862,9212.679426
T20,A,U04,A-B1,5612.0,7790.800185,S004,3.086799,0.314045,9182.542241
T21,C,U07,C-B2,5652.0,7958.856686,S005-S001,4.992059,0.375993,10144.206104
T22,B,U05,B-B1,7012.0,8780.276637,S015,2.203266,0.449183,10401.692042
