运输架次,阶段,开始_s,结束_s,保障方式,中继架次
T01,爬升,360.0,420.418085,直连,
T01,巡航,420.418085,633.055814,直连,
T01,巡航,633.055814,723.950501,中继,RS02
T01,巡航,723.950501,802.469698,中继,RS01
T01,巡航,802.469698,920.248494,中继,RS02
T01,巡航,920.248494,998.767691,中继,RS01
T01,巡航,998.767691,1038.027289,中继,RS02
T01,下降,1038.027289,1055.91814,中继,RS02
T01,下降,1055.91814,1073.808991,中继,RS01
T01,投送,1073.808991,1283.808991,中继,RS01
T01,爬升,1283.808991,1298.718033,中继,RS01
T01,爬升,1298.718033,1313.627076,中继,RS02
T01,巡航,1313.627076,1390.828226,中继,RS02
T01,巡航,1390.828226,1429.428802,中继,RS01
T01,巡航,1429.428802,1545.230527,中继,RS02
T01,巡航,1545.230527,1776.833979,中继,RS01
T01,巡航,1776.833979,1931.23628,直连,
T01,下降,1931.23628,2003.737982,直连,
T02,爬升,360.0,514.749129,直连,
T02,巡航,514.749129,723.950501,直连,
T02,巡航,723.950501,966.382617,中继,RS02
T02,下降,966.382617,1062.761572,中继,RS02
T02,投送,1062.761572,1272.761572,中继,RS02
T02,爬升,1272.761572,1353.077368,中继,RS02
T02,巡航,1353.077368,1691.802484,中继,RS02
T02,巡航,1691.802484,1804.710857,直连,
T02,下降,1804.710857,1990.409812,直连,
T03,爬升,390.0,438.452203,直连,
T03,巡航,438.452203,692.95044,直连,
T03,下降,692.95044,728.573084,直连,
T03,投送,728.573084,968.573084,直连,
T03,爬升,968.573084,998.258621,直连,
T03,巡航,998.258621,1061.88318,中继,RS01
T03,巡航,1061.88318,1252.756858,直连,
T03,下降,1252.756858,1310.899502,直连,
T04,爬升,390.0,469.465946,直连,
T04,巡航,469.465946,734.983295,直连,
T04,下降,734.983295,755.50243,直连,
T04,投送,755.50243,965.50243,直连,
T04,爬升,965.50243,1077.655808,直连,
T04,巡航,1077.655808,1468.027545,中继,RS01
T04,下降,1468.027545,1538.731598,中继,RS01
T04,投送,1538.731598,1718.731598,中继,RS01
T04,爬升,1718.731598,1751.164683,中继,RS01
T04,巡航,1751.164683,2126.751118,中继,RS01
T04,巡航,2126.751118,2251.946597,直连,
T04,下降,2251.946597,2429.586299,直连,
T05,爬升,390.0,485.200332,直连,
T05,巡航,485.200332,633.055814,直连,
T05,巡航,633.055814,977.899777,中继,RS02
T05,下降,977.899777,1031.300175,中继,RS02
T05,投送,1031.300175,1271.300175,中继,RS02
T05,爬升,1271.300175,1315.800507,中继,RS02
T05,巡航,1315.800507,1685.325091,中继,RS02
T05,巡航,1685.325091,1808.499953,直连,
T05,下降,1808.499953,1922.740351,直连,
T06,爬升,390.0,492.645512,直连,
T06,巡航,492.645512,633.055814,直连,
T06,巡航,633.055814,811.611835,中继,RS02
T06,下降,811.611835,845.22645,中继,RS02
T06,投送,845.22645,1085.22645,中继,RS02
T06,爬升,1085.22645,1113.238628,中继,RS02
T06,巡航,1113.238628,1352.463371,中继,RS02
