mplot3d_elev（度）,真实仰角θ（度）,方位角（度）,可见地面点数,满足余量(≥2m)的地面点数,最小视线余量（m）,被遮挡节点
26.0,9.23,-180.0,5,3,-121.84,O01-S001-S002-S003-S004-S005-S006-S007-S011-S012-S014
26.0,9.23,-177.0,6,3,-116.65,O01-S001-S003-S004-S005-S006-S007-S011-S012-S014
26.0,9.23,-174.0,5,4,-104.76,O01-S001-S003-S004-S005-S006-S007-S011-S012-S013-S014
26.0,9.23,-171.0,5,5,-99.28,O01-S001-S003-S004-S005-S006-S007-S011-S012-S013-S014
26.0,9.23,-168.0,6,5,-96.55,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
26.0,9.23,-165.0,5,5,-91.02,O01-S001-S003-S004-S005-S006-S007-S011-S012-S013-S014
26.0,9.23,-162.0,6,5,-84.11,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
26.0,9.23,-159.0,6,5,-76.3,O01-S001-S003-S004-S006-S007-S011-S012-S013-S014
26.0,9.23,-156.0,5,5,-66.45,O01-S001-S003-S004-S006-S007-S008-S011-S012-S013-S014
26.0,9.23,-153.0,6,5,-57.02,O01-S003-S004-S006-S007-S008-S011-S012-S013-S014
26.0,9.23,-150.0,8,6,-63.99,S003-S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-147.0,8,8,-58.04,S003-S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-144.0,8,8,-64.09,S003-S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-141.0,9,9,-58.62,S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-138.0,9,9,-43.72,S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-135.0,9,9,-80.22,S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-132.0,9,9,-70.2,S004-S007-S008-S011-S012-S013-S014
26.0,9.23,-129.0,10,9,-81.9,S004-S007-S008-S011-S012-S013
26.0,9.23,-126.0,10,8,-96.08,S004-S007-S008-S011-S012-S013
26.0,9.23,-123.0,10,9,-117.75,S002-S004-S007-S011-S012-S013
26.0,9.23,-120.0,9,9,-123.24,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-117.0,9,9,-102.29,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-114.0,9,9,-63.89,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-111.0,9,9,-56.5,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-108.0,9,9,-46.78,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-105.0,9,8,-43.36,S002-S004-S005-S007-S011-S012-S013
26.0,9.23,-102.0,8,7,-40.84,O01-S001-S002-S004-S007-S011-S012-S013
26.0,9.23,-99.0,9,7,-38.9,O01-S002-S004-S007-S008-S012-S013
26.0,9.23,-96.0,9,8,-39.99,O01-S002-S004-S007-S008-S010-S013
26.0,9.23,-93.0,9,9,-40.67,O01-S002-S004-S007-S008-S010-S013
26.0,9.23,-90.0,10,8,-41.21,O01-S002-S004-S007-S008-S010
26.0,9.23,-87.0,10,8,-63.62,O01-S002-S004-S007-S008-S010
26.0,9.23,-84.0,10,8,-79.5,O01-S002-S004-S007-S008-S010
26.0,9.23,-81.0,10,8,-85.46,O01-S002-S004-S007-S008-S010
26.0,9.23,-78.0,10,8,-88.76,O01-S002-S004-S007-S008-S010
26.0,9.23,-75.0,10,9,-85.52,O01-S002-S004-S007-S008-S010
26.0,9.23,-72.0,10,9,-108.4,O01-S002-S004-S007-S008-S010
26.0,9.23,-69.0,8,7,-134.64,O01-S001-S002-S004-S007-S008-S009-S010
26.0,9.23,-66.0,9,7,-151.77,O01-S002-S004-S007-S008-S009-S010
26.0,9.23,-63.0,8,7,-148.8,O01-S002-S004-S007-S008-S009-S010-S013
26.0,9.23,-60.0,8,7,-153.58,O01-S002-S004-S007-S008-S009-S010-S013
26.0,9.23,-57.0,9,7,-127.45,O01-S002-S004-S007-S008-S009-S013
26.0,9.23,-54.0,9,8,-105.34,O01-S002-S004-S007-S008-S009-S013
26.0,9.23,-51.0,8,8,-79.38,O01-S002-S004-S006-S007-S008-S009-S013
26.0,9.23,-48.0,8,8,-53.73,O01-S002-S004-S006-S007-S008-S009-S013
26.0,9.23,-45.0,7,7,-34.71,O01-S002-S004-S006-S007-S008-S009-S013-S014
26.0,9.23,-42.0,7,7,-49.92,O01-S002-S004-S006-S007-S008-S009-S013-S014
26.0,9.23,-39.0,7,7,-31.83,O01-S002-S004-S006-S007-S008-S009-S013-S014
26.0,9.23,-36.0,6,6,-42.37,O01-S002-S004-S005-S006-S007-S008-S009-S013-S014
26.0,9.23,-33.0,7,6,-69.17,O01-S002-S004-S005-S006-S007-S009-S013-S014
26.0,9.23,-30.0,6,6,-84.11,O01-S002-S004-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-27.0,7,6,-96.99,O01-S002-S004-S005-S006-S007-S009-S010-S014
26.0,9.23,-24.0,7,6,-82.46,O01-S002-S004-S005-S006-S007-S009-S010-S014
26.0,9.23,-21.0,6,6,-65.65,O01-S002-S004-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-18.0,7,6,-60.09,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-15.0,7,7,-67.95,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-12.0,7,7,-59.54,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-9.0,7,7,-73.74,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-6.0,7,7,-66.03,O01-S002-S005-S006-S007-S009-S010-S013-S014
26.0,9.23,-3.0,9,8,-64.13,O01-S005-S006-S007-S009-S010-S014
26.0,9.23,0.0,10,9,-76.99,O01-S005-S006-S007-S009-S010
26.0,9.23,3.0,10,9,-36.02,O01-S005-S006-S007-S009-S010
26.0,9.23,6.0,10,8,-39.52,O01-S005-S006-S007-S009-S010
26.0,9.23,9.0,9,8,-43.05,O01-S005-S006-S007-S009-S010-S011
26.0,9.23,12.0,8,7,-46.88,O01-S005-S006-S007-S009-S010-S011-S012
26.0,9.23,15.0,8,7,-38.99,O01-S005-S006-S007-S009-S010-S011-S012
26.0,9.23,18.0,8,6,-38.97,O01-S005-S006-S007-S009-S010-S011-S012
26.0,9.23,21.0,7,5,-36.42,O01-S005-S006-S007-S009-S010-S011-S012-S015
26.0,9.23,24.0,6,4,-41.97,O01-S003-S005-S006-S007-S009-S010-S011-S012-S015
26.0,9.23,27.0,7,5,-47.8,S003-S004-S005-S006-S007-S009-S011-S012-S015
26.0,9.23,30.0,7,6,-48.18,S003-S004-S005-S006-S007-S009-S011-S012-S015
26.0,9.23,33.0,7,6,-44.4,S003-S004-S005-S006-S007-S009-S011-S012-S015
26.0,9.23,36.0,9,5,-56.19,S002-S003-S005-S006-S009-S011-S015
26.0,9.23,39.0,8,6,-70.56,S002-S003-S005-S006-S009-S011-S012-S015
26.0,9.23,42.0,7,7,-81.99,S002-S003-S005-S006-S007-S009-S011-S012-S015
26.0,9.23,45.0,7,7,-86.42,S002-S003-S005-S006-S007-S011-S012-S014-S015
26.0,9.23,48.0,7,6,-82.39,S002-S003-S005-S006-S007-S011-S012-S014-S015
