编号,地面海拔（m）,相对O01东向x（km）,相对O01北向y（km）,地面锚点最小视线余量（m）,标记点（作业海拔）最小视线余量（m）,地面锚点是否被遮挡
O01,128.726,0.000,0.000,7.4,7.4,否
S001,153.961,1.269,2.778,9.7,39.7,否
S002,188.794,2.838,6.846,8.2,38.2,否
S003,308.511,-6.354,3.519,6.4,36.4,否
S004,195.116,0.750,7.678,7.4,37.4,否
S005,169.040,-0.261,5.274,7.6,37.6,否
S006,275.127,-3.185,-0.088,-1.5,28.5,是
S007,314.222,-3.898,2.316,0.0,30.0,否
S008,248.289,-1.855,7.863,15.1,45.1,否
S009,189.437,2.387,5.182,7.8,37.8,否
S010,321.582,4.630,1.207,8.1,38.1,否
S011,178.043,-1.078,2.593,5.4,35.4,否
S012,253.315,5.358,5.090,13.0,43.0,否
S013,321.708,4.155,2.501,3.6,33.6,否
S014,320.983,5.407,-0.364,14.0,44.0,否
S015,436.229,-3.943,4.535,7.5,37.5,否
