服务区航段,单程水平距离（km）,航段DEM最高海拔（m）
S001,3.053978725836499,223.05661010742188
S002,7.411308772715872,258.9542541503906
S003,7.263177684172112,511.80413818359375
S004,7.71469454861146,348.2391662597656
S005,5.280606327336991,276.410888671875
S006,3.186208046027234,316.09783935546875
S007,4.534460184091202,461.9731750488281
S008,8.079030930812008,322.9093322753906
S009,5.705144195097976,243.22891235351562
S010,4.784494403064056,385.63653564453125
S011,2.808074141172352,245.36175537109375
S012,7.390490025921055,363.3009948730469
S013,4.849241909110609,349.18182373046875
S014,5.419601206671952,541.9473876953125
S015,6.0093820776472695,521.7992553710938
