返航余量（%）,服务区编号,机型编号,最大安全载荷（kg）,该服务区可完成,全任务架次,全任务能耗（kWh）,全任务累计时间（s）
10.0,S001,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S001,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S001,C,80.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S002,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S002,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S002,C,78.36850906237788,True,18.0,59.240257801576476,32798.50003202202
10.0,S003,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S003,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S003,C,78.25264297726179,True,18.0,59.240257801576476,32798.50003202202
10.0,S004,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S004,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S004,C,74.569313707219,True,18.0,59.240257801576476,32798.50003202202
10.0,S005,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S005,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S005,C,80.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S006,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S006,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S006,C,80.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S007,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S007,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S007,C,80.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S008,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S008,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S008,C,71.10862997231348,True,18.0,59.240257801576476,32798.50003202202
10.0,S009,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S009,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S009,C,80.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S010,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S010,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S010,C,80.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S011,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S011,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S011,C,80.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S012,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S012,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S012,C,78.01651532413628,True,18.0,59.240257801576476,32798.50003202202
10.0,S013,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S013,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S013,C,80.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S014,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S014,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S014,C,80.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S015,A,25.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S015,B,30.0,True,18.0,59.240257801576476,32798.50003202202
10.0,S015,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S001,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S001,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S001,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S002,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S002,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S002,C,68.5543008483345,True,18.0,59.240257801576476,32798.50003202202
20.0,S003,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S003,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S003,C,68.23549018466191,True,18.0,59.240257801576476,32798.50003202202
20.0,S004,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S004,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S004,C,63.25931100733153,True,18.0,59.240257801576476,32798.50003202202
20.0,S005,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S005,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S005,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S006,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S006,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S006,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S007,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S007,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S007,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S008,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S008,B,28.63245377156552,True,18.0,59.240257801576476,32798.50003202202
20.0,S008,C,58.435840766971026,True,18.0,59.240257801576476,32798.50003202202
20.0,S009,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S009,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S009,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S010,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S010,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S010,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S011,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S011,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S011,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S012,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S012,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S012,C,68.01467178965129,True,18.0,59.240257801576476,32798.50003202202
20.0,S013,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S013,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S013,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S014,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S014,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S014,C,80.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S015,A,25.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S015,B,30.0,True,18.0,59.240257801576476,32798.50003202202
20.0,S015,C,80.0,True,18.0,59.240257801576476,32798.50003202202
30.0,S001,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S001,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S001,C,80.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S002,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S002,B,26.5805764686403,True,20.0,67.35771121289534,36616.848710842176
30.0,S002,C,52.481158901198405,True,20.0,67.35771121289534,36616.848710842176
30.0,S003,A,24.77302107771929,True,20.0,67.35771121289534,36616.848710842176
30.0,S003,B,25.443715148404262,True,20.0,67.35771121289534,36616.848710842176
30.0,S003,C,51.84028724495713,True,20.0,67.35771121289534,36616.848710842176
30.0,S004,A,19.60321303627289,True,20.0,67.35771121289534,36616.848710842176
30.0,S004,B,23.19341761135601,True,20.0,67.35771121289534,36616.848710842176
30.0,S004,C,44.037545805229875,True,20.0,67.35771121289534,36616.848710842176
30.0,S005,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S005,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S005,C,80.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S006,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S006,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S006,C,80.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S007,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S007,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S007,C,80.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S008,A,13.516993738600094,True,20.0,67.35771121289534,36616.848710842176
30.0,S008,B,20.731701705386417,True,20.0,67.35771121289534,36616.848710842176
30.0,S008,C,36.00091947350207,True,20.0,67.35771121289534,36616.848710842176
30.0,S009,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S009,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S009,C,78.94372776252946,True,20.0,67.35771121289534,36616.848710842176
30.0,S010,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S010,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S010,C,80.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S011,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S011,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S011,C,80.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S012,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S012,B,25.92769652137283,True,20.0,67.35771121289534,36616.848710842176
30.0,S012,C,51.59794805957709,True,20.0,67.35771121289534,36616.848710842176
30.0,S013,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S013,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S013,C,80.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S014,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S014,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S014,C,80.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S015,A,25.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S015,B,30.0,True,20.0,67.35771121289534,36616.848710842176
30.0,S015,C,72.87609950827384,True,20.0,67.35771121289534,36616.848710842176
40.0,S001,A,25.0,True,nan,nan,nan
40.0,S001,B,30.0,True,nan,nan,nan
40.0,S001,C,80.0,True,nan,nan,nan
40.0,S002,A,,True,nan,nan,nan
40.0,S002,B,15.389291079363524,True,nan,nan,nan
40.0,S002,C,18.078020197117702,True,nan,nan,nan
40.0,S003,A,,True,nan,nan,nan
40.0,S003,B,12.898379416061015,True,nan,nan,nan
40.0,S003,C,17.40969411618504,True,nan,nan,nan
40.0,S004,A,,False,nan,nan,nan
40.0,S004,B,8.069965845483418,False,nan,nan,nan
40.0,S004,C,,False,nan,nan,nan
40.0,S005,A,25.0,True,nan,nan,nan
40.0,S005,B,30.0,True,nan,nan,nan
40.0,S005,C,72.13771519711122,True,nan,nan,nan
40.0,S006,A,25.0,True,nan,nan,nan
40.0,S006,B,30.0,True,nan,nan,nan
40.0,S006,C,80.0,True,nan,nan,nan
40.0,S007,A,25.0,True,nan,nan,nan
40.0,S007,B,30.0,True,nan,nan,nan
40.0,S007,C,80.0,True,nan,nan,nan
40.0,S008,A,,False,nan,nan,nan
40.0,S008,B,,False,nan,nan,nan
40.0,S008,C,,False,nan,nan,nan
40.0,S009,A,25.0,True,nan,nan,nan
40.0,S009,B,30.0,True,nan,nan,nan
40.0,S009,C,65.68190293831498,True,nan,nan,nan
40.0,S010,A,25.0,True,nan,nan,nan
40.0,S010,B,30.0,True,nan,nan,nan
40.0,S010,C,79.24111784621583,True,nan,nan,nan
40.0,S011,A,25.0,True,nan,nan,nan
40.0,S011,B,30.0,True,nan,nan,nan
