返航余量（%）,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,架次能耗（kWh）,作业时间（s）
10.0,S001,C,"S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02,S001-WAT-01,S001-WAT-02,S001-WAT-03",78.0,0.23500000000000001,3.004662059347582,1627.4267416985467
10.0,S001,C,"S001-MED-01,S001-MED-02,S001-WAT-04,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08",76.0,0.159,2.926237390911879,1561.4267416985467
10.0,S002,C,"S002-FOD-01,S002-HYG-01,S002-WAT-01,S002-WAT-02,S002-WAT-03",56.0,0.14400000000000002,5.7393336052458945,2045.0081265825386
10.0,S002,B,"S002-MED-01,S002-FOD-02,S002-WAT-04",25.0,0.067,2.7218980212055692,1819.8900418657418
10.0,S003,C,"S003-FOD-01,S003-HYG-01,S003-WAT-01,S003-WAT-02,S003-WAT-03",56.0,0.14400000000000002,5.7632815788989635,2369.8108581124256
10.0,S003,B,"S003-MED-01,S003-FOD-02,S003-WAT-04",25.0,0.067,2.779101785257816,2080.2428120512277
10.0,S004,C,"S004-MED-01,S004-FOD-01,S004-HYG-01,S004-WAT-01,S004-WAT-02,S004-WAT-03",59.0,0.156,6.176858606791459,2305.1854914677906
10.0,S005,C,"S005-MED-01,S005-FOD-01,S005-HYG-01,S005-WAT-01,S005-WAT-02,S005-WAT-03",59.0,0.156,4.238735064547415,1880.0456170960524
10.0,S006,C,"S006-MED-01,S006-FOD-01,S006-HYG-01,S006-WAT-01,S006-WAT-02,S006-WAT-03",59.0,0.156,2.593934934324972,1560.8638852739632
10.0,S007,C,"S007-MED-01,S007-FOD-01,S007-HYG-01,S007-WAT-01,S007-WAT-02",45.0,0.129,3.4103759924476353,1907.4821014862182
10.0,S008,C,"S008-MED-01,S008-FOD-01,S008-HYG-01,S008-WAT-01,S008-WAT-02",45.0,0.129,5.857451478257397,2203.759889419427
10.0,S009,B,"S009-MED-01,S009-FOD-01,S009-WAT-01",25.0,0.067,2.1024310782372937,1560.7797905471098
10.0,S010,B,"S010-MED-01,S010-FOD-01,S010-WAT-01",25.0,0.067,1.821004406007365,1554.5722391614418
10.0,S011,B,"S011-MED-01,S011-FOD-01,S011-WAT-01",25.0,0.067,1.077146138189977,1189.6308045644855
10.0,S012,B,"S012-MED-01,S012-FOD-01,S012-WAT-01",25.0,0.067,2.7551934702444854,1923.8014006521175
10.0,S013,B,"S013-MED-01,S013-FOD-01,S013-WAT-01",25.0,0.067,1.8245337426160744,1510.400941459331
10.0,S014,B,"S014-MED-01,S014-FOD-01,S014-WAT-01",25.0,0.067,2.1372327174195584,1868.598447869045
10.0,S015,B,"S015-MED-01,S015-FOD-01,S015-WAT-01",25.0,0.067,2.310845731625145,1829.5741010160093
20.0,S001,C,"S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02,S001-WAT-01,S001-WAT-02,S001-WAT-03",78.0,0.23500000000000001,3.004662059347582,1627.4267416985467
20.0,S001,C,"S001-MED-01,S001-MED-02,S001-WAT-04,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08",76.0,0.159,2.926237390911879,1561.4267416985467
20.0,S002,C,"S002-FOD-01,S002-HYG-01,S002-WAT-01,S002-WAT-02,S002-WAT-03",56.0,0.14400000000000002,5.7393336052458945,2045.0081265825386
20.0,S002,B,"S002-MED-01,S002-FOD-02,S002-WAT-04",25.0,0.067,2.7218980212055692,1819.8900418657418
20.0,S003,C,"S003-FOD-01,S003-HYG-01,S003-WAT-01,S003-WAT-02,S003-WAT-03",56.0,0.14400000000000002,5.7632815788989635,2369.8108581124256
20.0,S003,B,"S003-MED-01,S003-FOD-02,S003-WAT-04",25.0,0.067,2.779101785257816,2080.2428120512277
20.0,S004,C,"S004-MED-01,S004-FOD-01,S004-HYG-01,S004-WAT-01,S004-WAT-02,S004-WAT-03",59.0,0.156,6.176858606791459,2305.1854914677906
20.0,S005,C,"S005-MED-01,S005-FOD-01,S005-HYG-01,S005-WAT-01,S005-WAT-02,S005-WAT-03",59.0,0.156,4.238735064547415,1880.0456170960524
20.0,S006,C,"S006-MED-01,S006-FOD-01,S006-HYG-01,S006-WAT-01,S006-WAT-02,S006-WAT-03",59.0,0.156,2.593934934324972,1560.8638852739632
20.0,S007,C,"S007-MED-01,S007-FOD-01,S007-HYG-01,S007-WAT-01,S007-WAT-02",45.0,0.129,3.4103759924476353,1907.4821014862182
20.0,S008,C,"S008-MED-01,S008-FOD-01,S008-HYG-01,S008-WAT-01,S008-WAT-02",45.0,0.129,5.857451478257397,2203.759889419427
20.0,S009,B,"S009-MED-01,S009-FOD-01,S009-WAT-01",25.0,0.067,2.1024310782372937,1560.7797905471098
20.0,S010,B,"S010-MED-01,S010-FOD-01,S010-WAT-01",25.0,0.067,1.821004406007365,1554.5722391614418
20.0,S011,B,"S011-MED-01,S011-FOD-01,S011-WAT-01",25.0,0.067,1.077146138189977,1189.6308045644855
20.0,S012,B,"S012-MED-01,S012-FOD-01,S012-WAT-01",25.0,0.067,2.7551934702444854,1923.8014006521175
20.0,S013,B,"S013-MED-01,S013-FOD-01,S013-WAT-01",25.0,0.067,1.8245337426160744,1510.400941459331
20.0,S014,B,"S014-MED-01,S014-FOD-01,S014-WAT-01",25.0,0.067,2.1372327174195584,1868.598447869045
20.0,S015,B,"S015-MED-01,S015-FOD-01,S015-WAT-01",25.0,0.067,2.310845731625145,1829.5741010160093
30.0,S001,C,"S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02,S001-WAT-01,S001-WAT-02,S001-WAT-03",78.0,0.23500000000000001,3.004662059347582,1627.4267416985467
