架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,作业时间（s）,架次能耗（kWh）,返航SOC（%）
Q1-001,S001,C,"S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02,S001-WAT-01,S001-WAT-02,S001-WAT-03",78.0,0.23500000000000001,619.4267416985468,1627.4267416985467,3.004662059347582,62.44172425815522
Q1-002,S001,C,"S001-MED-01,S001-MED-02,S001-WAT-04,S001-WAT-05,S001-WAT-06,S001-WAT-07,S001-WAT-08",76.0,0.159,619.4267416985468,1561.4267416985467,2.926237390911879,63.42203261360151
Q1-003,S002,C,"S002-FOD-01,S002-HYG-01,S002-WAT-01,S002-WAT-02,S002-WAT-03",56.0,0.14400000000000002,1235.0081265825386,2045.0081265825386,5.7393336052458945,28.258329934426317
Q1-004,S002,B,"S002-MED-01,S002-FOD-02,S002-WAT-04",25.0,0.067,1189.8900418657418,1819.8900418657418,2.7218980212055692,31.95254946986077
Q1-005,S003,C,"S003-FOD-01,S003-HYG-01,S003-WAT-01,S003-WAT-02,S003-WAT-03",56.0,0.14400000000000002,1559.8108581124256,2369.8108581124256,5.7632815788989635,27.958980263762957
Q1-006,S003,B,"S003-MED-01,S003-FOD-02,S003-WAT-04",25.0,0.067,1450.2428120512277,2080.2428120512277,2.779101785257816,30.522455368554603
Q1-007,S004,C,"S004-MED-01,S004-FOD-01,S004-HYG-01,S004-WAT-01,S004-WAT-02,S004-WAT-03",59.0,0.156,1429.1854914677908,2305.1854914677906,6.176858606791459,22.789267415106764
Q1-008,S005,C,"S005-MED-01,S005-FOD-01,S005-HYG-01,S005-WAT-01,S005-WAT-02,S005-WAT-03",59.0,0.156,1004.0456170960523,1880.0456170960524,4.238735064547415,47.01581169315732
Q1-009,S006,C,"S006-MED-01,S006-FOD-01,S006-HYG-01,S006-WAT-01,S006-WAT-02,S006-WAT-03",59.0,0.156,684.8638852739633,1560.8638852739632,2.593934934324972,67.57581332093785
Q1-010,S007,C,"S007-MED-01,S007-FOD-01,S007-HYG-01,S007-WAT-01,S007-WAT-02",45.0,0.129,1097.4821014862182,1907.4821014862182,3.4103759924476353,57.370300094404556
Q1-011,S008,C,"S008-MED-01,S008-FOD-01,S008-HYG-01,S008-WAT-01,S008-WAT-02",45.0,0.129,1393.7598894194273,2203.759889419427,5.857451478257397,26.781856521782533
Q1-012,S009,B,"S009-MED-01,S009-FOD-01,S009-WAT-01",25.0,0.067,930.7797905471099,1560.7797905471098,2.1024310782372937,47.43922304406766
Q1-013,S010,B,"S010-MED-01,S010-FOD-01,S010-WAT-01",25.0,0.067,924.5722391614418,1554.5722391614418,1.821004406007365,54.47488984981588
Q1-014,S011,B,"S011-MED-01,S011-FOD-01,S011-WAT-01",25.0,0.067,559.6308045644856,1189.6308045644855,1.077146138189977,73.07134654525058
Q1-015,S012,B,"S012-MED-01,S012-FOD-01,S012-WAT-01",25.0,0.067,1293.8014006521175,1923.8014006521175,2.7551934702444854,31.120163243887866
Q1-016,S013,B,"S013-MED-01,S013-FOD-01,S013-WAT-01",25.0,0.067,880.400941459331,1510.400941459331,1.8245337426160744,54.386656434598144
Q1-017,S014,B,"S014-MED-01,S014-FOD-01,S014-WAT-01",25.0,0.067,1238.598447869045,1868.598447869045,2.1372327174195584,46.56918206451104
Q1-018,S015,B,"S015-MED-01,S015-FOD-01,S015-WAT-01",25.0,0.067,1199.5741010160093,1829.5741010160093,2.310845731625145,42.22885670937138
