服务区编号,机型编号,水平距离（m）,DEM最高高程（m）,计划巡航海拔（m）,经过DEM像元数,最大安全载荷（kg）,满载能耗（kWh）,空载能耗（kWh）
S001,A,3063.411326288906,223.05661010742188,273.0566101074219,136,25.0,1.3165122674842529,1.164910094601889
S001,B,3063.411326288906,223.05661010742188,273.0566101074219,136,30.0,1.2776290042236258,0.9329079662820073
S001,C,3063.411326288906,223.05661010742188,273.0566101074219,136,80.0,3.090851368702457,1.9471695293351445
S002,A,7435.278518338766,258.9542541503906,308.9542541503906,323,25.0,3.1001263328328896,2.748394730917137
S002,B,7435.278518338766,258.9542541503906,308.9542541503906,323,30.0,3.008148588520079,2.190938722103744
S002,C,7435.278518338766,258.9542541503906,308.9542541503906,323,68.5543008483345,7.371083414343376,4.647148054937269
S003,A,7261.075570364676,511.80413818359375,561.8041381835938,338,25.0,3.1559037328528223,2.7880952690429117
S003,B,7261.075570364676,511.80413818359375,561.8041381835938,338,30.0,3.063509251861978,2.236264793550705
S003,C,7261.075570364676,511.80413818359375,561.8041381835938,338,68.23549018466191,7.380145685449058,4.642213535053819
S004,A,7745.662441501595,348.2391662597656,398.2391662597656,276,25.0,3.2792387562627057,2.9050947979113246
S004,B,7745.662441501595,348.2391662597656,398.2391662597656,276,30.0,3.181969519243323,2.3213701366161525
S004,C,7745.662441501595,348.2391662597656,398.2391662597656,276,63.25931100733153,7.745430654467019,4.883051169549026
S005,A,5302.02013115008,276.410888671875,326.410888671875,181,25.0,2.253542850012008,1.9961567267453426
S005,B,5302.02013115008,276.410888671875,326.410888671875,181,30.0,2.1866752576402173,1.5960474113219572
S005,C,5302.02013115008,276.410888671875,326.410888671875,181,80.0,5.313520172860585,3.3500861994441204
S006,A,3181.0333082558964,316.09783935546875,366.09783935546875,116,25.0,1.3875905551279843,1.2218950191102953
S006,B,3181.0333082558964,316.09783935546875,366.09783935546875,116,30.0,1.3479933132328137,0.9801094713442734
S006,C,3181.0333082558964,316.09783935546875,366.09783935546875,116,80.0,3.2482386943139674,2.034172382738966
S007,A,4533.827897987457,461.9731750488281,511.9731750488281,213,25.0,2.0176122529269254,1.7772432331261645
S007,B,4533.827897987457,461.9731750488281,511.9731750488281,213,30.0,1.9594661820545793,1.430082790000619
S007,C,4533.827897987457,461.9731750488281,511.9731750488281,213,80.0,4.678743500520583,2.934905891088229
S008,A,8109.473184927932,322.9093322753906,372.9093322753906,321,25.0,3.3994873677619952,3.011367767164405
S008,B,8109.473184927932,322.9093322753906,372.9093322753906,321,28.63245377156552,3.2990854676437262,2.402381371956162
S008,C,8109.473184927932,322.9093322753906,372.9093322753906,321,58.435840766971026,8.067582611187303,5.082271089725377
S009,A,5722.680393214653,243.22891235351562,293.2289123535156,253,25.0,2.393926476391099,2.1207491832688588
S009,B,5722.680393214653,243.22891235351562,293.2289123535156,253,30.0,2.3232406751510384,1.6913083367935142
S009,C,5722.680393214653,243.22891235351562,293.2289123535156,253,80.0,5.686544052679953,3.582147165542332
S010,A,4778.43990162097,385.63653564453125,435.63653564453125,203,25.0,2.0682047481391095,1.824048546053064
S010,B,4778.43990162097,385.63653564453125,435.63653564453125,203,30.0,2.00859110338851,1.4616637118276836
S010,C,4778.43990162097,385.63653564453125,435.63653564453125,203,80.0,4.852782183631606,3.044240282207792
S011,A,2817.1517251516107,245.36175537109375,295.36175537109375,123,25.0,1.2232594645413943,1.080629224937061
S011,B,2817.1517251516107,245.36175537109375,295.36175537109375,123,30.0,1.1874761185674496,0.8666083393627642
S011,C,2817.1517251516107,245.36175537109375,295.36175537109375,123,80.0,2.862023652578451,1.7999914995966073
S012,A,7398.449561287365,363.3009948730469,413.3009948730469,354,25.0,3.134380861615882,2.774436848599735
S012,B,7398.449561287365,363.3009948730469,413.3009948730469,354,30.0,3.042017087313587,2.216909523580082
S012,C,7398.449561287365,363.3009948730469,413.3009948730469,354,68.01467178965129,7.406026273450082,4.663728479956533
S013,A,4848.706999909826,349.18182373046875,399.18182373046875,228,25.0,2.073879004872143,1.8300088794336236
S013,B,4848.706999909826,349.18182373046875,399.18182373046875,228,30.0,2.0141036277141757,1.4637853337641733
S013,C,4848.706999909826,349.18182373046875,399.18182373046875,228,80.0,4.890905454625271,3.068173374061907
S014,A,5410.9170943694,541.9473876953125,591.9473876953125,203,25.0,2.422096452231748,2.1346939981419317
S014,B,5410.9170943694,541.9473876953125,591.9473876953125,203,30.0,2.351834421328119,1.719399882262423
S014,C,5410.9170943694,541.9473876953125,591.9473876953125,203,80.0,5.5991884605867055,3.5162921736738317
S015,A,6019.113948538039,521.7992553710938,571.7992553710938,286,25.0,2.623130635439933,2.310265049010689
S015,B,6019.113948538039,521.7992553710938,571.7992553710938,286,30.0,2.548200770132621,1.8528891537237924
S015,C,6019.113948538039,521.7992553710938,571.7992553710938,286,80.0,6.142374354643366,3.847249315389197
