服务区编号,方案,架次数,总能耗（kWh）,累计作业时间（s）
S001,架次→能耗→时间,2,5.930899450259461,3188.8534833970934
S001,能耗优先,2,5.930899450259461,3188.8534833970934
S002,架次→能耗→时间,2,8.461231626451465,3864.8981684482806
S002,能耗优先,2,8.461231626451465,3864.8981684482806
S003,架次→能耗→时间,2,8.54238336415678,4450.053670163654
S003,能耗优先,2,8.54238336415678,4450.053670163654
S004,架次→能耗→时间,1,6.176858606791459,2305.1854914677906
S004,能耗优先,1,6.176858606791459,2305.1854914677906
S005,架次→能耗→时间,1,4.238735064547415,1880.0456170960524
S005,能耗优先,1,4.238735064547415,1880.0456170960524
S006,架次→能耗→时间,1,2.593934934324972,1560.8638852739632
S006,能耗优先,1,2.593934934324972,1560.8638852739632
S007,架次→能耗→时间,1,3.4103759924476353,1907.4821014862182
S007,能耗优先,1,3.4103759924476353,1907.4821014862182
S008,架次→能耗→时间,1,5.857451478257397,2203.759889419427
S008,能耗优先,2,5.759406193222551,3871.780223988594
S009,架次→能耗→时间,1,2.1024310782372937,1560.7797905471098
S009,能耗优先,1,2.1024310782372937,1560.7797905471098
S010,架次→能耗→时间,1,1.821004406007365,1554.5722391614418
S010,能耗优先,1,1.821004406007365,1554.5722391614418
S011,架次→能耗→时间,1,1.077146138189977,1189.6308045644855
S011,能耗优先,1,1.077146138189977,1189.6308045644855
S012,架次→能耗→时间,1,2.7551934702444854,1923.8014006521175
S012,能耗优先,1,2.7551934702444854,1923.8014006521175
S013,架次→能耗→时间,1,1.8245337426160744,1510.400941459331
S013,能耗优先,1,1.8245337426160744,1510.400941459331
S014,架次→能耗→时间,1,2.1372327174195584,1868.598447869045
S014,能耗优先,1,2.1372327174195584,1868.598447869045
S015,架次→能耗→时间,1,2.310845731625145,1829.5741010160093
S015,能耗优先,1,2.310845731625145,1829.5741010160093
