服务区,去程水平距离（m）,返程水平距离（m）,去程巡航海拔（m）,返程巡航海拔（m）,去程爬升（m）,去程下降（m）,返程爬升（m）,返程下降（m）,水平总距离（m）,总爬升（m）,总下降（m）
S001,3053.978725836499,3053.978725836499,273.0566101074219,273.0566101074219,144.33106994628906,89.09524536132812,89.09524536132812,144.33106994628906,6107.957451672998,233.4263153076172,233.4263153076172
S002,7411.308772715872,7411.308772715872,308.9542541503906,308.9542541503906,180.2287139892578,90.16001892089844,90.16001892089844,180.2287139892578,14822.617545431744,270.38873291015625,270.38873291015625
S003,7263.177684172111,7263.177684172111,561.8041381835938,561.8041381835938,433.07859802246094,223.29345703125,223.29345703125,433.07859802246094,14526.355368344222,656.3720550537109,656.3720550537109
S004,7714.69454861146,7714.69454861146,398.2391662597656,398.2391662597656,269.5136260986328,173.1234130859375,173.1234130859375,269.5136260986328,15429.38909722292,442.6370391845703,442.6370391845703
S005,5280.606327336991,5280.606327336991,326.410888671875,326.410888671875,197.6853485107422,127.371337890625,127.371337890625,197.6853485107422,10561.212654673982,325.0566864013672,325.0566864013672
S006,3186.208046027234,3186.208046027234,366.09783935546875,366.09783935546875,237.37229919433594,60.970611572265625,60.970611572265625,237.37229919433594,6372.416092054468,298.34291076660156,298.34291076660156
S007,4534.460184091202,4534.460184091202,511.9731750488281,511.9731750488281,383.2476348876953,167.75112915039062,167.75112915039062,383.2476348876953,9068.920368182404,550.9987640380859,550.9987640380859
S008,8079.030930812008,8079.030930812008,372.9093322753906,372.9093322753906,244.1837921142578,94.62014770507812,94.62014770507812,244.1837921142578,16158.061861624015,338.80393981933594,338.80393981933594
S009,5705.144195097976,5705.144195097976,293.2289123535156,293.2289123535156,164.5033721923828,73.79182434082031,73.79182434082031,164.5033721923828,11410.288390195952,238.29519653320312,238.29519653320312
S010,4784.494403064056,4784.494403064056,435.63653564453125,435.63653564453125,306.91099548339844,84.05487060546875,84.05487060546875,306.91099548339844,9568.988806128113,390.9658660888672,390.9658660888672
S011,2808.074141172352,2808.074141172352,295.36175537109375,295.36175537109375,166.63621520996094,87.31889343261719,87.31889343261719,166.63621520996094,5616.148282344704,253.95510864257812,253.95510864257812
S012,7390.490025921055,7390.490025921055,413.3009948730469,413.3009948730469,284.57545471191406,129.9859161376953,129.9859161376953,284.57545471191406,14780.98005184211,414.5613708496094,414.5613708496094
S013,4849.241909110609,4849.241909110609,399.18182373046875,399.18182373046875,270.45628356933594,47.4737548828125,47.4737548828125,270.45628356933594,9698.483818221219,317.93003845214844,317.93003845214844
S014,5419.601206671951,5419.601206671951,591.9473876953125,591.9473876953125,463.2218475341797,240.96487426757812,240.96487426757812,463.2218475341797,10839.202413343903,704.1867218017578,704.1867218017578
S015,6009.382077647269,6009.382077647269,571.7992553710938,571.7992553710938,443.07371520996094,105.57000732421875,105.57000732421875,443.07371520996094,12018.764155294539,548.6437225341797,548.6437225341797
