服务区编号,机型编号,DEM最高高程（m）,密集采样点数,球面水平距离（m）,WGS84水平距离（m）,上次载荷（kg）,球面复算载荷（kg）,WGS84复算载荷（kg）,WGS84-上次（kg）,WGS84空载能耗（kWh）,WGS84额定满载能耗（kWh）,WGS84边界残差（kWh）
S001,A,223.05661010742188,1807,3063.411326288906,3053.9788434849133,25.0,25.0,25.0,0.0,1.161514400792452,1.3126921119486359,-2.287307888051364
S001,B,223.05661010742188,1807,3063.411326288906,3053.9788434849133,30.0,30.0,30.0,0.0,0.9302129711951524,1.2739233859792,-1.9260766140208
S001,C,223.05661010742188,1807,3063.411326288906,3053.9788434849133,80.0,80.0,80.0,0.0,1.9413649245326878,3.0816607444319004,-3.3183392555681
S002,A,258.9542541503906,4452,7435.278518338766,7411.310455014392,25.0,25.0,25.0,0.0,2.739766228120363,3.090419267186519,-0.5095807328134812
S002,B,258.9542541503906,4452,7435.278518338766,7411.310455014392,30.0,30.0,30.0,0.0,2.184090704011066,2.998732563642647,-0.201267436357353
S002,C,258.9542541503906,4452,7435.278518338766,7411.310455014392,68.5543008483345,68.55430084833452,68.8609536809078,0.3066528325732918,4.632398477506884,7.347729916745268,8.881784197001252e-16
S003,A,511.80413818359375,4465,7261.075570364676,7263.179256218293,25.0,25.0,25.0,0.0,2.7888525959502135,3.1567557256235372,-0.44324427437646285
S003,B,511.80413818359375,4465,7261.075570364676,7263.179256218293,30.0,30.0,30.0,0.0,2.236865846651738,3.064335699875899,-0.13566430012410136
S003,C,511.80413818359375,4465,7261.075570364676,7263.179256218293,68.23549018466191,68.2354901846619,68.20800662182508,-0.027483562836835063,4.643508110963737,7.3821954306397615,0.0
S004,A,348.2391662597656,4993,7745.662441501595,7714.696449109275,25.0,25.0,25.0,0.0,2.8939470406500902,3.2666975293438165,-0.33330247065618357
S004,B,348.2391662597656,4993,7745.662441501595,7714.696449109275,30.0,30.0,30.0,0.0,2.3125227102183477,3.1698043079463405,-0.030195692053659684
S004,C,348.2391662597656,4993,7745.662441501595,7714.696449109275,63.25931100733153,63.25931100733079,63.698042061419486,0.43873105408795254,4.863995174230676,7.715258661879631,-2.7533531010703882e-14
S005,A,276.410888671875,3430,5302.02013115008,5280.606936870006,25.0,25.0,25.0,0.0,1.9884479768045165,2.2448705063285783,-1.3551294936714218
S005,B,276.410888671875,3430,5302.02013115008,5280.606936870006,30.0,30.0,30.0,0.0,1.5899293558133651,2.1782629313159028,-1.0217370686840974
S005,C,276.410888671875,3430,5302.02013115008,5280.606936870006,80.0,80.0,80.0,0.0,3.3369088491179215,5.292656034844104,-1.1073439651558967
S006,A,316.09783935546875,2238,3181.0333082558964,3186.208178225374,25.0,25.0,25.0,0.0,1.2237579722993073,1.389686377465623,-2.210313622534377
S006,B,316.09783935546875,2238,3181.0333082558964,3186.208178225374,30.0,30.0,30.0,0.0,0.9815880056212671,1.3500262978636801,-1.84997370213632
S006,C,316.09783935546875,2238,3181.0333082558964,3186.208178225374,80.0,80.0,80.0,0.0,2.037356918104799,3.2532808753098688,-3.1467191246901316
S007,A,461.9731750488281,2740,4533.827897987457,4534.460566610705,25.0,25.0,25.0,0.0,1.7774709938305342,2.017868483719341,-1.582131516280659
S007,B,461.9731750488281,2740,4533.827897987457,4534.460566610705,30.0,30.0,30.0,0.0,1.4302635524644045,1.9597147304422844,-1.2402852695577158
S007,C,461.9731750488281,2740,4533.827897987457,4534.460566610705,80.0,80.0,80.0,0.0,2.9352952256256133,4.67935994687144,-1.7206400531285606
S008,A,322.9093322753906,5114,8109.473184927932,8079.033112393255,25.0,25.0,25.0,0.0,3.000409341051921,3.3871591383854507,-0.2128408616145494
S008,B,322.9093322753906,5114,8109.473184927932,8079.033112393255,28.63245377156552,28.632453771565505,28.801789032854348,0.16933526128882903,2.3936842083748253,3.287126867719389,-4.440892098500626e-16
