条目,输入,第二实现值,被核验实现值,绝对差,相对差,容差,判定,来源
式(2-1) 等效航程 L(q),"A 机型, q=0 kg(0%Q), d=1000 m",25000.0,25000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=0 kg(0%Q), d=1000 m",0.18,0.18,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=0 kg(0%Q), d=1000 m",83.33333333333333,83.33333333333333,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=0 kg(0%Q), d=5000 m",25000.0,25000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=0 kg(0%Q), d=5000 m",0.9,0.9,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=0 kg(0%Q), d=5000 m",416.6666666666667,416.6666666666667,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=0 kg(0%Q), d=15000 m",25000.0,25000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=0 kg(0%Q), d=15000 m",2.7,2.7,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=0 kg(0%Q), d=15000 m",1250.0,1250.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
式(2-1) 等效航程 L(q),"A 机型, q=0 kg(0%Q), d=30000 m",25000.0,25000.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment 水平分项反解
式(2-3) 水平能耗 E_hor,"A 机型, q=0 kg(0%Q), d=30000 m",5.4,5.4,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=0 隔离）
式(2-2) 巡航时间,"A 机型, q=0 kg(0%Q), d=30000 m",2500.0,2500.0,0.0,0.0,1e-09,一致,问题二_调度核心.segment（爬升=下降=0）
