起点,终点,水平距离（m）,起点作业海拔（m）,终点作业海拔（m）,航段DEM最高海拔（m）,计划巡航海拔（m）,起点爬升（m）,终点下降（m）,经过DEM像元段数
O01,S001,3053.978725836499,128.7255401611328,183.96136474609375,223.05661010742188,273.0566101074219,144.33106994628906,89.09524536132812,136
O01,S002,7411.308772715872,128.7255401611328,218.7942352294922,258.9542541503906,308.9542541503906,180.2287139892578,90.16001892089844,323
O01,S003,7263.177684172111,128.7255401611328,338.51068115234375,511.80413818359375,561.8041381835938,433.07859802246094,223.29345703125,338
O01,S004,7714.69454861146,128.7255401611328,225.11575317382812,348.2391662597656,398.2391662597656,269.5136260986328,173.1234130859375,276
O01,S005,5280.606327336991,128.7255401611328,199.03955078125,276.410888671875,326.410888671875,197.6853485107422,127.371337890625,181
O01,S006,3186.208046027234,128.7255401611328,305.1272277832031,316.09783935546875,366.09783935546875,237.37229919433594,60.970611572265625,116
O01,S007,4534.460184091202,128.7255401611328,344.2220458984375,461.9731750488281,511.9731750488281,383.2476348876953,167.75112915039062,213
O01,S008,8079.030930812008,128.7255401611328,278.2891845703125,322.9093322753906,372.9093322753906,244.1837921142578,94.62014770507812,321
O01,S009,5705.144195097976,128.7255401611328,219.4370880126953,243.22891235351562,293.2289123535156,164.5033721923828,73.79182434082031,253
O01,S010,4784.494403064056,128.7255401611328,351.5816650390625,385.63653564453125,435.63653564453125,306.91099548339844,84.05487060546875,203
O01,S011,2808.074141172352,128.7255401611328,208.04286193847656,245.36175537109375,295.36175537109375,166.63621520996094,87.31889343261719,123
O01,S012,7390.490025921055,128.7255401611328,283.31507873535156,363.3009948730469,413.3009948730469,284.57545471191406,129.9859161376953,354
O01,S013,4849.241909110609,128.7255401611328,351.70806884765625,349.18182373046875,399.18182373046875,270.45628356933594,47.4737548828125,228
O01,S014,5419.601206671951,128.7255401611328,350.9825134277344,541.9473876953125,591.9473876953125,463.2218475341797,240.96487426757812,203
O01,S015,6009.382077647269,128.7255401611328,466.229248046875,521.7992553710938,571.7992553710938,443.07371520996094,105.57000732421875,286
S001,O01,3053.978725836499,183.96136474609375,128.7255401611328,223.05661010742188,273.0566101074219,89.09524536132812,144.33106994628906,136
S001,S002,4360.595975306951,183.96136474609375,218.7942352294922,259.2448425292969,309.2448425292969,125.28347778320312,90.45060729980469,188
S001,S003,7658.741868491396,183.96136474609375,338.51068115234375,505.94439697265625,555.9443969726562,371.9830322265625,217.4337158203125,293
S001,S004,4927.676735706319,183.96136474609375,225.11575317382812,358.7777404785156,408.7777404785156,224.81637573242188,183.6619873046875,179
