编号,经度（度）,纬度（度）,东向x（m）,北向y（m）,节点表地面海拔（m）,DEM地面海拔（m）,DEM减节点表（m）,作业海拔（m）,相对O01作业高度z（m）,DEM行号（从0起）,DEM列号（从0起）
O01,109.2308517,23.0085095,0.0,0.0,127.7,128.7255401611328,1.0255401611328097,128.7255401611328,0.0,778,713
S001,109.2432319,23.0335927,1268.9351850024332,2777.8750069297153,154.0,153.96136474609375,-0.03863525390625,183.96136474609375,55.23582458496094,688,758
S002,109.2585519,23.0703271,2838.421271025174,6846.22979549526,189.5,188.7942352294922,-0.7057647705078125,218.7942352294922,90.06869506835938,556,813
S003,109.1688578,23.0402714,-6353.883551645376,3518.794379327399,308.5,308.51068115234375,0.01068115234375,338.51068115234375,209.78514099121094,664,490
S004,109.2381714,23.0778414,750.0032047845023,7678.151286031577,198.3,195.11575317382812,-3.1842468261718864,225.11575317382812,96.39021301269531,529,739
S005,109.2283003,23.0561338,-261.46770968371663,5274.129105464163,165.0,169.03955078125,4.03955078125,199.03955078125,70.31401062011719,607,704
S006,109.1997836,23.007714,-3184.999214343702,-87.75942797606594,284.8,275.1272277832031,-9.672772216796886,305.1272277832031,176.4016876220703,781,601
S007,109.1928191,23.0294186,-3898.3528035521786,2316.0687770757777,318.5,314.2220458984375,-4.2779541015625,344.2220458984375,215.4965057373047,703,576
S008,109.2127472,23.0795113,-1855.0302830916125,7863.180236382108,240.9,248.2891845703125,7.389184570312494,278.2891845703125,149.5636444091797,523,648
S009,109.2541424,23.0552989,2386.8477601389272,5181.855657655848,200.0,189.4370880126953,-10.562911987304688,219.4370880126953,90.7115478515625,610,797
S010,109.2760168,23.0194009,4629.778079139023,1206.8726655596502,321.6,321.5816650390625,-0.018334960937522737,351.5816650390625,222.8561248779297,739,876
S011,109.2203356,23.0319231,-1077.8835326463823,2592.961139772557,182.1,178.04286193847656,-4.057138061523432,208.04286193847656,79.31732177734375,694,675
S012,109.2831357,23.054464,5358.134533078426,5090.16081756471,249.8,253.31507873535156,3.515078735351551,283.31507873535156,154.58953857421875,613,901
S013,109.2713839,23.0310882,4154.511333344959,2501.0363200447528,321.7,321.70806884765625,0.008068847656261369,351.70806884765625,222.98252868652344,697,859
S014,109.2835966,23.0052097,5407.332590168754,-364.4605584407477,321.0,320.9825134277344,-0.017486572265625,350.9825134277344,222.25697326660156,790,903
S015,109.1923786,23.0494548,-3942.921063227756,4534.9803135518805,444.5,436.229248046875,-8.270751953125,466.229248046875,337.5037078857422,631,575
