服务区,去程水平距离（m）,返程水平距离（m）,去程巡航海拔（m）,返程巡航海拔（m）,去程爬升（m）,去程下降（m）,返程爬升（m）,返程下降（m）,水平总距离（m）,总爬升（m）,总下降（m）
S001,3053.9788434849133,3053.9788434849133,273.0566101074219,273.0566101074219,145.3566101074219,89.05661010742188,89.05661010742188,145.3566101074219,6107.957686969827,234.41322021484376,234.41322021484376
S002,7411.310455014392,7411.310455014392,308.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,89.45425415039062,181.25425415039064,14822.620910028783,270.70850830078126,270.70850830078126
S003,7263.179256218293,7263.179256218293,561.8041381835938,561.8041381835938,434.10413818359376,223.30413818359375,223.30413818359375,434.10413818359376,14526.358512436585,657.4082763671875,657.4082763671875
S004,7714.696449109275,7714.696449109275,398.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,169.9391662597656,270.53916625976564,15429.39289821855,440.47833251953125,440.47833251953125
S005,5280.606936870006,5280.606936870006,326.410888671875,326.410888671875,198.710888671875,131.410888671875,131.410888671875,198.710888671875,10561.213873740013,330.12177734375,330.12177734375
S006,3186.208178225374,3186.208178225374,366.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,51.29783935546874,238.39783935546876,6372.416356450748,289.6956787109375,289.6956787109375
S007,4534.460566610705,4534.460566610705,511.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,163.47317504882812,384.27317504882814,9068.92113322141,547.7463500976562,547.7463500976562
S008,8079.033112393255,8079.033112393255,372.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,102.00933227539065,245.20933227539064,16158.06622478651,347.2186645507813,347.2186645507813
S009,5705.144962213574,5705.144962213574,293.2289123535156,293.2289123535156,165.52891235351564,63.228912353515625,63.228912353515625,165.52891235351564,11410.289924427148,228.75782470703126,228.75782470703126
S010,4784.494851376283,4784.494851376283,435.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,84.03653564453123,307.93653564453126,9568.989702752566,391.9730712890625,391.9730712890625
S011,2808.074232654385,2808.074232654385,295.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,83.26175537109376,167.66175537109376,5616.14846530877,250.92351074218752,250.92351074218752
S012,7390.491686736581,7390.491686736581,413.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,133.50099487304686,285.6009948730469,14780.983373473162,419.10198974609375,419.10198974609375
S013,4849.242377012176,4849.242377012176,399.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,47.48182373046876,271.48182373046876,9698.484754024352,318.9636474609375,318.9636474609375
S014,5419.601857894197,5419.601857894197,591.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,240.9473876953125,464.2473876953125,10839.203715788393,705.194775390625,705.194775390625
S015,6009.382971459367,6009.382971459367,571.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,97.29925537109375,444.09925537109376,12018.765942918733,541.3985107421875,541.3985107421875
