服务区,架次,机型,货箱编号列表,箱数,质量_kg,体积_m3,能耗_kwh,作业时间_s,返航SOC,往返时间_含交接_s
S001,1,C,"S001-MED-01,S001-MED-02,S001-WAT-03,S001-WAT-05,S001-WAT-08,S001-FOD-01,S001-FOD-02,S001-HYG-01,S001-HYG-02",9,76.0,0.231,2.9175823075508114,1692.169077324681,0.6353022115561486,1122.169077324681
S001,2,C,"S001-WAT-01,S001-WAT-02,S001-WAT-04,S001-WAT-06,S001-WAT-07,S001-FOD-03",6,78.0,0.163,2.995769262690981,1494.169077324681,0.6255288421636274,1014.169077324681
S002,1,C,"S002-WAT-01,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",5,56.0,0.14400000000000002,5.721224670804878,2041.8123848059554,0.2848469161493903,1591.8123848059554
S002,2,B,"S002-MED-01,S002-WAT-02,S002-FOD-01",3,25.0,0.067,2.713422287413139,1816.6943000891586,0.32164442814671523,1426.6943000891586
S003,1,B,"S003-MED-01,S003-WAT-04,S003-FOD-02",3,25.0,0.067,2.7799174678521688,2080.5233034983767,0.3050206330369578,1690.5233034983767
S003,2,C,"S003-WAT-01,S003-WAT-02,S003-WAT-03,S003-FOD-01,S003-HYG-01",5,56.0,0.14400000000000002,5.764965114940174,2370.0913495595746,0.27937936063247826,1920.0913495595746
S004,1,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",6,59.0,0.156,6.152932018901095,2301.0566924821483,0.23088349763736316,1821.0566924821483
S005,1,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",6,59.0,0.156,4.222192859504678,1877.1905245253758,0.4722258925619153,1397.1905245253758
S006,1,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",6,59.0,0.156,2.597987864766336,1561.5538679365604,0.6752515169042079,1081.5538679365604
S007,1,C,"S007-MED-01,S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01",5,45.0,0.129,3.4108943798590823,1907.566457302651,0.5736382025176148,1457.566457302651
S008,1,C,"S008-MED-01,S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01",5,45.0,0.129,5.836011711462684,2199.70121308147,0.27049853606716445,1749.70121308147
S009,1,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",3,25.0,0.067,2.096233734403653,1558.4417330802994,0.4759415663990868,1168.4417330802994
S010,1,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",3,25.0,0.067,1.8231956979948278,1555.3795657954836,0.544201075501293,1165.3795657954836
S011,1,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",3,25.0,0.067,1.0739517654257826,1188.4204722315221,0.7315120586435544,798.4204722315221
S012,1,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",3,25.0,0.067,2.7524142987161233,1922.740350712013,0.3118964253209692,1532.740350712013
S013,1,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",3,25.0,0.067,1.8247592722504478,1510.4723250729776,0.5438101819373881,1120.4723250729776
S014,1,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",3,25.0,0.067,2.1403884819942354,1869.7564163390177,0.46490287950144116,1479.7564163390177
S015,1,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",3,25.0,0.067,2.3074528242269907,1828.2766374055198,0.4231367939432523,1438.2766374055198
