服务区,机型,最大安全载荷_kg,状态,空载能耗_kwh,满载能耗_kwh
S001,A,25.0,structural_payload_limit,1.161535608315654,1.3127180160829865
S001,B,30.0,structural_payload_limit,0.9302326638952687,1.2739487146126944
S001,C,80.0,structural_payload_limit,1.941386101759428,3.0816969508143153
S002,A,25.0,structural_payload_limit,2.7397907193029227,3.090449614867453
S002,B,30.0,structural_payload_limit,2.1841134458234435,2.998762333253073
S002,C,68.86034271838986,energy_limited,4.632422933702041,7.3477731137352205
S003,A,25.0,structural_payload_limit,2.788912072123365,3.15682922811674
S003,B,30.0,structural_payload_limit,2.236921074526807,3.064407759335029
S003,C,68.20649055960729,energy_limited,4.643567502170926,7.382299706071115
S004,A,25.0,structural_payload_limit,2.8939868910239235,3.266746121096961
S004,B,30.0,structural_payload_limit,2.3125597141369068,3.1698518015200734
S004,C,63.69695545123367,energy_limited,4.864034967675403,7.715326427738154
S005,A,25.0,structural_payload_limit,1.9884778431458694,2.244906793208869
S005,B,30.0,structural_payload_limit,1.5899570888446213,2.1782983689938837
S005,C,80.0,structural_payload_limit,3.3369386727930728,5.292706404243854
S006,A,25.0,structural_payload_limit,1.223784181264067,1.389720289292669
S006,B,30.0,structural_payload_limit,0.9816123425171155,1.350059878194272
S006,C,80.0,structural_payload_limit,2.0373830896281806,3.2533316959925664
S007,A,25.0,structural_payload_limit,1.777520548814754,2.0179304549375154
S007,B,30.0,structural_payload_limit,1.4303095678068942,1.9597756452655197
S007,C,80.0,structural_payload_limit,2.9353447098169982,4.679449163011481
S008,A,25.0,structural_payload_limit,3.000440754160268,3.387198474441938
S008,B,28.801233623434893,energy_limited,2.3937133776897195,3.287165544572051
S008,C,58.904360963586946,energy_limited,5.0635701056288225,8.037979774999526
S009,A,25.0,structural_payload_limit,2.114457123984201,2.3868506711089275
S009,B,30.0,structural_payload_limit,1.6863174312492415,2.3163773915051205
S009,C,80.0,structural_payload_limit,3.571376797390323,5.669496029297104
S010,A,25.0,structural_payload_limit,1.8262637900348904,2.070702414584023
S010,B,30.0,structural_payload_limit,1.4634266265369789,2.011014702383363
S010,C,80.0,structural_payload_limit,3.048001816543953,4.858749128791914
S011,A,25.0,structural_payload_limit,1.0773840288584569,1.2196111986121483
S011,B,30.0,structural_payload_limit,0.8640358497824968,1.1839375412794169
S011,C,80.0,structural_payload_limit,1.7944280191576274,2.8532189204867313
S012,A,25.0,structural_payload_limit,2.7716099302030406,3.1312050669058067
S012,B,30.0,structural_payload_limit,2.2146710532613323,3.038937061228367
S012,C,68.11719340558112,energy_limited,4.658869188662062,7.398339838972439
S013,A,25.0,structural_payload_limit,1.8302304720482359,2.0741334612938367
S013,B,30.0,structural_payload_limit,1.463965094304199,2.014351276291567
S013,C,80.0,structural_payload_limit,3.0685316525278057,4.891483989623218
S014,A,25.0,structural_payload_limit,2.1378843124610243,2.42569258118674
S014,B,30.0,structural_payload_limit,1.7219404856160903,2.3553235353921833
S014,C,80.0,structural_payload_limit,3.521700351843339,5.607762247062678
S015,A,25.0,structural_payload_limit,2.30681087795325,2.6192529196858048
S015,B,30.0,structural_payload_limit,1.850154356628563,2.544440587476612
S015,C,80.0,structural_payload_limit,3.8413099325207893,6.13298771818587
