返航余量_百分比,服务区,机型,最大安全载荷_kg,状态
10.0,S001,A,25.0,structural_payload_limit
10.0,S001,B,30.0,structural_payload_limit
10.0,S001,C,80.0,structural_payload_limit
10.0,S002,A,25.0,structural_payload_limit
10.0,S002,B,30.0,structural_payload_limit
10.0,S002,C,78.59389587552465,energy_limited
10.0,S003,A,25.0,structural_payload_limit
10.0,S003,B,30.0,structural_payload_limit
10.0,S003,C,78.23137503159043,energy_limited
10.0,S004,A,25.0,structural_payload_limit
10.0,S004,B,30.0,structural_payload_limit
10.0,S004,C,74.88427573914552,energy_limited
10.0,S005,A,25.0,structural_payload_limit
10.0,S005,B,30.0,structural_payload_limit
10.0,S005,C,80.0,structural_payload_limit
10.0,S006,A,25.0,structural_payload_limit
10.0,S006,B,30.0,structural_payload_limit
10.0,S006,C,80.0,structural_payload_limit
10.0,S007,A,25.0,structural_payload_limit
10.0,S007,B,30.0,structural_payload_limit
10.0,S007,C,80.0,structural_payload_limit
10.0,S008,A,25.0,structural_payload_limit
10.0,S008,B,30.0,structural_payload_limit
10.0,S008,C,71.43819365429906,energy_limited
10.0,S009,A,25.0,structural_payload_limit
10.0,S009,B,30.0,structural_payload_limit
10.0,S009,C,80.0,structural_payload_limit
10.0,S010,A,25.0,structural_payload_limit
10.0,S010,B,30.0,structural_payload_limit
10.0,S010,C,80.0,structural_payload_limit
10.0,S011,A,25.0,structural_payload_limit
10.0,S011,B,30.0,structural_payload_limit
10.0,S011,C,80.0,structural_payload_limit
10.0,S012,A,25.0,structural_payload_limit
10.0,S012,B,30.0,structural_payload_limit
10.0,S012,C,78.09189214390888,energy_limited
10.0,S013,A,25.0,structural_payload_limit
10.0,S013,B,30.0,structural_payload_limit
10.0,S013,C,80.0,structural_payload_limit
10.0,S014,A,25.0,structural_payload_limit
10.0,S014,B,30.0,structural_payload_limit
10.0,S014,C,80.0,structural_payload_limit
10.0,S015,A,25.0,structural_payload_limit
10.0,S015,B,30.0,structural_payload_limit
10.0,S015,C,80.0,structural_payload_limit
15.0,S001,A,25.0,structural_payload_limit
15.0,S001,B,30.0,structural_payload_limit
15.0,S001,C,80.0,structural_payload_limit
15.0,S002,A,25.0,structural_payload_limit
15.0,S002,B,30.0,structural_payload_limit
15.0,S002,C,74.24119050096724,energy_limited
15.0,S003,A,25.0,structural_payload_limit
15.0,S003,B,30.0,structural_payload_limit
15.0,S003,C,73.75234401082052,energy_limited
15.0,S004,A,25.0,structural_payload_limit
15.0,S004,B,30.0,structural_payload_limit
15.0,S004,C,69.91334568954436,energy_limited
15.0,S005,A,25.0,structural_payload_limit
15.0,S005,B,30.0,structural_payload_limit
15.0,S005,C,80.0,structural_payload_limit
15.0,S006,A,25.0,structural_payload_limit
15.0,S006,B,30.0,structural_payload_limit
15.0,S006,C,80.0,structural_payload_limit
15.0,S007,A,25.0,structural_payload_limit
15.0,S007,B,30.0,structural_payload_limit
15.0,S007,C,80.0,structural_payload_limit
15.0,S008,A,25.0,structural_payload_limit
15.0,S008,B,30.0,structural_payload_limit
15.0,S008,C,65.90262291884193,energy_limited
