服务区,箱数,枚举_架次,枚举_能耗_kWh,枚举_作业时间_s,枚举_耗时_s,枚举_候选数,枚举_DP状态数,MILP_架次,MILP_能耗_kWh,MILP_作业时间_s,MILP_耗时_s,MILP_调用次数,贪心_架次,贪心_能耗_kWh,贪心_作业时间_s,贪心_耗时_s,LP下界_架次,LP_耗时_s,LP列数_全部,LP列数_极大,解析下界_架次,上界等于下界
S001,15,2,5.912231441750727,3184.561694443444,1.3159869000082836,18332,12611,2,5.912231441750727,3184.561694443444,0.6175437000347301,5,2,5.912231441750727,3184.561694443444,0.00010050006676465273,1.9499999999999997,2.1320356000214815,18063,2422,2,是
S002,8,2,8.43416743124934,3857.983936477488,0.0029499001102522016,316,129,2,8.43416743124934,3857.983936477488,0.30384890001732856,7,2,8.641607461271304,3863.9839364774875,9.14999982342124e-05,1.222222222222222,0.0016697000246495008,247,7,2,是
S003,8,2,8.544037390482872,4448.921739033624,0.003186299931257963,316,129,2,8.544037390482872,4448.921739033624,0.41963460005354136,7,2,8.747331281354917,4454.921739033624,0.00010489998385310173,1.222222222222222,0.001689600059762597,247,7,2,是
S004,6,1,6.153272635381178,2302.9992750809747,0.0007099000504240394,101,33,1,6.153272635381178,2302.9992750809747,0.01617299998179078,4,1,6.153272635381178,2302.9992750809747,4.0400074794888496e-05,1.0,0.002170399995520711,63,1,1,是
S005,6,1,4.220623405290876,1872.6318614061624,0.0011687999358400702,101,33,1,4.220623405290876,1872.6318614061624,0.016135300043970346,4,1,4.220623405290876,1872.6318614061624,4.360009916126728e-05,1.0,0.001230300054885447,63,1,1,是
S006,6,1,2.6000464039242144,1569.3363591602392,0.0008460000390186906,101,33,1,2.6000464039242144,1569.3363591602392,0.015737100038677454,4,1,2.6000464039242144,1569.3363591602392,4.290009383112192e-05,1.0,0.0016081000212579966,63,1,1,是
S007,5,1,3.41157988044196,1910.4935788464377,0.0004645999288186431,59,17,1,3.41157988044196,1910.4935788464377,0.014431699994020164,4,1,3.41157988044196,1910.4935788464377,4.0599959902465343e-05,1.0,0.0011076999362558126,31,1,1,是
S008,5,1,5.833609376378724,2192.1276699456703,0.0003800999838858843,59,17,1,5.833609376378724,2192.1276699456703,0.01287639990914613,4,1,5.833609376378724,2192.1276699456703,4.0199956856667995e-05,1.0,0.0012577000306919217,31,1,1,是
S009,3,1,2.098482687301259,1565.435703470746,0.00014849996659904718,20,5,1,2.098482687301259,1565.435703470746,0.005005700048059225,4,1,2.098482687301259,1565.435703470746,3.279990050941706e-05,1.0,0.000889900024048984,7,1,1,是
S010,3,1,1.822850724835316,1554.64088887371,0.00014579994603991508,20,5,1,1.822850724835316,1554.64088887371,0.005152400000952184,4,1,1.822850724835316,1554.64088887371,3.4199911169707775e-05,1.0,0.0009169999975711107,7,1,1,是
S011,3,1,1.074600492486508,1190.6436318275375,0.00014859996736049652,20,5,1,1.074600492486508,1190.6436318275375,0.005118200089782476,4,1,1.074600492486508,1190.6436318275375,3.400002606213093e-05,1.0,0.0008879000088199973,7,1,1,是
S012,3,1,2.751199651030124,1919.4103420791876,0.00014590006321668625,20,5,1,2.751199651030124,1919.4103420791876,0.006948100053705275,4,1,2.751199651030124,1919.4103420791876,4.700000863522291e-05,1.0,0.0016595000633969903,7,1,1,是
S013,3,1,1.8244077966199856,1509.7142827463235,0.0001498999772593379,20,5,1,1.8244077966199856,1509.7142827463235,0.005732099991291761,4,1,1.8244077966199856,1509.7142827463235,4.320009611546993e-05,1.0,0.0009215000318363309,7,1,1,是
S014,3,1,2.1400432281288224,1869.0170902108825,0.0001476999605074525,20,5,1,2.1400432281288224,1869.0170902108825,0.005188800045289099,4,1,2.1400432281288224,1869.0170902108825,3.439991269260645e-05,1.0,0.0008960999548435211,7,1,1,是
S015,3,1,2.3091378448840443,1833.5896735447009,0.00025480007752776146,20,5,1,2.3091378448840443,1833.5896735447009,0.0064362999983131886,4,1,2.3091378448840443,1833.5896735447009,5.079992115497589e-05,1.0,0.0012363999849185348,7,1,1,是
