服务区,候选枚举耗时_s,DP耗时_s,DP状态数,DP子集迭代数,候选记录数
S001,0.08237179997377098,1.7013534000143409,12610,4489104,18332
S002,0.0016811999958008528,0.0007625999860465527,128,2314,316
S003,0.0015540000749751925,0.0005550999194383621,128,2314,316
S004,0.0003195999888703227,7.57001107558608e-05,32,274,101
S005,0.00028709997422993183,7.259997073560953e-05,32,274,101
S006,0.00033430010080337524,6.959994789212942e-05,32,274,101
S007,0.00018960004672408104,3.1400006264448166e-05,16,96,59
S008,0.00017899996601045132,3.0800001695752144e-05,16,96,59
S009,6.420002318918705e-05,7.1999384090304375e-06,4,12,20
S010,6.480002775788307e-05,1.309998333454132e-05,4,12,20
S011,6.54999166727066e-05,7.500057108700275e-06,4,12,20
S012,6.490002851933241e-05,7.200054824352264e-06,4,12,20
S013,6.200000643730164e-05,7.5999414548277855e-06,4,12,20
S014,6.729993037879467e-05,7.400056347250938e-06,4,12,20
S015,9.310001041740179e-05,9.09995287656784e-06,4,12,20
