服务区,机型,最大安全载荷_kg,状态,额定载荷_kg,能量上限_kwh
S001,A,25.0,structural_payload_limit,25.0,3.6
S001,B,30.0,structural_payload_limit,30.0,3.2
S001,C,80.0,structural_payload_limit,80.0,6.4
S002,A,25.0,structural_payload_limit,25.0,3.6
S002,B,30.0,structural_payload_limit,30.0,3.2
S002,C,68.86566068786415,energy_limited,80.0,6.4
S003,A,25.0,structural_payload_limit,25.0,3.6
S003,B,30.0,structural_payload_limit,30.0,3.2
S003,C,68.21487589419148,energy_limited,80.0,6.4
S004,A,25.0,structural_payload_limit,25.0,3.6
S004,B,30.0,structural_payload_limit,30.0,3.2
S004,C,63.69131128611205,energy_limited,80.0,6.4
S005,A,25.0,structural_payload_limit,25.0,3.6
S005,B,30.0,structural_payload_limit,30.0,3.2
S005,C,80.0,structural_payload_limit,80.0,6.4
S006,A,25.0,structural_payload_limit,25.0,3.6
S006,B,30.0,structural_payload_limit,30.0,3.2
S006,C,80.0,structural_payload_limit,80.0,6.4
S007,A,25.0,structural_payload_limit,25.0,3.6
S007,B,30.0,structural_payload_limit,30.0,3.2
S007,C,80.0,structural_payload_limit,80.0,6.4
S008,A,25.0,structural_payload_limit,25.0,3.6
S008,B,28.832847836507657,energy_limited,30.0,3.2
S008,C,58.953065150451174,energy_limited,80.0,6.4
S009,A,25.0,structural_payload_limit,25.0,3.6
S009,B,30.0,structural_payload_limit,30.0,3.2
S009,C,80.0,structural_payload_limit,80.0,6.4
S010,A,25.0,structural_payload_limit,25.0,3.6
S010,B,30.0,structural_payload_limit,30.0,3.2
S010,C,80.0,structural_payload_limit,80.0,6.4
S011,A,25.0,structural_payload_limit,25.0,3.6
S011,B,30.0,structural_payload_limit,30.0,3.2
S011,C,80.0,structural_payload_limit,80.0,6.4
S012,A,25.0,structural_payload_limit,25.0,3.6
S012,B,30.0,structural_payload_limit,30.0,3.2
S012,C,68.1398494025465,energy_limited,80.0,6.4
S013,A,25.0,structural_payload_limit,25.0,3.6
S013,B,30.0,structural_payload_limit,30.0,3.2
S013,C,80.0,structural_payload_limit,80.0,6.4
S014,A,25.0,structural_payload_limit,25.0,3.6
S014,B,30.0,structural_payload_limit,30.0,3.2
S014,C,80.0,structural_payload_limit,80.0,6.4
S015,A,25.0,structural_payload_limit,25.0,3.6
S015,B,30.0,structural_payload_limit,30.0,3.2
S015,C,80.0,structural_payload_limit,80.0,6.4
