服务区,子集掩码,货箱编号列表,机型,箱数,质量_kg,体积_m3,能耗_kwh,作业时间_s,返航SOC
S001,1,S001-MED-01,A,1,3.0,0.012,1.1675214330653332,1190.1757521983359,0.7405507926521482
S001,1,S001-MED-01,B,1,3.0,0.012,0.9376226110098319,1088.376461337119,0.765594347247542
S001,1,S001-MED-01,C,1,3.0,0.012,1.9464525061034021,1163.280847221722,0.7566934367370748
S001,2,S001-MED-02,A,1,3.0,0.012,1.1675214330653332,1190.1757521983359,0.7405507926521482
S001,2,S001-MED-02,B,1,3.0,0.012,0.9376226110098319,1088.376461337119,0.765594347247542
S001,2,S001-MED-02,C,1,3.0,0.012,1.9464525061034021,1163.280847221722,0.7566934367370748
S001,3,"S001-MED-01,S001-MED-02",A,2,6.0,0.024,1.1777895454049336,1250.1757521983359,0.7382689899100148
S001,3,"S001-MED-01,S001-MED-02",B,2,6.0,0.024,0.9506578312402753,1148.376461337119,0.7623355421899312
S001,3,"S001-MED-01,S001-MED-02",C,2,6.0,0.024,1.9549114063823145,1229.280847221722,0.7556360742022107
S001,4,S001-WAT-01,A,1,14.0,0.027,1.2192098922071886,1190.1757521983359,0.7290644683984026
S001,4,S001-WAT-01,B,1,14.0,0.027,1.0066776428693578,1088.376461337119,0.7483305892826606
S001,4,S001-WAT-01,C,1,14.0,0.027,1.9873345829376692,1163.280847221722,0.7515831771327913
S001,5,"S001-MED-01,S001-WAT-01",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,5,"S001-MED-01,S001-WAT-01",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,5,"S001-MED-01,S001-WAT-01",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,6,"S001-MED-02,S001-WAT-01",A,2,17.0,0.039,1.239997498921291,1250.1757521983359,0.7244450002397131
S001,6,"S001-MED-02,S001-WAT-01",B,2,17.0,0.039,1.0368790954372762,1148.376461337119,0.740780226140681
S001,6,"S001-MED-02,S001-WAT-01",C,2,17.0,0.039,2.0027362727460956,1229.280847221722,0.749657965906738
S001,7,"S001-MED-01,S001-MED-02,S001-WAT-01",A,3,20.0,0.051000000000000004,1.2640065415603854,1310.1757521983359,0.7191096574310254
