服务区,A型额定满载返航SOC_%,B型额定满载返航SOC_%,C型额定满载返航SOC_%
S001,70.836456,68.160264,61.485935
S002,31.327396,25.035836,8.157795
S003,29.856510,23.399105,7.728581
S004,27.395106,20.743358,3.555186
S005,50.145164,45.576609,33.861809
S006,69.068575,66.198233,59.308641
S007,55.140113,50.988521,41.500016
S008,24.780639,17.875546,-0.443013
S009,46.904887,42.034827,29.103651
S010,53.992481,49.733742,39.272853
S011,72.881838,70.385829,64.328621
S012,30.446569,24.057426,7.539669
S013,53.916391,49.650491,38.863755
S014,46.103817,41.126029,29.910195
S015,41.753889,36.347346,23.317587
