服务区,机型,最大安全载荷_kg,状态,空载能耗_kwh,满载能耗_kwh
S001,A,25.0,structural_payload_limit,1.161274104696873,1.3123594725540864
S001,B,30.0,structural_payload_limit,0.9299898448207521,1.273589441393862
S001,C,80.0,structural_payload_limit,1.9411249416111453,3.081125237662259
S002,A,25.0,structural_payload_limit,2.7397053954035644,3.0902671806487207
S002,B,30.0,structural_payload_limit,2.184034298199967,2.9985665638441983
S002,C,68.86566068786415,energy_limited,4.632337301195625,7.347376366555762
S003,A,25.0,structural_payload_limit,2.7886369794984813,3.1564570301338377
S003,B,30.0,structural_payload_limit,2.2366657077316585,3.064035782567233
S003,C,68.21487589419148,energy_limited,4.643292400250617,7.381713529055526
S004,A,25.0,structural_payload_limit,2.89455811420076,3.267220224135455
S004,B,30.0,structural_payload_limit,2.313090227968149,3.1702656701874212
S004,C,63.69131128611205,energy_limited,4.864604888483829,7.715585155545584
S005,A,25.0,structural_payload_limit,1.9871357263566791,2.2434676143747523
S005,B,30.0,structural_payload_limit,1.5887108671462622,2.1769356404492877
S005,C,80.0,structural_payload_limit,3.3355983173347523,5.291055319207801
S006,A,25.0,structural_payload_limit,1.2260750496652615,1.3919141171290066
S006,B,30.0,structural_payload_limit,0.9837395838821344,1.352070663856076
S006,C,80.0,structural_payload_limit,2.0396706515308716,3.2553086996685057
S007,A,25.0,structural_payload_limit,1.778382074939867,2.0186949292333103
S007,B,30.0,structural_payload_limit,1.431109574931161,1.9604591698664255
S007,C,80.0,structural_payload_limit,2.9362049073041843,4.679998712412963
S008,A,25.0,structural_payload_limit,2.998210651093071,3.3848712385876443
S008,B,28.832847836507657,energy_limited,2.391642673661268,3.284978165263623
S008,C,58.953065150451174,energy_limited,5.061342630158905,8.03544100562687
S009,A,25.0,structural_payload_limit,2.1169835890390334,2.3892800670276175
S009,B,30.0,structural_payload_limit,1.6886634717743434,2.3186069083001364
S009,C,80.0,structural_payload_limit,3.573899456905324,5.671707902666266
S010,A,25.0,structural_payload_limit,1.8259967892092426,2.0703383589683844
S010,B,30.0,structural_payload_limit,1.4631787189740426,2.0106503052478453
S010,C,80.0,structural_payload_limit,3.0477350824254503,4.858171722969807
S011,A,25.0,structural_payload_limit,1.0781871588408964,1.2203172898619559
S011,B,30.0,structural_payload_limit,0.8647816177810325,1.1845668579371773
S011,C,80.0,structural_payload_limit,1.795229978401369,2.853710336119759
S012,A,25.0,structural_payload_limit,2.77040638362264,3.1299044109727663
S012,B,30.0,structural_payload_limit,2.2135535549619996,3.0377029434453853
S012,C,68.1398494025465,energy_limited,4.657666936433051,7.39682647978223
S013,A,25.0,structural_payload_limit,1.8299564689947465,2.0737624025688364
S013,B,30.0,structural_payload_limit,1.4637106856240347,2.0139803759399637
S013,C,80.0,structural_payload_limit,3.068257921171753,4.8908995795314905
S014,A,25.0,structural_payload_limit,2.1376170138236876,2.4253282186284615
S014,B,30.0,structural_payload_limit,1.7216923113693579,2.3549588498325105
S014,C,80.0,structural_payload_limit,3.5214332684141416,5.607184419090383
S015,A,25.0,structural_payload_limit,2.3087300341660653,2.621075001061135
S015,B,30.0,structural_payload_limit,1.851936473668479,2.5461061672118173
S015,C,80.0,structural_payload_limit,3.8432261183563385,6.134593072394784
