返航余量_百分比,服务区,机型,最大安全载荷_kg,状态,全任务架次数,全任务能耗_kWh,全任务累计时间_s,最低实际返航SOC
10.0,S001,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S001,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S001,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S002,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S002,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S002,C,78.59774881473474,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S003,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S003,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S003,C,78.23723935491022,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S004,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S004,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S004,C,74.88115618851714,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S005,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S005,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S005,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S006,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S006,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S006,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S007,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S007,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S007,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S008,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S008,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S008,C,71.4692612583997,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S009,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S009,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S009,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S010,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S010,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S010,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S011,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S011,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S011,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S012,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S012,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S012,C,78.10706006335252,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S013,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S013,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S013,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S014,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S014,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S014,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S015,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S015,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
10.0,S015,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S001,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S001,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S001,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S002,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S002,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S002,C,68.86566068786415,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S003,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S003,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S003,C,68.21487589419148,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S004,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S004,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S004,C,63.69131128611205,energy_limited,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S005,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S005,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S005,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S006,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S006,B,30.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S006,C,80.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
20.0,S007,A,25.0,structural_payload_limit,18,59.130290390185955,32781.50772714713,0.23084092057735273
