返航余量_百分比,服务区,架次,机型,货箱编号列表,箱数,质量_kg,体积_m3,能耗_kwh,作业时间_s,返航SOC
10.0,S001,1,C,"S001-WAT-01,S001-WAT-04,S001-WAT-06,S001-WAT-07,S001-FOD-01,S001-FOD-02,S001-HYG-02",7,78.0,0.199,2.9952053155760057,1559.280847221722,0.6255993355529993
10.0,S001,2,C,"S001-MED-01,S001-MED-02,S001-WAT-02,S001-WAT-03,S001-WAT-05,S001-WAT-08,S001-FOD-03,S001-HYG-01",8,76.0,0.195,2.9170261261747217,1625.280847221722,0.6353717342281597
10.0,S002,1,C,"S002-WAT-01,S002-WAT-02,S002-WAT-04,S002-FOD-02,S002-HYG-01",5,56.0,0.14400000000000002,5.720921442330927,2041.5243626479235,0.2848848197086341
10.0,S002,2,B,"S002-MED-01,S002-WAT-03,S002-FOD-01",3,25.0,0.067,2.713245988918413,1816.4595738295643,0.32168850277039673
10.0,S003,1,C,"S003-WAT-01,S003-WAT-02,S003-WAT-04,S003-FOD-02,S003-HYG-01",5,56.0,0.14400000000000002,5.764472432678109,2369.1585407712882,0.2794409459152364
10.0,S003,2,B,"S003-MED-01,S003-WAT-03,S003-FOD-01",3,25.0,0.067,2.779564957804763,2079.763198262336,0.3051087605488092
10.0,S004,1,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",6,59.0,0.156,6.153272635381178,2302.9992750809747,0.23084092057735273
10.0,S005,1,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",6,59.0,0.156,4.220623405290876,1872.6318614061624,0.4724220743386405
10.0,S006,1,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",6,59.0,0.156,2.6000464039242144,1569.3363591602392,0.6749941995094733
10.0,S007,1,C,"S007-MED-01,S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01",5,45.0,0.129,3.41157988044196,1910.4935788464377,0.573552514944755
10.0,S008,1,C,"S008-MED-01,S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01",5,45.0,0.129,5.833609376378724,2192.1276699456703,0.2707988279526595
10.0,S009,1,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",3,25.0,0.067,2.098482687301259,1565.435703470746,0.4753793281746852
10.0,S010,1,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",3,25.0,0.067,1.822850724835316,1554.64088887371,0.544287318791171
10.0,S011,1,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",3,25.0,0.067,1.074600492486508,1190.6436318275375,0.731349876878373
10.0,S012,1,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",3,25.0,0.067,2.751199651030124,1919.4103420791876,0.31220008724246895
10.0,S013,1,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",3,25.0,0.067,1.8244077966199856,1509.7142827463235,0.5438980508450035
10.0,S014,1,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",3,25.0,0.067,2.1400432281288224,1869.0170902108825,0.4649891929677944
10.0,S015,1,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",3,25.0,0.067,2.3091378448840443,1833.5896735447009,0.42271553877898893
20.0,S001,1,C,"S001-WAT-04,S001-WAT-06,S001-WAT-07,S001-WAT-08,S001-FOD-02,S001-HYG-01,S001-HYG-02",7,76.0,0.20600000000000002,2.9170261261747217,1559.280847221722,0.6353717342281597
20.0,S001,2,C,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-05,S001-FOD-01,S001-FOD-03",8,78.0,0.188,2.9952053155760057,1625.280847221722,0.6255993355529993
