架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U01,A,A-B1,0.0,S002,2003.737981922964,3.0186909346307234,0.32917979230428374,3375.804251927395,22.0,0.055,S002-FOD-01、S002-WAT-01
T02,U02,A,A-B2,0.0,S014,1990.4098116021567,2.29097743864479,0.49089390252337994,3152.247738321763,17.0,0.039,S014-MED-01、S014-WAT-01
T03,U03,A,A-B3,0.0,S001,1310.8995020717075,1.264345676408621,0.7190342941314176,2176.1549197008644,20.0,0.051000000000000004,S001-MED-01、S001-MED-02、S001-WAT-01
T04,U04,A,A-B4,0.0,S006-S015,2429.586299124555,2.8012013924532475,0.3775108016770561,3738.822256944382,20.0,0.051000000000000004,S006-MED-01、S006-WAT-01、S015-MED-01
T05,U05,B,B-B1,0.0,S012,1922.740350711997,2.752414298716089,0.3118964253209777,3782.1198801556357,25.0,0.067,S012-FOD-01、S012-MED-01、S012-WAT-01
T06,U06,B,B-B2,0.0,S010,1555.3795657954859,1.823195697994833,0.5442010755012918,3012.0977015932467,25.0,0.067,S010-FOD-01、S010-MED-01、S010-WAT-01
T07,U07,C,C-B1,0.0,S006-S007,2479.563141315912,4.6919411118538195,0.41350736101827257,4583.6305257763215,79.0,0.218,S006-FOD-01、S006-HYG-01、S006-WAT-02、S006-WAT-03、S007-HYG-01、S007-MED-01、S007-WAT-01、S007-WAT-02
T08,U08,C,C-B2,0.0,S001-S002,2434.4425919491496,6.076588569528219,0.24042642880897258,4913.518662863042,67.0,0.184,S001-FOD-02、S002-FOD-02、S002-HYG-01、S002-MED-01、S002-WAT-02、S002-WAT-03、S002-WAT-04
T09,U03,A,A-B5,1311.0,S001,2561.8995020717075,1.2823460485393863,0.715034211435692,3432.355027205308,22.0,0.055,S001-FOD-03、S001-WAT-05
T10,U06,B,B-B3,1555.3795657954859,S013,3065.8518908684655,1.824759272250453,0.5438101819373867,4523.247575510329,25.0,0.067,S013-FOD-01、S013-MED-01、S013-WAT-01
T11,U05,B,B-B4,1923.0,S001,3072.1002072888764,1.2204176159531197,0.69489559601172,4267.614507535229,28.0,0.054,S001-WAT-02、S001-WAT-03
T12,U02,A,A-B6,1990.4098116021567,S001-S014,4437.952364827624,2.841672367221946,0.3685172517284564,5758.87993758063,22.0,0.055,S001-WAT-08、S014-FOD-01
T13,U01,A,A-B3,2176.1549197008644,S003,4438.784198406516,3.0835927684021023,0.31475716257731057,5829.599887056012,22.0,0.055,S003-FOD-01、S003-WAT-01
T14,U08,C,C-B3,2434.4425919491496,S001-S008,5017.661750856043,6.301075911126103,0.21236551110923707,7557.53647678603,70.0,0.171,S001-FOD-01、S001-WAT-04、S001-WAT-06、S001-WAT-07、S008-HYG-01、S008-WAT-01
T15,U07,C,C-B4,2480.0,S007-S003,5173.592418347189,6.175700256389694,0.2280374679512882,7679.511237786064,67.0,0.184,S007-FOD-01、S003-FOD-02、S003-HYG-01、S003-MED-01、S003-WAT-02、S003-WAT-03、S003-WAT-04
T16,U06,B,B-B2,3066.0,S008,5027.831435656333,2.975216526357531,0.25619586841061726,6983.75859707793,25.0,0.067,S008-FOD-01、S008-MED-01、S008-WAT-02
T17,U06,B,B-B3,5028.0,S009,6586.4417330803035,2.0962337344036612,0.4759415663990847,8161.4763513218895,25.0,0.067,S009-FOD-01、S009-MED-01、S009-WAT-01
T18,U08,C,C-B1,5259.0,S011-S004,7748.742869202413,5.442995080999606,0.31962561487504926,10056.220703639807,45.0,0.129,S011-FOD-01、S011-MED-01、S011-WAT-01、S004-HYG-01、S004-WAT-03
T19,U03,A,A-B2,5612.0,S004,7790.800185365859,3.1911204497494783,0.29086212227789376,9212.679426404597,22.0,0.055,S004-FOD-01、S004-WAT-02
T20,U04,A,A-B1,5612.0,S004,7790.800185365859,3.0867994244115757,0.3140445723529832,9182.542241306981,17.0,0.039,S004-MED-01、S004-WAT-01
T21,U07,C,C-B2,5652.0,S005-S001,7958.856686186946,4.992059388765995,0.37599257640425066,10144.206103977736,71.0,0.226,S005-FOD-01、S005-HYG-01、S005-MED-01、S005-WAT-01、S005-WAT-02、S005-WAT-03、S001-HYG-01、S001-HYG-02
T22,U05,B,B-B1,5899.0,S015,7667.276637405514,2.2032663191082777,0.44918342022293056,9288.692042352433,22.0,0.055,S015-FOD-01、S015-WAT-01
