货箱编号,架次编号,服务区编号,交付完成时刻_s,期望时刻_s,硬截止_s,加权延误
S001-FOD-01,T14,S001,3544.71213061149,7200.0,,0.0
S001-FOD-02,T08,S001,1032.2695386623404,7200.0,,0.0
S001-FOD-03,T09,S001,2219.5730843691854,7200.0,,0.0
S001-HYG-01,T21,S001,7646.957147524603,10800.0,,0.0
S001-HYG-02,T21,S001,7646.957147524603,10800.0,,0.0
S001-MED-01,T03,S001,968.5730843691855,3600.0,3600.0,0.0
S001-MED-02,T03,S001,968.5730843691855,3600.0,3600.0,0.0
S001-WAT-01,T03,S001,968.5730843691855,3600.0,3600.0,0.0
S001-WAT-02,T11,S001,2780.6734369777705,3600.0,,0.0
S001-WAT-03,T11,S001,2780.6734369777705,3600.0,,0.0
S001-WAT-04,T14,S001,3544.71213061149,3600.0,,0.0
S001-WAT-05,T09,S001,2219.5730843691854,3600.0,,0.0
S001-WAT-06,T14,S001,3544.71213061149,3600.0,,0.0
S001-WAT-07,T14,S001,3544.71213061149,3600.0,,0.0
S001-WAT-08,T12,S001,2868.9828959713423,3600.0,,0.0
S002-FOD-01,T01,S002,1283.808990961486,7200.0,,0.0
S002-FOD-02,T08,S002,1813.946399546178,7200.0,,0.0
S002-HYG-01,T08,S002,1813.946399546178,10800.0,,0.0
S002-MED-01,T08,S002,1813.946399546178,3600.0,3600.0,0.0
S002-WAT-01,T01,S002,1283.808990961486,3600.0,3600.0,0.0
S002-WAT-02,T08,S002,1813.946399546178,3600.0,,0.0
S002-WAT-03,T08,S002,1813.946399546178,3600.0,,0.0
S002-WAT-04,T08,S002,1813.946399546178,3600.0,,0.0
S003-FOD-01,T13,S003,3585.442892387024,10800.0,,0.0
S003-FOD-02,T15,S003,4383.006743567403,10800.0,,0.0
S003-HYG-01,T15,S003,4383.006743567403,14400.0,,0.0
S003-MED-01,T15,S003,4383.006743567403,7200.0,7200.0,0.0
S003-WAT-01,T13,S003,3585.442892387024,7200.0,7200.0,0.0
