运输架次编号,通信阶段,开始时刻_s,结束时刻_s,保障方式,中继架次编号
T01,爬升,360.0,420.4180847167969,直连,
T01,巡航,420.4180847167969,630.6400145022342,直连,
T01,巡航,630.6400145022342,799.8476764340671,中继,RS01
T01,巡航,799.8476764340671,1038.0272893013296,中继,RS02
T01,下降,1038.0272893013296,1073.8089909614857,中继,RS02
T01,投送,1073.8089909614857,1283.8089909614857,中继,RS02
T01,爬升,1283.8089909614857,1313.6270756782826,中继,RS02
T01,巡航,1313.6270756782826,1545.2305273974794,中继,RS02
T01,巡航,1545.2305273974794,1776.8339791166763,中继,RS01
T01,巡航,1776.8339791166763,1931.2362802628077,直连,
T01,下降,1931.2362802628077,2003.7379819229639,直连,
T02,爬升,360.0,514.7491292317709,直连,
T02,巡航,514.7491292317709,720.4544721449797,直连,
T02,巡航,720.4544721449797,966.3826173896207,中继,RS02
T02,下降,966.3826173896207,1062.7615724677457,中继,RS02
T02,投送,1062.7615724677457,1272.7615724677457,中继,RS02
T02,爬升,1272.7615724677457,1353.0773683661832,中继,RS02
T02,巡航,1353.0773683661832,1691.8024844845695,中继,RS02
T02,巡航,1691.8024844845695,1804.7108565240317,直连,
T02,下降,1804.7108565240317,1990.4098116021567,直连,
T03,爬升,390.0,438.45220336914065,直连,
T03,巡航,438.45220336914065,630.6400145022342,直连,
T03,巡航,630.6400145022342,692.9504403262167,中继,RS01
T03,下降,692.9504403262167,728.5730843691855,直连,
T03,投送,728.5730843691855,968.5730843691855,直连,
T03,爬升,968.5730843691855,998.2586210716595,直连,
T03,巡航,998.2586210716595,1061.8831803109292,中继,RS01
T03,巡航,1061.8831803109292,1252.7568580287386,直连,
T03,下降,1252.7568580287386,1310.8995020717075,直连,
T04,爬升,390.0,469.4659464518229,直连,
T04,巡航,469.4659464518229,734.9832946372708,直连,
T04,下降,734.9832946372708,755.5024303794582,直连,
T04,投送,755.5024303794582,965.5024303794582,直连,
T04,爬升,965.5024303794582,1077.655807658104,直连,
T04,巡航,1077.655807658104,1468.0275448297718,中继,RS01
T04,下降,1468.0275448297718,1538.7315975641468,中继,RS01
T04,投送,1538.7315975641468,1718.7315975641468,中继,RS01
T04,爬升,1718.7315975641468,1751.1646826878448,中继,RS01
T04,巡航,1751.1646826878448,2126.751118404049,中继,RS01
T04,巡航,2126.751118404049,2251.9465969761172,直连,
T04,下降,2251.9465969761172,2429.586299124555,直连,
T05,爬升,390.0,485.20033162434896,直连,
T05,巡航,485.20033162434896,698.0008577342933,直连,
T05,巡航,698.0008577342933,720.4544721449797,中继,RS01
T05,巡航,720.4544721449797,977.8997774067877,中继,RS02
T05,下降,977.8997774067877,1031.3001753560065,中继,RS02
T05,投送,1031.3001753560065,1271.3001753560065,中继,RS02
T05,爬升,1271.3001753560065,1315.8005069803555,中继,RS02
T05,巡航,1315.8005069803555,1685.3250913171726,中继,RS02
T05,巡航,1685.3250913171726,1808.4999527627783,直连,
T05,下降,1808.4999527627783,1922.740350711997,直连,
T06,爬升,390.0,492.6455118815104,直连,
T06,巡航,492.6455118815104,720.4544721449797,直连,
T06,巡航,720.4544721449797,811.6118353065959,中继,RS02
T06,下降,811.6118353065959,845.2264495644084,中继,RS02
T06,投送,845.2264495644084,1085.2264495644085,中继,RS02
