服务区,货箱数,运输架次,机型,首箱交付_s,末箱交付_s,直连时长_s,中继时长_s,保障方式,中继架次,中继悬停点,硬时限最紧余量_s
S001,15,T03、T08、T09、T11、T12、T14、T21,A/B/C,968.573,7646.957,5749.568,4733.392,中继,RS01、RS02、RS03,"109.20361111111112,23.046388888888888、109.24166666666667,23.066666666666666、109.27277777777778,23.017777777777777",2631.427
S002,8,T01、T08,A/C,1283.809,1813.946,1238.686,2329.495,中继,RS01、RS02,"109.20361111111112,23.046388888888888、109.27277777777778,23.017777777777777",1786.054
S003,8,T13、T15,A/C,3585.443,4383.007,1480.0,2606.221,中继,RS01,"109.20361111111112,23.046388888888888",2816.993
S004,6,T18、T19、T20,A/C,6983.047,7031.185,2691.505,2985.838,中继,RS03,"109.24166666666667,23.066666666666666",216.953
S005,6,T21,C,7085.23,7085.23,835.23,931.627,中继,RS03,"109.24166666666667,23.066666666666666",3714.77
S006,6,T04、T07,A/C,965.502,1197.422,2216.176,1762.974,中继,RS01,"109.20361111111112,23.046388888888888",2634.498
S007,5,T07、T15,C,1919.74,3743.743,2084.71,2038.446,中继,RS01,"109.20361111111112,23.046388888888888",1680.26
S008,5,T14、T16,B/C,4315.651,4357.142,1495.021,2180.029,中继,RS01、RS02,"109.20361111111112,23.046388888888888、109.27277777777778,23.017777777777777",2842.858
S009,3,T17,B,6118.811,6118.811,517.563,650.879,中继,RS02、RS03,"109.24166666666667,23.066666666666666、109.27277777777778,23.017777777777777",4681.189
S010,3,T06,B,1085.226,1085.226,445.972,719.408,中继,RS02,"109.27277777777778,23.017777777777777",2514.774
S011,3,T18,C,6292.901,6292.901,1077.259,962.484,中继,RS03,"109.24166666666667,23.066666666666666",4507.099
S012,3,T05,B,1271.3,1271.3,480.471,1052.269,中继,RS02,"109.27277777777778,23.017777777777777",2328.7
S013,3,T10,B,2618.149,2618.149,360.728,759.744,中继,RS02,"109.27277777777778,23.017777777777777",981.851
S014,3,T02、T12,A,1272.762,3720.304,1554.797,2163.155,中继,RS01、RS02,"109.20361111111112,23.046388888888888、109.27277777777778,23.017777777777777",2327.238
S015,3,T04、T22,A/B,1718.732,8169.578,1646.116,1801.747,中继,RS01、RS04,"109.20361111111112,23.046388888888888",2630.422
