架次编号,机型,无人机,电池,开始_s,访问顺序,末箱交付_s,返回_s,能耗_kWh,SOC,直连时长_s,中继时长_s,中继架次
T01,A,U01,A-B1,0.0,S002,1283.809,2003.737981922964,3.0186909346307234,0.32917979230428374,499.96,1143.778,RS01、RS02
T02,A,U02,A-B2,0.0,S014,1272.762,1990.4098116021567,2.29097743864479,0.49089390252337994,662.558,967.852,RS02
T03,A,U03,A-B3,0.0,S001,968.573,1310.8995020717075,1.264345676408621,0.7190342941314176,857.275,63.625,RS01
T04,A,U04,A-B4,0.0,S006-S015,1718.732,2429.586299124555,2.8012013924532475,0.3775108016770561,990.491,1049.095,RS01
T05,B,U05,B-B1,0.0,S012,1271.3,1922.740350711997,2.752414298716089,0.3118964253209777,480.471,1052.269,RS02
T06,B,U06,B-B2,0.0,S010,1085.226,1555.3795657954859,1.823195697994833,0.5442010755012918,445.972,719.408,RS02
T07,C,U07,C-B1,0.0,S006-S007,1919.74,2479.563141315912,4.6919411118538195,0.41350736101827257,1225.685,713.878,RS01
T08,C,U08,C-B2,0.0,S001-S002,1813.946,2434.4425919491496,6.076588569528219,0.24042642880897258,738.726,1185.717,RS01、RS02
T09,A,U03,A-B5,1311.0,S001,2219.573,2561.8995020717075,1.2823460485393863,0.715034211435692,763.65,127.249,RS01
T10,B,U06,B-B3,1555.3795657954859,S013,2618.149,3065.8518908684655,1.824759272250453,0.5438101819373867,360.728,759.744,RS02
T11,B,U05,B-B4,1923.0,S001,2780.673,3072.1002072888764,1.2204176159531197,0.69489559601172,687.301,101.799,RS01
T12,A,U02,A-B6,1990.4098116021567,S001-S014,3720.304,4437.952364827624,2.841672367221946,0.3685172517284564,892.239,1195.303,RS01、RS02
T13,A,U01,A-B3,2176.1549197008644,S003,3585.443,4438.784198406516,3.0835927684021023,0.31475716257731057,620.976,1281.654,RS01
T14,C,U08,C-B3,2434.4425919491496,S001-S008,4315.651,5017.661750856043,6.301075911126103,0.21236551110923707,975.147,1128.073,RS01
T15,C,U07,C-B4,2480.0,S007-S003,4383.007,5173.592418347189,6.175700256389694,0.2280374679512882,859.025,1324.568,RS01
T16,B,U06,B-B2,3066.0,S008,4357.142,5027.831435656333,2.975216526357531,0.25619586841061726,519.875,1051.956,RS01、RS02
T17,B,U06,B-B3,5028.0,S009,6118.811,6586.4417330803035,2.0962337344036612,0.4759415663990847,517.563,650.879,RS02、RS03
T18,C,U08,C-B1,5259.0,S011-S004,7031.185,7748.742869202413,5.442995080999606,0.31962561487504926,1077.259,962.484,RS03
T19,A,U03,A-B2,5612.0,S004,6983.047,7790.800185365859,3.1911204497494783,0.29086212227789376,807.123,1011.677,RS03
T20,A,U04,A-B1,5612.0,S004,6983.047,7790.800185365859,3.0867994244115757,0.3140445723529832,807.123,1011.677,RS03
T21,C,U07,C-B2,5652.0,S005-S001,7646.957,7958.856686186946,4.992059388765995,0.37599257640425066,835.23,931.627,RS03
T22,B,U05,B-B1,7012.0,S015,8169.578,8780.276637405514,2.2032663191082777,0.44918342022293056,655.625,752.651,RS04
