架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U01,A,A-B1,0.0,S002-S012,2638.6077073212527,3.5938213760805615,0.20137302753765296,4176.822771522304,20.0,0.051000000000000004,"S002-MED-01,S002-WAT-04,S012-MED-01"
T02,U05,B,B-B1,0.0,S013,1510.4723250729799,1.824759272250453,0.5438101819373867,2967.8680097148426,25.0,0.067,"S013-FOD-01,S013-WAT-01,S013-MED-01"
T03,U02,A,A-B2,0.0,S004,2178.800185365859,3.1911204497494783,0.29086212227789376,3600.679426404597,22.0,0.055,"S004-WAT-01,S004-FOD-01"
T04,U07,C,C-B1,0.0,S002,2107.8123848059495,6.10565587337787,0.23679301582776624,4594.760850512456,64.0,0.17200000000000001,"S002-WAT-01,S002-HYG-01,S002-WAT-02,S002-FOD-02,S002-WAT-03,S002-FOD-01"
T05,U03,A,A-B3,0.0,S007,1727.4240845067302,1.9053430083441203,0.5765904425901955,2777.8565091394757,17.0,0.039,"S007-MED-01,S007-WAT-02"
T06,U06,B,B-B2,0.0,S001,1149.1002072888764,1.2204176159531197,0.69489559601172,2344.6145075352283,28.0,0.054,"S001-WAT-05,S001-WAT-02"
T07,U08,C,C-B2,0.0,S006,1561.5538679365604,2.597987864766336,0.6752515169042079,3098.5089146441096,59.0,0.156,"S006-HYG-01,S006-WAT-02,S006-FOD-01,S006-WAT-03,S006-MED-01,S006-WAT-01"
T08,U06,B,B-B3,1149.1002072888764,S014,3018.856623627893,2.1403884819942327,0.4649028795014418,4613.024965825394,25.0,0.067,"S014-MED-01,S014-FOD-01,S014-WAT-01"
T09,U08,C,C-B3,1561.5538679365604,S001,3121.7229452612437,2.9957692626909926,0.6255288421636259,4766.410453906721,78.0,0.199,"S001-WAT-03,S001-WAT-01,S001-WAT-08,S001-HYG-01,S001-FOD-02,S001-FOD-03,S001-WAT-07"
T10,U07,C,C-B4,2107.8123848059495,S001-S004,4894.302132607019,6.327540527265684,0.20905743409178945,7441.344358741475,77.0,0.214,"S001-HYG-02,S001-WAT-06,S001-MED-01,S001-WAT-04,S001-MED-02,S004-WAT-02,S004-WAT-03,S004-MED-01,S004-HYG-01"
T11,U08,C,C-B2,3121.7229452612437,S001-S005,5362.579631448188,4.766543177869576,0.40418210276630295,7486.851742121198,67.0,0.184,"S001-FOD-01,S005-FOD-01,S005-WAT-01,S005-MED-01,S005-HYG-01,S005-WAT-02,S005-WAT-03"
T12,U05,B,B-B4,1510.4723250729799,S010,3065.8518908684655,1.823195697994833,0.5442010755012918,4522.570026666226,25.0,0.067,"S010-WAT-01,S010-FOD-01,S010-MED-01"
T13,U07,C,C-B1,4894.302132607019,S007-S003,7521.894550954208,5.949636335844119,0.25629545801948517,9966.587725245325,62.0,0.179,"S007-HYG-01,S003-WAT-01,S003-WAT-04,S003-WAT-03,S003-HYG-01,S003-FOD-01"
T14,U04,A,A-B4,0.0,S012,2109.0900736032127,3.058457409355411,0.3203427979210197,3492.644436305887,22.0,0.055,"S012-FOD-01,S012-WAT-01"
T15,U06,B,B-B1,3018.856623627893,S015,4847.133261033407,2.307452824226977,0.42313679394325576,6513.6961515317635,25.0,0.067,"S015-MED-01,S015-FOD-01,S015-WAT-01"
T16,U05,B,B-B2,3065.8518908684655,S011,4254.2723630999935,1.0739517654257942,0.7315120586435515,5386.318128117838,25.0,0.067,"S011-FOD-01,S011-MED-01,S011-WAT-01"
T17,U03,A,A-B5,1727.4240845067302,S007,3454.8481690134604,1.9709223947656627,0.5620172456076304,4524.2257497235405,22.0,0.055,"S007-WAT-01,S007-FOD-01"
T18,U05,B,B-B4,4522.570026666226,S009,6081.01175974653,2.0962337344036612,0.4759415663990847,7656.046377988116,25.0,0.067,"S009-MED-01,S009-FOD-01,S009-WAT-01"
T19,U06,B,B-B3,4847.133261033407,S003,6927.656564531782,2.779917467852167,0.30502063303695826,8798.954133934389,25.0,0.067,"S003-WAT-02,S003-FOD-02,S003-MED-01"
T20,U08,C,C-B3,5362.579631448188,S008,7562.2808445296505,5.8360117114626515,0.27049853606716856,9976.200683050785,45.0,0.129,"S008-MED-01,S008-HYG-01,S008-FOD-01,S008-WAT-01,S008-WAT-02"
