货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,优先系数,加权延误
S001-FOD-01,T11,S001,4153.992483923585,应急食品,7200.0,,10.0,0.0
S001-FOD-02,T09,S001,2809.823406598901,应急食品,7200.0,,10.0,0.0
S001-FOD-03,T09,S001,2809.823406598901,应急食品,7200.0,,10.0,0.0
S001-HYG-01,T09,S001,2809.823406598901,生活卫生用品,10800.0,,8.0,0.0
S001-HYG-02,T10,S001,3344.08192346829,生活卫生用品,10800.0,,8.0,0.0
S001-MED-01,T10,S001,3344.08192346829,医疗物资,3600.0,3600.0,24.0,0.0
S001-MED-02,T10,S001,3344.08192346829,医疗物资,3600.0,3600.0,24.0,0.0
S001-WAT-01,T09,S001,2809.823406598901,饮用水,3600.0,3600.0,12.0,0.0
S001-WAT-02,T06,S001,857.6734369777703,饮用水,3600.0,,12.0,0.0
S001-WAT-03,T09,S001,2809.823406598901,饮用水,3600.0,,12.0,0.0
S001-WAT-04,T10,S001,3344.08192346829,饮用水,3600.0,,12.0,0.0
S001-WAT-05,T06,S001,857.6734369777703,饮用水,3600.0,,12.0,0.0
S001-WAT-06,T10,S001,3344.08192346829,饮用水,3600.0,,12.0,0.0
S001-WAT-07,T09,S001,2809.823406598901,饮用水,3600.0,,12.0,0.0
S001-WAT-08,T09,S001,2809.823406598901,饮用水,3600.0,,12.0,0.0
S002-FOD-01,T04,S002,1487.3161924029778,应急食品,7200.0,,10.0,0.0
S002-FOD-02,T04,S002,1487.3161924029778,应急食品,7200.0,,10.0,0.0
S002-HYG-01,T04,S002,1487.3161924029778,生活卫生用品,10800.0,,8.0,0.0
S002-MED-01,T01,S002,1313.808990961486,医疗物资,3600.0,3600.0,24.0,0.0
S002-WAT-01,T04,S002,1487.3161924029778,饮用水,3600.0,3600.0,12.0,0.0
S002-WAT-02,T04,S002,1487.3161924029778,饮用水,3600.0,,12.0,0.0
S002-WAT-03,T04,S002,1487.3161924029778,饮用水,3600.0,,12.0,0.0
S002-WAT-04,T01,S002,1313.808990961486,饮用水,3600.0,,12.0,0.0
S003-FOD-01,T13,S003,6731.308876174422,应急食品,10800.0,,8.0,0.0
S003-FOD-02,T19,S003,6195.368246115928,应急食品,10800.0,,8.0,0.0
S003-HYG-01,T13,S003,6731.308876174422,生活卫生用品,14400.0,,6.0,0.0
S003-MED-01,T19,S003,6195.368246115928,医疗物资,7200.0,7200.0,20.0,0.0
S003-WAT-01,T13,S003,6731.308876174422,饮用水,7200.0,7200.0,10.0,0.0
S003-WAT-02,T19,S003,6195.368246115928,饮用水,7200.0,,10.0,0.0
S003-WAT-03,T13,S003,6731.308876174422,饮用水,7200.0,,10.0,0.0
S003-WAT-04,T13,S003,6731.308876174422,饮用水,7200.0,,10.0,0.0
S004-FOD-01,T03,S004,1371.046759349601,应急食品,10800.0,,8.0,0.0
S004-HYG-01,T10,S004,4176.743786365954,生活卫生用品,14400.0,,6.0,0.0
S004-MED-01,T10,S004,4176.743786365954,医疗物资,7200.0,7200.0,20.0,0.0
S004-WAT-01,T03,S004,1371.046759349601,饮用水,7200.0,7200.0,10.0,0.0
S004-WAT-02,T10,S004,4176.743786365954,饮用水,7200.0,,10.0,0.0
S004-WAT-03,T10,S004,4176.743786365954,饮用水,7200.0,,10.0,0.0
S005-FOD-01,T11,S005,4858.6193691855,应急食品,14400.0,,6.0,0.0
S005-HYG-01,T11,S005,4858.6193691855,生活卫生用品,18000.0,,4.0,0.0
S005-MED-01,T11,S005,4858.6193691855,医疗物资,10800.0,10800.0,16.0,0.0
S005-WAT-01,T11,S005,4858.6193691855,饮用水,10800.0,10800.0,8.0,0.0
S005-WAT-02,T11,S005,4858.6193691855,饮用水,10800.0,,8.0,0.0
S005-WAT-03,T11,S005,4858.6193691855,饮用水,10800.0,,8.0,0.0
S006-FOD-01,T07,S006,1209.4219339682802,应急食品,7200.0,,10.0,0.0
S006-HYG-01,T07,S006,1209.4219339682802,生活卫生用品,10800.0,,8.0,0.0
S006-MED-01,T07,S006,1209.4219339682802,医疗物资,3600.0,3600.0,24.0,0.0
S006-WAT-01,T07,S006,1209.4219339682802,饮用水,3600.0,3600.0,12.0,0.0
S006-WAT-02,T07,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S006-WAT-03,T07,S006,1209.4219339682802,饮用水,3600.0,,12.0,0.0
S007-FOD-01,T17,S007,2868.7761267600963,应急食品,7200.0,,10.0,0.0
S007-HYG-01,T13,S007,6128.045361258345,生活卫生用品,10800.0,,8.0,0.0
S007-MED-01,T05,S007,1141.352042253366,医疗物资,3600.0,3600.0,24.0,0.0
S007-WAT-01,T17,S007,2868.7761267600963,饮用水,3600.0,3600.0,12.0,0.0
S007-WAT-02,T05,S007,1141.352042253366,饮用水,3600.0,,12.0,0.0
S008-FOD-01,T20,S008,6860.270237988923,应急食品,10800.0,,8.0,0.0
S008-HYG-01,T20,S008,6860.270237988923,生活卫生用品,14400.0,,6.0,0.0
S008-MED-01,T20,S008,6860.270237988923,医疗物资,7200.0,7200.0,20.0,0.0
S008-WAT-01,T20,S008,6860.270237988923,饮用水,7200.0,7200.0,10.0,0.0
S008-WAT-02,T20,S008,6860.270237988923,饮用水,7200.0,,10.0,0.0
S009-FOD-01,T18,S009,5613.380893206376,应急食品,14400.0,,6.0,0.0
S009-MED-01,T18,S009,5613.380893206376,医疗物资,10800.0,10800.0,16.0,0.0
S009-WAT-01,T18,S009,5613.380893206376,饮用水,10800.0,10800.0,8.0,0.0
S010-FOD-01,T12,S010,2595.6987746373884,应急食品,7200.0,,10.0,0.0
S010-MED-01,T12,S010,2595.6987746373884,医疗物资,3600.0,3600.0,24.0,0.0
S010-WAT-01,T12,S010,2595.6987746373884,饮用水,3600.0,3600.0,12.0,0.0
S011-FOD-01,T16,S011,3972.2487936508933,应急食品,14400.0,,6.0,0.0
S011-MED-01,T16,S011,3972.2487936508933,医疗物资,10800.0,10800.0,16.0,0.0
S011-WAT-01,T16,S011,3972.2487936508933,饮用水,10800.0,10800.0,8.0,0.0
S012-FOD-01,T14,S012,1334.4750368016162,应急食品,7200.0,,10.0,0.0
S012-MED-01,T01,S012,1863.9926705196565,医疗物资,7200.0,3600.0,22.0,0.0
S012-WAT-01,T14,S012,1334.4750368016162,饮用水,3600.0,3600.0,12.0,0.0
S013-FOD-01,T02,S013,1062.769495869822,应急食品,7200.0,,10.0,0.0
S013-MED-01,T02,S013,1062.769495869822,医疗物资,3600.0,3600.0,24.0,0.0
S013-WAT-01,T02,S013,1062.769495869822,饮用水,3600.0,3600.0,12.0,0.0
S014-FOD-01,T08,S014,2391.535082125052,应急食品,7200.0,,10.0,0.0
S014-MED-01,T08,S014,2391.535082125052,医疗物资,7200.0,3600.0,22.0,0.0
S014-WAT-01,T08,S014,2391.535082125052,饮用水,3600.0,3600.0,12.0,0.0
S015-FOD-01,T15,S015,4236.434942330653,应急食品,14400.0,,6.0,0.0
S015-MED-01,T15,S015,4236.434942330653,医疗物资,7200.0,7200.0,18.0,0.0
S015-WAT-01,T15,S015,4236.434942330653,饮用水,10800.0,10800.0,8.0,0.0
