架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U05,B,B-B1,0.0,S013,1510.4723250729799,1.824759272250453,0.5438101819373867,2967.8680097148426,25.0,0.067,"S013-MED-01,S013-FOD-01,S013-WAT-01"
T02,U01,A,A-B1,0.0,S012,2109.0900736032127,2.865966212474537,0.36311861945010293,3437.035868318079,11.0,0.04,"S012-MED-01,S012-FOD-01"
T03,U06,B,B-B2,0.0,S001,1149.1002072888764,1.0739809721681262,0.7315047569579685,2281.158628561731,20.0,0.062,"S001-WAT-08,S001-HYG-02"
T04,U02,A,A-B2,0.0,S001,1250.8995020717075,1.2823460485393863,0.715034211435692,2121.355027205308,22.0,0.055,"S001-WAT-03,S001-FOD-01"
T05,U03,A,A-B3,0.0,S007-S015,2309.9933859262355,2.636372597174475,0.41413942285011673,3571.612136221084,20.0,0.051000000000000004,"S007-WAT-02,S007-MED-01,S015-MED-01"
T06,U07,C,C-B1,0.0,S001,1560.1690773246835,2.9957692626909926,0.6255288421636259,3204.8565859701607,78.0,0.199,"S001-WAT-01,S001-WAT-02,S001-WAT-07,S001-FOD-03,S001-HYG-01,S001-WAT-05,S001-FOD-02"
T07,U06,B,B-B3,1149.1002072888764,S010,2704.479773084362,1.823195697994833,0.5442010755012918,4161.197908882123,25.0,0.067,"S010-MED-01,S010-FOD-01,S010-WAT-01"
T08,U04,A,A-B4,0.0,S001,1310.8995020717075,1.264345676408621,0.7190342941314176,2176.1549197008644,20.0,0.051000000000000004,"S001-WAT-04,S001-MED-01,S001-MED-02"
T09,U02,A,A-B5,1250.8995020717075,S015,3219.488905192531,2.5576944734703684,0.4316234503399181,4458.3784197506375,22.0,0.055,"S015-FOD-01,S015-WAT-01"
T10,U08,C,C-B2,0.0,S006,1561.5538679365604,2.597987864766336,0.6752515169042079,3098.5089146441096,59.0,0.156,"S006-WAT-01,S006-WAT-03,S006-FOD-01,S006-WAT-02,S006-HYG-01,S006-MED-01"
T11,U05,B,B-B4,1510.4723250729799,S014,3380.2287414119965,2.1403884819942327,0.4649028795014418,4974.397083609498,25.0,0.067,"S014-WAT-01,S014-MED-01,S014-FOD-01"
T12,U04,A,A-B6,1310.8995020717075,S007,3038.3235865784377,1.9709223947656627,0.5620172456076304,4107.701167288518,22.0,0.055,"S007-FOD-01,S007-WAT-01"
T13,U07,C,C-B3,1560.1690773246835,S001-S002,3994.6116692738333,6.250732313349532,0.21865846083130847,6520.851670805998,73.0,0.183,"S001-WAT-06,S002-HYG-01,S002-WAT-01,S002-WAT-02,S002-MED-01,S002-WAT-04,S002-FOD-01"
T14,U08,C,C-B4,1561.5538679365604,S005,3438.7443924619365,4.222192859504679,0.47222589256191516,5415.588291911121,59.0,0.156,"S005-WAT-02,S005-WAT-01,S005-WAT-03,S005-MED-01,S005-FOD-01,S005-HYG-01"
T15,U06,B,B-B2,2704.479773084362,S008,4606.311208740695,2.6676902645826464,0.3330774338543384,6428.976990059842,17.0,0.039,"S008-MED-01,S008-WAT-02"
T16,U05,B,B-B1,3380.2287414119965,S008,5222.06017706833,2.445286633173038,0.38867834170674054,6948.351051443313,6.0,0.035,S008-HYG-01
T17,U01,A,A-B2,2121.355027205308,S012,4170.445100808521,2.9084381170186355,0.3536804184403032,5510.6605568361265,14.0,0.027,S012-WAT-01
T18,U06,B,B-B3,4606.311208740695,S009,6164.752941820999,2.0962337344036612,0.4759415663990847,7739.787560062585,25.0,0.067,"S009-FOD-01,S009-WAT-01,S009-MED-01"
T19,U03,A,A-B4,2309.9933859262355,S002,4313.731367849199,3.0186909346307234,0.32917979230428374,5685.7976378536305,22.0,0.055,"S002-WAT-03,S002-FOD-02"
T20,U05,B,B-B4,5222.06017706833,S011,6410.480649299858,1.0739517654257942,0.7315120586435515,7542.526414317702,25.0,0.067,"S011-WAT-01,S011-MED-01,S011-FOD-01"
T21,U02,A,A-B1,3437.035868318079,S003,5699.66514702373,3.0835927684021023,0.31475716257731057,7090.4808356732265,22.0,0.055,"S003-WAT-02,S003-FOD-02"
T22,U04,A,A-B3,3571.612136221084,S008,5742.744675623857,3.308433947956014,0.26479245600977463,7198.51448281115,22.0,0.055,"S008-FOD-01,S008-WAT-01"
T23,U08,C,C-B1,3438.7443924619365,S003,5874.83574202151,5.897088917255011,0.26286388534312366,8305.297323778075,59.0,0.156,"S003-WAT-04,S003-HYG-01,S003-FOD-01,S003-WAT-03,S003-WAT-01,S003-MED-01"
T24,U07,C,C-B2,3994.6116692738333,S004,6295.668361755974,6.152932018901058,0.2308834976373677,8795.420783541678,59.0,0.156,"S004-WAT-03,S004-MED-01,S004-WAT-01,S004-WAT-02,S004-FOD-01,S004-HYG-01"
T25,U01,A,A-B6,4170.445100808521,S007,5837.86918531525,1.8059020424207612,0.5986884350176086,6859.574219792359,6.0,0.035,S007-HYG-01
