方案,种子,迭代,当前代价,历史最优代价,历史最优完成时间_s,历史最优能耗_kWh,历史最优架次
完成时间优先,0,100,67261.54545163432,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,300,69504.3831798706,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,500,69719.92006583035,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,800,69870.26160374531,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,1100,68190.04975122787,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,1200,67872.8197465762,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,1300,67884.5309536318,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,1400,67862.79958084114,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,1500,67843.09879991514,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,1600,67372.54255563949,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,1700,66784.90182469515,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,1800,66775.34182033002,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,1900,66775.45578762692,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,2000,67236.6148210629,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,2200,67235.60075865945,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,2300,66766.8118401283,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,2400,66765.86248338851,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,2500,66765.70171778854,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,2600,66765.93849307355,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,2700,66782.16540735248,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,2800,66782.27661640928,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,2900,66780.93689417464,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,3000,66782.38936782416,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,3100,66781.00919721466,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,3200,66780.79853532108,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,3300,66778.81604746367,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,3400,66778.77000837386,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,3500,66779.5513440643,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,3600,66779.42853607619,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,4100,66596.65944028259,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,4300,66608.06163132985,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,4400,66234.92657160712,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,4500,66183.21069544795,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,4600,66181.5437910052,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,4700,66181.48695141141,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,5000,66180.54135876425,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,5100,66181.22010147863,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,5200,66180.92792293783,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,5300,66182.59514072549,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,5500,66184.07010251304,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,5600,66184.36304100981,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,5700,66182.03844984641,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,5900,66182.29663524566,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,6000,66183.36611208296,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,6100,66181.09942266399,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,6200,66183.98516002152,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,6300,66181.74870015518,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,6400,66180.74868008206,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,6700,66172.34795554119,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,6800,66171.0541165542,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,7000,66173.05555689284,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,7100,66172.55894111982,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,7200,66172.50849962162,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,7300,66170.71403316442,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,7600,66171.37661649885,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,7700,66170.87534424002,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,0,7900,66170.83947140422,65848.09485326738,6539.12979236453,68.35938592441566,23
完成时间优先,1,100,67127.64263181445,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,200,67665.82907110265,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,400,67127.91447369252,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,500,67139.39583586664,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,600,71667.09531315457,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,700,71666.92979865847,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,800,71653.1296953008,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,900,68482.89305857586,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,1000,67826.43540647705,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,1200,67035.17913976402,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,1300,65716.46538469211,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,1600,65689.96004774977,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,1700,65690.25081278055,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,1900,65697.36290881973,65685.82717841868,6522.900301924575,68.36483183458577,23
完成时间优先,1,2000,65025.731881980806,65024.505260548394,6455.5155113126975,69.87002948428419,24
完成时间优先,1,2200,65140.61127470382,65016.63376978399,6455.5155113126975,69.29573133140352,23
完成时间优先,1,2600,65023.74109086592,64738.9954249237,6427.573880477822,69.6513240290946,23
完成时间优先,1,2700,65021.50248730272,64738.9954249237,6427.573880477822,69.6513240290946,23
