方案,hard_excess_s,weighted_tardiness,makespan_s,energy_kwh,sorties,boxes,是否非支配,对应结果文件
检查点V1,0.0,0.0,6539.12979236453,68.35938592441566,23,80,True,非支配方案_01
完成时间优先_种子0,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
词典序候选_完成时间优先_种子0,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
完成时间优先_种子1,0.0,0.0,6427.573880477822,69.05082715556895,23,80,True,非支配方案_02
词典序候选_完成时间优先_种子1,0.0,0.0,6427.573880477816,69.17154152955288,23,80,False,
完成时间优先_种子2,0.0,0.0,6455.5155113126975,71.23514456552829,24,80,False,
词典序候选_完成时间优先_种子2,0.0,0.0,6455.5155113126975,71.23514456552829,24,80,False,
完成时间优先_种子3,0.0,0.0,6455.387890022364,73.71707049331766,26,80,False,
词典序候选_完成时间优先_种子3,0.0,0.0,6455.387890022364,73.71707049331766,26,80,False,
完成时间优先_种子4,0.0,0.0,6410.480649299858,69.96489527172167,25,80,True,非支配方案_03
词典序候选_完成时间优先_种子4,0.0,0.0,6410.480649299858,69.96489527172167,25,80,False,
完成时间优先,0.0,0.0,6410.480649299858,69.96489527172167,25,80,False,
均衡_种子0,0.0,0.0,7626.505888133808,65.42387592423036,21,80,False,
词典序候选_均衡_种子0,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
均衡_种子1,0.0,0.0,6945.40915087114,66.60004740438202,23,80,True,非支配方案_04
词典序候选_均衡_种子1,0.0,0.0,6522.900301924575,68.36483183458577,23,80,True,非支配方案_05
均衡_种子2,0.0,0.0,7562.2808445296505,63.5651262516737,20,80,True,非支配方案_06
词典序候选_均衡_种子2,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
均衡_种子3,0.0,0.0,7323.894550954208,66.43423072945612,22,80,True,非支配方案_07
词典序候选_均衡_种子3,0.0,0.0,6522.900301924575,68.37320250592983,23,80,False,
均衡_种子4,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
词典序候选_均衡_种子4,0.0,0.0,6522.900301924575,69.18248545787776,24,80,False,
均衡,0.0,0.0,7562.2808445296505,63.5651262516737,20,80,False,
能耗优先_种子0,0.0,0.0,9270.097608986352,66.43178691296359,23,80,False,
词典序候选_能耗优先_种子0,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
能耗优先_种子1,0.0,0.0,8437.031527084582,65.36741849185151,23,80,False,
词典序候选_能耗优先_种子1,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
能耗优先_种子2,0.0,0.0,7656.159638363681,63.29614308938759,22,80,True,非支配方案_08
词典序候选_能耗优先_种子2,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
能耗优先_种子3,0.0,0.0,8063.862966509814,67.74251443666134,24,80,False,
词典序候选_能耗优先_种子3,0.0,0.0,6532.3708703298835,70.02202922183473,24,80,False,
能耗优先_种子4,0.0,0.0,9190.25771648003,67.07666604751753,24,80,False,
词典序候选_能耗优先_种子4,0.0,0.0,6532.3708703298835,69.36546884959914,24,80,False,
能耗优先,0.0,0.0,7656.159638363681,63.29614308938759,22,80,False,
架次优先_种子0,0.0,0.0,7554.656338989034,66.70372614505777,21,80,True,非支配方案_09
词典序候选_架次优先_种子0,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
架次优先_种子1,0.0,0.0,7587.894550954208,65.40218518798851,21,80,False,
词典序候选_架次优先_种子1,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
架次优先_种子2,0.0,0.0,6840.501910148633,67.68206176280651,22,80,True,非支配方案_10
词典序候选_架次优先_种子2,0.0,0.0,6539.12979236453,68.35938592441566,23,80,False,
架次优先_种子3,0.0,0.0,7990.172049795377,64.41781152892175,20,80,False,
词典序候选_架次优先_种子3,0.0,0.0,6532.3708703298835,70.02202922183473,24,80,False,
架次优先_种子4,0.0,0.0,8141.15596102237,61.61086252626353,20,80,True,非支配方案_11
词典序候选_架次优先_种子4,0.0,0.0,6532.3708703298835,69.36546884959914,24,80,False,
架次优先,0.0,0.0,8141.15596102237,61.61086252626353,20,80,False,
