起点,终点,水平距离（m）,起点作业海拔（m）,终点作业海拔（m）,航段DEM最高海拔（m）,计划巡航海拔（m）,起点爬升（m）,终点下降（m）,经过DEM像元段数
O01,S001,3053.9788434849133,127.7,184.0,223.05661010742188,273.0566101074219,145.3566101074219,89.05661010742188,136
O01,S002,7411.310455014392,127.7,219.5,258.9542541503906,308.9542541503906,181.25425415039064,89.45425415039062,323
O01,S003,7263.179256218293,127.7,338.5,511.80413818359375,561.8041381835938,434.10413818359376,223.30413818359375,338
O01,S004,7714.696449109275,127.7,228.3,348.2391662597656,398.2391662597656,270.53916625976564,169.9391662597656,276
O01,S005,5280.606936870006,127.7,195.0,276.410888671875,326.410888671875,198.710888671875,131.410888671875,181
O01,S006,3186.208178225374,127.7,314.8,316.09783935546875,366.09783935546875,238.39783935546876,51.29783935546874,116
O01,S007,4534.460566610705,127.7,348.5,461.9731750488281,511.9731750488281,384.27317504882814,163.47317504882812,213
O01,S008,8079.033112393255,127.7,270.9,322.9093322753906,372.9093322753906,245.20933227539064,102.00933227539065,321
O01,S009,5705.144962213574,127.7,230.0,243.22891235351562,293.2289123535156,165.52891235351564,63.228912353515625,253
O01,S010,4784.494851376283,127.7,351.6,385.63653564453125,435.63653564453125,307.93653564453126,84.03653564453123,203
O01,S011,2808.074232654385,127.7,212.1,245.36175537109375,295.36175537109375,167.66175537109376,83.26175537109376,123
O01,S012,7390.491686736581,127.7,279.8,363.3009948730469,413.3009948730469,285.6009948730469,133.50099487304686,354
O01,S013,4849.242377012176,127.7,351.7,349.18182373046875,399.18182373046875,271.48182373046876,47.48182373046876,228
O01,S014,5419.601857894197,127.7,351.0,541.9473876953125,591.9473876953125,464.2473876953125,240.9473876953125,203
O01,S015,6009.382971459367,127.7,474.5,521.7992553710938,571.7992553710938,444.09925537109376,97.29925537109375,286
S001,O01,3053.9788434849506,184.0,127.7,223.05661010742188,273.0566101074219,89.05661010742188,145.3566101074219,136
S001,S002,4360.597539112056,184.0,219.5,259.2448425292969,309.2448425292969,125.24484252929688,89.74484252929688,188
S001,S003,7658.743084525746,184.0,338.5,505.94439697265625,555.9443969726562,371.94439697265625,217.44439697265625,293
S001,S004,4927.678447004999,184.0,228.3,358.7777404785156,408.7777404785156,224.77774047851562,180.4777404785156,179
S001,S005,2928.0402723369334,184.0,195.0,266.13800048828125,316.13800048828125,132.13800048828125,121.13800048828125,136
S001,S006,5296.167856567672,184.0,314.8,343.9356384277344,393.9356384277344,209.93563842773438,79.13563842773436,251
S001,S007,5187.8832294988915,184.0,348.5,389.17535400390625,439.17535400390625,255.17535400390625,90.67535400390625,198
S001,S008,5968.20840502026,184.0,270.9,316.78717041015625,366.78717041015625,182.78717041015625,95.88717041015627,276
S001,S009,2651.198773834951,184.0,230.0,243.22891235351562,293.2289123535156,109.22891235351562,63.228912353515625,118
S001,S010,3709.894179942299,184.0,351.6,381.0796813964844,431.0796813964844,247.07968139648438,79.47968139648435,170
S001,S011,2354.092459279045,184.0,212.1,226.38790893554688,276.3879089355469,92.38790893554688,64.28790893554688,90
S001,S012,4697.683538449283,184.0,279.8,385.599609375,435.599609375,251.599609375,155.799609375,219
S001,S013,2898.8257526774955,184.0,351.7,328.3608093261719,378.3608093261719,194.36080932617188,26.660809326171886,111
S001,S014,5196.211104318688,184.0,351.0,550.0504150390625,600.0504150390625,416.0504150390625,249.0504150390625,248
