货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,优先系数,加权延误
S001-FOD-01,T06,S001,2809.823406598901,应急食品,7200.0,,10.0,0.0
S001-FOD-02,T18,S001,908.5730843691855,应急食品,7200.0,,10.0,0.0
S001-FOD-03,T02,S001,1182.2695386623404,应急食品,7200.0,,10.0,0.0
S001-HYG-01,T06,S001,2809.823406598901,生活卫生用品,10800.0,,8.0,0.0
S001-HYG-02,T06,S001,2809.823406598901,生活卫生用品,10800.0,,8.0,0.0
S001-MED-01,T06,S001,2809.823406598901,医疗物资,3600.0,3600.0,24.0,0.0
S001-MED-02,T02,S001,1182.2695386623404,医疗物资,3600.0,3600.0,24.0,0.0
S001-WAT-01,T06,S001,2809.823406598901,饮用水,3600.0,3600.0,12.0,0.0
S001-WAT-02,T06,S001,2809.823406598901,饮用水,3600.0,,12.0,0.0
S001-WAT-03,T02,S001,1182.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-04,T06,S001,2809.823406598901,饮用水,3600.0,,12.0,0.0
S001-WAT-05,T02,S001,1182.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-06,T02,S001,1182.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-07,T02,S001,1182.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-08,T18,S001,908.5730843691855,饮用水,3600.0,,12.0,0.0
S002-FOD-01,T04,S002,1283.808990961486,应急食品,7200.0,,10.0,0.0
S002-FOD-02,T03,S002,2981.485269727661,应急食品,7200.0,,10.0,0.0
S002-HYG-01,T03,S002,2981.485269727661,生活卫生用品,10800.0,,8.0,0.0
S002-MED-01,T03,S002,2981.485269727661,医疗物资,3600.0,3600.0,24.0,0.0
S002-WAT-01,T04,S002,1283.808990961486,饮用水,3600.0,3600.0,12.0,0.0
S002-WAT-02,T03,S002,2981.485269727661,饮用水,3600.0,,12.0,0.0
S002-WAT-03,T03,S002,2981.485269727661,饮用水,3600.0,,12.0,0.0
S002-WAT-04,T03,S002,2981.485269727661,饮用水,3600.0,,12.0,0.0
S003-FOD-01,T10,S003,7098.285312523171,应急食品,10800.0,,8.0,0.0
S003-FOD-02,T10,S003,7098.285312523171,应急食品,10800.0,,8.0,0.0
S003-HYG-01,T10,S003,7098.285312523171,生活卫生用品,14400.0,,6.0,0.0
S003-MED-01,T10,S003,7098.285312523171,医疗物资,7200.0,7200.0,20.0,0.0
S003-WAT-01,T10,S003,7098.285312523171,饮用水,7200.0,7200.0,10.0,0.0
S003-WAT-02,T09,S003,5473.379761717208,饮用水,7200.0,,10.0,0.0
S003-WAT-03,T09,S003,5473.379761717208,饮用水,7200.0,,10.0,0.0
S003-WAT-04,T10,S003,7098.285312523171,饮用水,7200.0,,10.0,0.0
S004-FOD-01,T08,S004,4705.221291502317,应急食品,10800.0,,8.0,0.0
S004-HYG-01,T08,S004,4705.221291502317,生活卫生用品,14400.0,,6.0,0.0
S004-MED-01,T08,S004,4705.221291502317,医疗物资,7200.0,7200.0,20.0,0.0
S004-WAT-01,T08,S004,4705.221291502317,饮用水,7200.0,7200.0,10.0,0.0
S004-WAT-02,T08,S004,4705.221291502317,饮用水,7200.0,,10.0,0.0
S004-WAT-03,T08,S004,4705.221291502317,饮用水,7200.0,,10.0,0.0
S005-FOD-01,T19,S005,7637.195698759682,应急食品,14400.0,,6.0,0.0
S005-HYG-01,T19,S005,7637.195698759682,生活卫生用品,18000.0,,4.0,0.0
