架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U01,A,A-B1,0.0,S004,2178.800185365859,3.1911204497494783,0.29086212227789376,3600.679426404597,22.0,0.055,"S004-WAT-03,S004-FOD-01"
T02,U02,A,A-B2,0.0,S007,1727.4240845067302,1.9053430083441203,0.5765904425901955,2777.8565091394757,17.0,0.039,"S007-WAT-02,S007-MED-01"
T03,U05,B,B-B1,0.0,S013,1510.4723250729799,1.824759272250453,0.5438101819373867,2967.8680097148426,25.0,0.067,"S013-MED-01,S013-WAT-01,S013-FOD-01"
T04,U07,C,C-B1,0.0,S001,1560.1690773246835,2.8127063028630506,0.6484117121421187,3155.277034350093,73.0,0.183,"S001-WAT-07,S001-WAT-04,S001-HYG-01,S001-FOD-01,S001-WAT-08,S001-MED-02,S001-WAT-06"
T05,U08,C,C-B2,0.0,S006,1561.5538679365604,2.597987864766336,0.6752515169042079,3098.5089146441096,59.0,0.156,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01"
T06,U03,A,A-B3,0.0,S001,1250.8995020717075,1.2823460485393863,0.715034211435692,2121.355027205308,22.0,0.055,"S001-WAT-01,S001-FOD-03"
T07,U07,C,C-B3,1560.1690773246835,S002,3667.981462130633,5.853071690112539,0.2683660387359327,6086.521711536112,59.0,0.156,"S002-HYG-01,S002-WAT-04,S002-MED-01,S002-WAT-01,S002-WAT-03,S002-FOD-01"
T08,U06,B,B-B2,0.0,S012,1922.740350711997,2.752414298716089,0.3118964253209777,3782.1198801556357,25.0,0.067,"S012-FOD-01,S012-MED-01,S012-WAT-01"
T09,U05,B,B-B3,1510.4723250729799,S010,3065.8518908684655,1.823195697994833,0.5442010755012918,4522.570026666226,25.0,0.067,"S010-MED-01,S010-WAT-01,S010-FOD-01"
T10,U08,C,C-B4,1561.5538679365604,S001-S004,4282.043615737631,6.217917710443217,0.22276028619459787,6799.396328982669,74.0,0.202,"S001-WAT-02,S001-WAT-05,S001-MED-01,S001-HYG-02,S004-WAT-02,S004-HYG-01,S004-WAT-01,S004-MED-01"
T11,U04,A,A-B4,0.0,S001,1250.8995020717075,1.2823460485393863,0.715034211435692,2121.355027205308,22.0,0.055,"S001-FOD-02,S001-WAT-03"
T12,U06,B,B-B4,1922.740350711997,S014,3792.496767051014,2.1403884819942327,0.4649028795014418,5386.665109248515,25.0,0.067,"S014-FOD-01,S014-WAT-01,S014-MED-01"
T13,U03,A,A-B5,1250.8995020717075,S003,3513.5287807773593,3.0835927684021023,0.31475716257731057,4904.3444694268555,22.0,0.055,"S003-FOD-01,S003-WAT-01"
T14,U05,B,B-B1,3065.8518908684655,S009,4624.293623948769,2.0962337344036612,0.4759415663990847,6199.328242190355,25.0,0.067,"S009-MED-01,S009-FOD-01,S009-WAT-01"
T15,U06,B,B-B2,3792.496767051014,S008,5754.328202707347,2.975216526357531,0.25619586841061726,7710.255364128944,25.0,0.067,"S008-MED-01,S008-FOD-01,S008-WAT-02"
T16,U05,B,B-B3,4624.293623948769,S015,6452.570261354283,2.307452824226977,0.42313679394325576,8119.1331518526395,25.0,0.067,"S015-MED-01,S015-WAT-01,S015-FOD-01"
T17,U06,B,B-B4,5754.328202707347,S008,7656.159638363681,2.763441255255242,0.3091396861861895,9520.317515640952,20.0,0.062,"S008-HYG-01,S008-WAT-01"
T18,U05,B,B-B1,6452.570261354283,S011,7640.99073358581,1.0739517654257942,0.7315120586435515,8773.036498603655,25.0,0.067,"S011-MED-01,S011-WAT-01,S011-FOD-01"
T19,U07,C,C-B1,3667.981462130633,S005,5545.171986656009,4.222192859504679,0.47222589256191516,7522.015886105193,59.0,0.156,"S005-MED-01,S005-HYG-01,S005-WAT-03,S005-WAT-02,S005-FOD-01,S005-WAT-01"
T20,U08,C,C-B2,4282.043615737631,S007-S003,6975.63603408482,6.100851152102096,0.23739360598723802,9461.28322111247,65.0,0.191,"S007-HYG-01,S003-MED-01,S003-WAT-03,S003-FOD-02,S003-WAT-02,S003-WAT-04,S003-HYG-01"
T21,U04,A,A-B6,1250.8995020717075,S007,2978.3235865784377,1.9709223947656627,0.5620172456076304,4047.7011672885183,22.0,0.055,"S007-FOD-01,S007-WAT-01"
T22,U02,A,A-B3,2121.355027205308,S002,4125.093009128272,3.0186909346307234,0.32917979230428374,5497.159279132703,22.0,0.055,"S002-WAT-02,S002-FOD-02"
