架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U05,B,B-B1,0.0,S001,1149.1002072888764,1.2204176159531197,0.69489559601172,2344.6145075352283,28.0,0.054,"S001-WAT-08,S001-WAT-02"
T02,U01,A,A-B1,0.0,S002,2003.737981922964,3.0186909346307234,0.32917979230428374,3375.804251927395,22.0,0.055,"S002-FOD-02,S002-WAT-01"
T03,U07,C,C-B1,0.0,S001,1560.1690773246835,2.72039250271823,0.6599509371602212,3130.275380144204,70.0,0.16,"S001-WAT-05,S001-FOD-02,S001-WAT-03,S001-WAT-06,S001-MED-02,S001-MED-01,S001-WAT-01"
T04,U02,A,A-B2,0.0,S012,2109.0900736032127,2.865966212474537,0.36311861945010293,3437.035868318079,11.0,0.04,"S012-MED-01,S012-FOD-01"
T05,U03,A,A-B3,0.0,S012,2049.0900736032127,2.9084381170186355,0.3536804184403032,3389.3055296308185,14.0,0.027,S012-WAT-01
T06,U06,B,B-B2,0.0,S010,1555.3795657954859,1.823195697994833,0.5442010755012918,3012.0977015932467,25.0,0.067,"S010-WAT-01,S010-FOD-01,S010-MED-01"
T07,U05,B,B-B3,1149.1002072888764,S001,2298.200414577753,1.2204176159531197,0.69489559601172,3493.7147148241047,28.0,0.054,"S001-WAT-07,S001-WAT-04"
T08,U08,C,C-B2,0.0,S002,2107.8123848059495,5.853071690112539,0.2683660387359327,4526.352634211429,59.0,0.156,"S002-WAT-04,S002-WAT-03,S002-FOD-01,S002-WAT-02,S002-HYG-01,S002-MED-01"
T09,U04,A,A-B4,0.0,S007,1727.4240845067302,1.9709223947656627,0.5620172456076304,2796.8016652168108,22.0,0.055,"S007-FOD-01,S007-WAT-02"
T10,U06,B,B-B4,1555.3795657954859,S014,3425.1359821345027,2.1403884819942327,0.4649028795014418,5019.3043243320035,25.0,0.067,"S014-WAT-01,S014-FOD-01,S014-MED-01"
T11,U04,A,A-B5,1727.4240845067302,S007,3454.8481690134604,1.9053430083441203,0.5765904425901955,4505.280593646206,17.0,0.039,"S007-MED-01,S007-WAT-01"
T12,U05,B,B-B1,2344.6145075352283,S013,3855.086832608208,1.824759272250453,0.5438101819373867,5312.482517250071,25.0,0.067,"S013-FOD-01,S013-WAT-01,S013-MED-01"
T13,U07,C,C-B3,1560.1690773246835,S006,3121.7229452612437,2.597987864766336,0.6752515169042079,4658.677991968793,59.0,0.156,"S006-MED-01,S006-WAT-03,S006-WAT-01,S006-WAT-02,S006-FOD-01,S006-HYG-01"
T14,U01,A,A-B6,2003.737981922964,S004,4182.538167288823,3.1911204497494783,0.29086212227789376,5604.417408327561,22.0,0.055,"S004-FOD-01,S004-WAT-03"
T15,U08,C,C-B4,2107.8123848059495,S001-S004,4828.302132607019,5.960776697412526,0.25490291282343425,7276.012488156245,65.0,0.227,"S001-HYG-01,S001-HYG-02,S001-FOD-03,S001-FOD-01,S004-WAT-02,S004-WAT-01,S004-MED-01,S004-HYG-01"
T16,U02,A,A-B4,2796.8016652168108,S015,4765.391068337634,2.5576944734703684,0.4316234503399181,6004.280582895741,22.0,0.055,"S015-WAT-01,S015-FOD-01"
T17,U06,B,B-B2,3425.1359821345027,S008,5386.967417790836,2.975216526357531,0.25619586841061726,7342.894579212433,25.0,0.067,"S008-MED-01,S008-WAT-02,S008-FOD-01"
T18,U05,B,B-B3,3855.086832608208,S008,5756.918268264541,2.763441255255242,0.3091396861861895,7621.076145541813,20.0,0.062,"S008-WAT-01,S008-HYG-01"
T19,U03,A,A-B1,3375.804251927395,S003-S015,5979.136668717532,3.297218858919096,0.2672846980179787,7431.66656129416,20.0,0.051000000000000004,"S003-MED-01,S003-WAT-03,S015-MED-01"
T20,U06,B,B-B1,5386.967417790836,S009,6945.40915087114,2.0962337344036612,0.4759415663990847,8520.443769112726,25.0,0.067,"S009-FOD-01,S009-WAT-01,S009-MED-01"
T21,U07,C,C-B1,3130.275380144204,S007-S003,5823.867798491393,6.392209374907111,0.20097382813661113,8388.424504195402,70.0,0.20700000000000002,"S007-HYG-01,S003-FOD-01,S003-HYG-01,S003-WAT-02,S003-WAT-04,S003-FOD-02,S003-WAT-01"
T22,U05,B,B-B4,5756.918268264541,S011,6945.338740496069,1.0739517654257942,0.7315120586435515,8077.384505513913,25.0,0.067,"S011-WAT-01,S011-MED-01,S011-FOD-01"
T23,U08,C,C-B2,4828.302132607019,S005,6705.492657132396,4.222192859504679,0.47222589256191516,8682.33655658158,59.0,0.156,"S005-HYG-01,S005-FOD-01,S005-WAT-01,S005-MED-01,S005-WAT-03,S005-WAT-02"
