货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,优先系数,加权延误
S001-FOD-01,T15,S001,3278.08192346829,应急食品,7200.0,,10.0,0.0
S001-FOD-02,T03,S001,1248.2695386623404,应急食品,7200.0,,10.0,0.0
S001-FOD-03,T15,S001,3278.08192346829,应急食品,7200.0,,10.0,0.0
S001-HYG-01,T15,S001,3278.08192346829,生活卫生用品,10800.0,,8.0,0.0
S001-HYG-02,T15,S001,3278.08192346829,生活卫生用品,10800.0,,8.0,0.0
S001-MED-01,T03,S001,1248.2695386623404,医疗物资,3600.0,3600.0,24.0,0.0
S001-MED-02,T03,S001,1248.2695386623404,医疗物资,3600.0,3600.0,24.0,0.0
S001-WAT-01,T03,S001,1248.2695386623404,饮用水,3600.0,3600.0,12.0,0.0
S001-WAT-02,T01,S001,857.6734369777703,饮用水,3600.0,,12.0,0.0
S001-WAT-03,T03,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-04,T07,S001,2006.7736442666467,饮用水,3600.0,,12.0,0.0
S001-WAT-05,T03,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-06,T03,S001,1248.2695386623404,饮用水,3600.0,,12.0,0.0
S001-WAT-07,T07,S001,2006.7736442666467,饮用水,3600.0,,12.0,0.0
S001-WAT-08,T01,S001,857.6734369777703,饮用水,3600.0,,12.0,0.0
S002-FOD-01,T08,S002,1487.3161924029778,应急食品,7200.0,,10.0,0.0
S002-FOD-02,T02,S002,1283.808990961486,应急食品,7200.0,,10.0,0.0
S002-HYG-01,T08,S002,1487.3161924029778,生活卫生用品,10800.0,,8.0,0.0
S002-MED-01,T08,S002,1487.3161924029778,医疗物资,3600.0,3600.0,24.0,0.0
S002-WAT-01,T02,S002,1283.808990961486,饮用水,3600.0,3600.0,12.0,0.0
S002-WAT-02,T08,S002,1487.3161924029778,饮用水,3600.0,,12.0,0.0
S002-WAT-03,T08,S002,1487.3161924029778,饮用水,3600.0,,12.0,0.0
S002-WAT-04,T08,S002,1487.3161924029778,饮用水,3600.0,,12.0,0.0
S003-FOD-01,T21,S003,5033.282123711607,应急食品,10800.0,,8.0,0.0
S003-FOD-02,T21,S003,5033.282123711607,应急食品,10800.0,,8.0,0.0
S003-HYG-01,T21,S003,5033.282123711607,生活卫生用品,14400.0,,6.0,0.0
S003-MED-01,T19,S003,4815.092224613554,医疗物资,7200.0,7200.0,20.0,0.0
S003-WAT-01,T21,S003,5033.282123711607,饮用水,7200.0,7200.0,10.0,0.0
S003-WAT-02,T21,S003,5033.282123711607,饮用水,7200.0,,10.0,0.0
S003-WAT-03,T19,S003,4815.092224613554,饮用水,7200.0,,10.0,0.0
S003-WAT-04,T21,S003,5033.282123711607,饮用水,7200.0,,10.0,0.0
S004-FOD-01,T14,S004,3374.784741272565,应急食品,10800.0,,8.0,0.0
S004-HYG-01,T15,S004,4110.743786365954,生活卫生用品,14400.0,,6.0,0.0
S004-MED-01,T15,S004,4110.743786365954,医疗物资,7200.0,7200.0,20.0,0.0
S004-WAT-01,T15,S004,4110.743786365954,饮用水,7200.0,7200.0,10.0,0.0
S004-WAT-02,T15,S004,4110.743786365954,饮用水,7200.0,,10.0,0.0
S004-WAT-03,T14,S004,3374.784741272565,饮用水,7200.0,,10.0,0.0
S005-FOD-01,T23,S005,6201.532394869708,应急食品,14400.0,,6.0,0.0
S005-HYG-01,T23,S005,6201.532394869708,生活卫生用品,18000.0,,4.0,0.0
S005-MED-01,T23,S005,6201.532394869708,医疗物资,10800.0,10800.0,16.0,0.0
S005-WAT-01,T23,S005,6201.532394869708,饮用水,10800.0,10800.0,8.0,0.0
S005-WAT-02,T23,S005,6201.532394869708,饮用水,10800.0,,8.0,0.0
S005-WAT-03,T23,S005,6201.532394869708,饮用水,10800.0,,8.0,0.0
S006-FOD-01,T13,S006,2769.5910112929637,应急食品,7200.0,,10.0,0.0
S006-HYG-01,T13,S006,2769.5910112929637,生活卫生用品,10800.0,,8.0,0.0
S006-MED-01,T13,S006,2769.5910112929637,医疗物资,3600.0,3600.0,24.0,0.0
S006-WAT-01,T13,S006,2769.5910112929637,饮用水,3600.0,3600.0,12.0,0.0
S006-WAT-02,T13,S006,2769.5910112929637,饮用水,3600.0,,12.0,0.0
S006-WAT-03,T13,S006,2769.5910112929637,饮用水,3600.0,,12.0,0.0
S007-FOD-01,T09,S007,1141.352042253366,应急食品,7200.0,,10.0,0.0
S007-HYG-01,T21,S007,4394.01860879553,生活卫生用品,10800.0,,8.0,0.0
S007-MED-01,T11,S007,2868.7761267600963,医疗物资,3600.0,3600.0,24.0,0.0
S007-WAT-01,T11,S007,2868.7761267600963,饮用水,3600.0,3600.0,12.0,0.0
S007-WAT-02,T09,S007,1141.352042253366,饮用水,3600.0,,12.0,0.0
S008-FOD-01,T17,S008,4716.27836662934,应急食品,10800.0,,8.0,0.0
S008-HYG-01,T18,S008,5086.229217103045,生活卫生用品,14400.0,,6.0,0.0
S008-MED-01,T17,S008,4716.27836662934,医疗物资,7200.0,7200.0,20.0,0.0
S008-WAT-01,T18,S008,5086.229217103045,饮用水,7200.0,7200.0,10.0,0.0
S008-WAT-02,T17,S008,4716.27836662934,饮用水,7200.0,,10.0,0.0
S009-FOD-01,T20,S009,6477.778284330986,应急食品,14400.0,,6.0,0.0
S009-MED-01,T20,S009,6477.778284330986,医疗物资,10800.0,10800.0,16.0,0.0
S009-WAT-01,T20,S009,6477.778284330986,饮用水,10800.0,10800.0,8.0,0.0
S010-FOD-01,T06,S010,1085.2264495644085,应急食品,7200.0,,10.0,0.0
S010-MED-01,T06,S010,1085.2264495644085,医疗物资,3600.0,3600.0,24.0,0.0
S010-WAT-01,T06,S010,1085.2264495644085,饮用水,3600.0,3600.0,12.0,0.0
S011-FOD-01,T22,S011,6663.315171046969,应急食品,14400.0,,6.0,0.0
S011-MED-01,T22,S011,6663.315171046969,医疗物资,10800.0,10800.0,16.0,0.0
S011-WAT-01,T22,S011,6663.315171046969,饮用水,10800.0,10800.0,8.0,0.0
S012-FOD-01,T04,S012,1334.4750368016162,应急食品,7200.0,,10.0,0.0
S012-MED-01,T04,S012,1334.4750368016162,医疗物资,7200.0,3600.0,22.0,0.0
S012-WAT-01,T05,S012,1274.4750368016162,饮用水,3600.0,3600.0,12.0,0.0
S013-FOD-01,T12,S013,3407.3840034050504,应急食品,7200.0,,10.0,0.0
S013-MED-01,T12,S013,3407.3840034050504,医疗物资,3600.0,3600.0,24.0,0.0
S013-WAT-01,T12,S013,3407.3840034050504,饮用水,3600.0,3600.0,12.0,0.0
S014-FOD-01,T10,S014,2797.8144406316615,应急食品,7200.0,,10.0,0.0
S014-MED-01,T10,S014,2797.8144406316615,医疗物资,7200.0,3600.0,22.0,0.0
S014-WAT-01,T10,S014,2797.8144406316615,饮用水,3600.0,3600.0,12.0,0.0
S015-FOD-01,T16,S015,4054.5363667772267,应急食品,14400.0,,6.0,0.0
S015-MED-01,T19,S015,5268.281967157124,医疗物资,7200.0,7200.0,18.0,0.0
S015-WAT-01,T16,S015,4054.5363667772267,饮用水,10800.0,10800.0,8.0,0.0
