架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U05,B,B-B1,0.0,S010,1555.379566,1.823196,0.544201,3012.097702,25.0,0.067,"S010-WAT-01,S010-FOD-01,S010-MED-01"
T02,U01,A,A-B1,0.0,S012,2109.090074,3.058457,0.320343,3492.644436,22.0,0.055,"S012-WAT-01,S012-FOD-01"
T03,U02,A,A-B2,0.0,S007,1727.424085,1.905343,0.57659,2777.856509,17.0,0.039,"S007-MED-01,S007-WAT-01"
T04,U06,B,B-B2,0.0,S014,1869.756416,2.140388,0.464903,3463.924759,25.0,0.067,"S014-FOD-01,S014-MED-01,S014-WAT-01"
T05,U05,B,B-B3,1555.379566,S013,3065.851891,1.824759,0.54381,4523.247576,25.0,0.067,"S013-MED-01,S013-FOD-01,S013-WAT-01"
T06,U07,C,C-B1,0.0,S006-S001,2323.021404,4.661292,0.417338,4418.787991,73.0,0.219,"S006-HYG-01,S006-WAT-03,S006-WAT-02,S006-WAT-01,S006-FOD-01,S006-MED-01,S001-HYG-02,S001-FOD-01"
T07,U08,C,C-B2,0.0,S002,2107.812385,5.853072,0.268366,4526.352634,59.0,0.156,"S002-WAT-04,S002-FOD-01,S002-MED-01,S002-WAT-02,S002-HYG-01,S002-WAT-01"
T08,U03,A,A-B3,0.0,S002,2003.737982,3.018691,0.32918,3375.804252,22.0,0.055,"S002-FOD-02,S002-WAT-03"
T09,U08,C,C-B3,2107.812385,S001-S005,4414.669071,4.693097,0.413363,6519.0494,79.0,0.218,"S001-WAT-06,S001-HYG-01,S001-WAT-02,S001-WAT-08,S001-FOD-03,S001-WAT-07,S005-HYG-01,S005-MED-01"
T10,U06,B,B-B4,1869.756416,S001-S012,4048.235311,2.530537,0.367366,5811.467799,25.0,0.067,"S001-FOD-02,S001-WAT-04,S012-MED-01"
T11,U07,C,C-B4,2323.021404,S001-S004,5109.511152,6.321539,0.209808,7654.928037,79.0,0.20700000000000002,"S001-WAT-01,S001-WAT-03,S001-WAT-05,S001-MED-01,S001-MED-02,S004-FOD-01,S004-MED-01,S004-HYG-01,S004-WAT-03"
T12,U08,C,C-B1,4418.787991,S003-S007,7046.38041,6.059243,0.242595,9520.758632,62.0,0.179,"S003-WAT-01,S003-HYG-01,S003-WAT-04,S003-FOD-02,S003-WAT-02,S007-HYG-01"
T13,U05,B,B-B1,3065.851891,S015,4894.128528,2.307453,0.423137,6560.691419,25.0,0.067,"S015-FOD-01,S015-MED-01,S015-WAT-01"
T14,U06,B,B-B2,4048.235311,S003,6128.758615,2.779917,0.305021,8000.056184,25.0,0.067,"S003-FOD-01,S003-WAT-03,S003-MED-01"
T15,U05,B,B-B3,4894.128528,S004,6815.772165,3.035358,0.241161,8797.760526,28.0,0.054,"S004-WAT-01,S004-WAT-02"
T16,U07,C,C-B2,5109.511152,S011-S008,7801.904613,6.354783,0.205652,10356.325131,70.0,0.196,"S011-WAT-01,S011-FOD-01,S011-MED-01,S008-HYG-01,S008-MED-01,S008-WAT-01,S008-FOD-01,S008-WAT-02"
T17,U08,C,C-B3,7046.38041,S005-S009,9464.878075,6.019966,0.247504,11928.618915,75.0,0.176,"S005-WAT-01,S005-FOD-01,S005-WAT-03,S005-WAT-02,S009-WAT-01,S009-FOD-01,S009-MED-01"
T18,U04,A,A-B4,0.0,S007,1727.424085,1.970922,0.562017,2796.801665,22.0,0.055,"S007-FOD-01,S007-WAT-02"
