货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T06,S001,2011.121866,应急食品,7200.0,,0.0
S001-FOD-02,T10,S001,2757.429853,应急食品,7200.0,,0.0
S001-FOD-03,T09,S001,3350.081923,应急食品,7200.0,,0.0
S001-HYG-01,T09,S001,3350.081923,生活卫生用品,10800.0,,0.0
S001-HYG-02,T06,S001,2011.121866,生活卫生用品,10800.0,,0.0
S001-MED-01,T11,S001,3559.290943,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T11,S001,3559.290943,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T11,S001,3559.290943,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T09,S001,3350.081923,饮用水,3600.0,,0.0
S001-WAT-03,T11,S001,3559.290943,饮用水,3600.0,,0.0
S001-WAT-04,T10,S001,2757.429853,饮用水,3600.0,,0.0
S001-WAT-05,T11,S001,3559.290943,饮用水,3600.0,,0.0
S001-WAT-06,T09,S001,3350.081923,饮用水,3600.0,,0.0
S001-WAT-07,T09,S001,3350.081923,饮用水,3600.0,,0.0
S001-WAT-08,T09,S001,3350.081923,饮用水,3600.0,,0.0
S002-FOD-01,T07,S002,1487.316192,应急食品,7200.0,,0.0
S002-FOD-02,T08,S002,1283.808991,应急食品,7200.0,,0.0
S002-HYG-01,T07,S002,1487.316192,生活卫生用品,10800.0,,0.0
S002-MED-01,T07,S002,1487.316192,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T07,S002,1487.316192,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T07,S002,1487.316192,饮用水,3600.0,,0.0
S002-WAT-03,T08,S002,1283.808991,饮用水,3600.0,,0.0
S002-WAT-04,T07,S002,1487.316192,饮用水,3600.0,,0.0
S003-FOD-01,T14,S003,5396.470297,应急食品,10800.0,,0.0
S003-FOD-02,T12,S003,6028.293666,应急食品,10800.0,,0.0
S003-HYG-01,T12,S003,6028.293666,生活卫生用品,14400.0,,0.0
S003-MED-01,T14,S003,5396.470297,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T12,S003,6028.293666,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T12,S003,6028.293666,饮用水,7200.0,,0.0
S003-WAT-03,T14,S003,5396.470297,饮用水,7200.0,,0.0
S003-WAT-04,T12,S003,6028.293666,饮用水,7200.0,,0.0
S004-FOD-01,T11,S004,4391.952806,应急食品,10800.0,,0.0
S004-HYG-01,T11,S004,4391.952806,生活卫生用品,14400.0,,0.0
S004-MED-01,T11,S004,4391.952806,医疗物资,7200.0,7200.0,0.0
S004-WAT-01,T15,S004,6136.597013,饮用水,7200.0,7200.0,0.0
S004-WAT-02,T15,S004,6136.597013,饮用水,7200.0,,0.0
S004-WAT-03,T11,S004,4391.952806,饮用水,7200.0,,0.0
S005-FOD-01,T17,S005,8377.610672,应急食品,14400.0,,0.0
S005-HYG-01,T09,S005,3910.708809,生活卫生用品,18000.0,,0.0
S005-MED-01,T09,S005,3910.708809,医疗物资,10800.0,10800.0,0.0
S005-WAT-01,T17,S005,8377.610672,饮用水,10800.0,10800.0,0.0
S005-WAT-02,T17,S005,8377.610672,饮用水,10800.0,,0.0
S005-WAT-03,T17,S005,8377.610672,饮用水,10800.0,,0.0
S006-FOD-01,T06,S006,1269.421934,应急食品,7200.0,,0.0
S006-HYG-01,T06,S006,1269.421934,生活卫生用品,10800.0,,0.0
S006-MED-01,T06,S006,1269.421934,医疗物资,3600.0,3600.0,0.0
S006-WAT-01,T06,S006,1269.421934,饮用水,3600.0,3600.0,0.0
S006-WAT-02,T06,S006,1269.421934,饮用水,3600.0,,0.0
S006-WAT-03,T06,S006,1269.421934,饮用水,3600.0,,0.0
S007-FOD-01,T18,S007,1141.352042,应急食品,7200.0,,0.0
S007-HYG-01,T12,S007,6486.557181,生活卫生用品,10800.0,,0.0
S007-MED-01,T03,S007,1141.352042,医疗物资,3600.0,3600.0,0.0
S007-WAT-01,T03,S007,1141.352042,饮用水,3600.0,3600.0,0.0
S007-WAT-02,T18,S007,1141.352042,饮用水,3600.0,,0.0
S008-FOD-01,T16,S008,7099.894006,应急食品,10800.0,,0.0
S008-HYG-01,T16,S008,7099.894006,生活卫生用品,14400.0,,0.0
S008-MED-01,T16,S008,7099.894006,医疗物资,7200.0,7200.0,0.0
S008-WAT-01,T16,S008,7099.894006,饮用水,7200.0,7200.0,0.0
S008-WAT-02,T16,S008,7099.894006,饮用水,7200.0,,0.0
S009-FOD-01,T17,S009,8976.479056,应急食品,14400.0,,0.0
S009-MED-01,T17,S009,8976.479056,医疗物资,10800.0,10800.0,0.0
S009-WAT-01,T17,S009,8976.479056,饮用水,10800.0,10800.0,0.0
S010-FOD-01,T01,S010,1085.22645,应急食品,7200.0,,0.0
S010-MED-01,T01,S010,1085.22645,医疗物资,3600.0,3600.0,0.0
S010-WAT-01,T01,S010,1085.22645,饮用水,3600.0,3600.0,0.0
S011-FOD-01,T16,S011,6233.411681,应急食品,14400.0,,0.0
S011-MED-01,T16,S011,6233.411681,医疗物资,10800.0,10800.0,0.0
S011-WAT-01,T16,S011,6233.411681,饮用水,10800.0,10800.0,0.0
S012-FOD-01,T02,S012,1334.475037,应急食品,7200.0,,0.0
S012-MED-01,T10,S012,3396.795136,医疗物资,7200.0,3600.0,0.0
S012-WAT-01,T02,S012,1334.475037,饮用水,3600.0,3600.0,0.0
S013-FOD-01,T05,S013,2618.149062,应急食品,7200.0,,0.0
S013-MED-01,T05,S013,2618.149062,医疗物资,3600.0,3600.0,0.0
S013-WAT-01,T05,S013,2618.149062,饮用水,3600.0,3600.0,0.0
S014-FOD-01,T04,S014,1242.434875,应急食品,7200.0,,0.0
S014-MED-01,T04,S014,1242.434875,医疗物资,7200.0,3600.0,0.0
S014-WAT-01,T04,S014,1242.434875,饮用水,3600.0,3600.0,0.0
S015-FOD-01,T13,S015,4283.43021,应急食品,14400.0,,0.0
S015-MED-01,T13,S015,4283.43021,医疗物资,7200.0,7200.0,0.0
S015-WAT-01,T13,S015,4283.43021,饮用水,10800.0,10800.0,0.0
