架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U07,C,C-B1,0.0,S002,2107.812385,5.853072,0.268366,4526.352634,59.0,0.156,"S002-WAT-04,S002-FOD-01,S002-HYG-01,S002-WAT-01,S002-WAT-03,S002-MED-01"
T02,U01,A,A-B1,0.0,S002,2003.737982,3.018691,0.32918,3375.804252,22.0,0.055,"S002-WAT-02,S002-FOD-02"
T03,U02,A,A-B2,0.0,S006,1313.478194,1.311566,0.708541,2192.375127,17.0,0.039,"S006-WAT-03,S006-MED-01"
T04,U08,C,C-B2,0.0,S001,1626.169077,2.917582,0.635302,3249.680952,76.0,0.195,"S001-WAT-01,S001-MED-02,S001-HYG-01,S001-WAT-04,S001-WAT-06,S001-MED-01,S001-WAT-02,S001-FOD-02"
T05,U08,C,C-B3,1626.169077,S006-S007,4039.732219,4.29704,0.46287,6036.847284,65.0,0.191,"S006-HYG-01,S006-WAT-01,S007-WAT-01,S007-HYG-01,S007-FOD-01,S007-MED-01,S007-WAT-02"
T06,U07,C,C-B4,2107.812385,S001,3667.981462,2.995769,0.625529,5312.668971,78.0,0.199,"S001-WAT-08,S001-WAT-07,S001-WAT-03,S001-FOD-01,S001-FOD-03,S001-WAT-05,S001-HYG-02"
T07,U05,B,B-B1,0.0,S010,1555.379566,1.823196,0.544201,3012.097702,25.0,0.067,"S010-MED-01,S010-FOD-01,S010-WAT-01"
T08,U07,C,C-B2,3667.981462,S005,5545.171987,4.222193,0.472226,7522.015886,59.0,0.156,"S005-WAT-01,S005-MED-01,S005-WAT-03,S005-FOD-01,S005-WAT-02,S005-HYG-01"
T09,U06,B,B-B2,0.0,S014,1869.756416,2.140388,0.464903,3463.924759,25.0,0.067,"S014-MED-01,S014-WAT-01,S014-FOD-01"
T10,U08,C,C-B1,4526.352634,S003,6896.443984,5.764965,0.279379,9291.122036,56.0,0.14400000000000002,"S003-WAT-02,S003-HYG-01,S003-WAT-01,S003-WAT-04,S003-FOD-01"
T11,U05,B,B-B3,1555.379566,S012,3478.119917,2.752414,0.311896,5337.499446,25.0,0.067,"S012-FOD-01,S012-MED-01,S012-WAT-01"
T12,U06,B,B-B4,1869.756416,S013,3380.228741,1.824759,0.54381,4837.624426,25.0,0.067,"S013-WAT-01,S013-MED-01,S013-FOD-01"
T13,U06,B,B-B1,3380.228741,S008,5282.060177,2.763441,0.30914,7146.218054,20.0,0.062,"S008-WAT-01,S008-HYG-01"
T14,U05,B,B-B2,3478.119917,S003,5558.64322,2.779917,0.305021,7429.940789,25.0,0.067,"S003-WAT-03,S003-FOD-02,S003-MED-01"
T15,U06,B,B-B4,5282.060177,S015,7110.336814,2.307453,0.423137,8776.899705,25.0,0.067,"S015-MED-01,S015-WAT-01,S015-FOD-01"
T16,U05,B,B-B3,5558.64322,S008,7520.474656,2.975217,0.256196,9476.401817,25.0,0.067,"S008-WAT-02,S008-FOD-01,S008-MED-01"
T17,U03,A,A-B3,0.0,S006,1313.478194,1.357048,0.698434,2205.514383,22.0,0.055,"S006-FOD-01,S006-WAT-02"
T18,U07,C,C-B4,5545.171987,S004,7846.228679,6.152932,0.230883,10345.981101,59.0,0.156,"S004-WAT-02,S004-WAT-01,S004-MED-01,S004-HYG-01,S004-FOD-01,S004-WAT-03"
T19,U06,B,B-B1,7146.218054,S009,8704.659787,2.096234,0.475942,10279.694406,25.0,0.067,"S009-MED-01,S009-WAT-01,S009-FOD-01"
T20,U05,B,B-B2,7520.474656,S011,8708.895128,1.073952,0.731512,9840.940893,25.0,0.067,"S011-FOD-01,S011-WAT-01,S011-MED-01"
