货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T06,S001,3356.081923,应急食品,7200.0,,0.0
S001-FOD-02,T04,S001,1314.269539,应急食品,7200.0,,0.0
S001-FOD-03,T06,S001,3356.081923,应急食品,7200.0,,0.0
S001-HYG-01,T04,S001,1314.269539,生活卫生用品,10800.0,,0.0
S001-HYG-02,T06,S001,3356.081923,生活卫生用品,10800.0,,0.0
S001-MED-01,T04,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T04,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T04,S001,1314.269539,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T04,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-03,T06,S001,3356.081923,饮用水,3600.0,,0.0
S001-WAT-04,T04,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-05,T06,S001,3356.081923,饮用水,3600.0,,0.0
S001-WAT-06,T04,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-07,T06,S001,3356.081923,饮用水,3600.0,,0.0
S001-WAT-08,T06,S001,3356.081923,饮用水,3600.0,,0.0
S002-FOD-01,T01,S002,1487.316192,应急食品,7200.0,,0.0
S002-FOD-02,T02,S002,1283.808991,应急食品,7200.0,,0.0
S002-HYG-01,T01,S002,1487.316192,生活卫生用品,10800.0,,0.0
S002-MED-01,T01,S002,1487.316192,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T01,S002,1487.316192,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T02,S002,1283.808991,饮用水,3600.0,,0.0
S002-WAT-03,T01,S002,1487.316192,饮用水,3600.0,,0.0
S002-WAT-04,T01,S002,1487.316192,饮用水,3600.0,,0.0
S003-FOD-01,T10,S003,6105.858309,应急食品,10800.0,,0.0
S003-FOD-02,T14,S003,4826.354902,应急食品,10800.0,,0.0
S003-HYG-01,T10,S003,6105.858309,生活卫生用品,14400.0,,0.0
S003-MED-01,T14,S003,4826.354902,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T10,S003,6105.858309,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T10,S003,6105.858309,饮用水,7200.0,,0.0
S003-WAT-03,T14,S003,4826.354902,饮用水,7200.0,,0.0
S003-WAT-04,T10,S003,6105.858309,饮用水,7200.0,,0.0
S004-FOD-01,T18,S004,7128.670333,应急食品,10800.0,,0.0
S004-HYG-01,T18,S004,7128.670333,生活卫生用品,14400.0,,0.0
S004-MED-01,T18,S004,7128.670333,医疗物资,7200.0,7200.0,0.0
S004-WAT-01,T18,S004,7128.670333,饮用水,7200.0,7200.0,0.0
S004-WAT-02,T18,S004,7128.670333,饮用水,7200.0,,0.0
S004-WAT-03,T18,S004,7128.670333,饮用水,7200.0,,0.0
S005-FOD-01,T08,S005,5041.211724,应急食品,14400.0,,0.0
S005-HYG-01,T08,S005,5041.211724,生活卫生用品,18000.0,,0.0
S005-MED-01,T08,S005,5041.211724,医疗物资,10800.0,10800.0,0.0
S005-WAT-01,T08,S005,5041.211724,饮用水,10800.0,10800.0,0.0
S005-WAT-02,T08,S005,5041.211724,饮用水,10800.0,,0.0
S005-WAT-03,T08,S005,5041.211724,饮用水,10800.0,,0.0
S006-FOD-01,T17,S006,935.50243,应急食品,7200.0,,0.0
S006-HYG-01,T05,S006,2721.591011,生活卫生用品,10800.0,,0.0
S006-MED-01,T03,S006,935.50243,医疗物资,3600.0,3600.0,0.0
S006-WAT-01,T05,S006,2721.591011,饮用水,3600.0,3600.0,0.0
S006-WAT-02,T17,S006,935.50243,饮用水,3600.0,,0.0
S006-WAT-03,T03,S006,935.50243,饮用水,3600.0,,0.0
S007-FOD-01,T05,S007,3479.90899,应急食品,7200.0,,0.0
S007-HYG-01,T05,S007,3479.90899,生活卫生用品,10800.0,,0.0
S007-MED-01,T05,S007,3479.90899,医疗物资,3600.0,3600.0,0.0
S007-WAT-01,T05,S007,3479.90899,饮用水,3600.0,3600.0,0.0
S007-WAT-02,T05,S007,3479.90899,饮用水,3600.0,,0.0
S008-FOD-01,T16,S008,6849.785605,应急食品,10800.0,,0.0
S008-HYG-01,T13,S008,4611.371126,生活卫生用品,14400.0,,0.0
S008-MED-01,T16,S008,6849.785605,医疗物资,7200.0,7200.0,0.0
S008-WAT-01,T13,S008,4611.371126,饮用水,7200.0,7200.0,0.0
S008-WAT-02,T16,S008,6849.785605,饮用水,7200.0,,0.0
S009-FOD-01,T19,S009,8237.028921,应急食品,14400.0,,0.0
S009-MED-01,T19,S009,8237.028921,医疗物资,10800.0,10800.0,0.0
S009-WAT-01,T19,S009,8237.028921,饮用水,10800.0,10800.0,0.0
S010-FOD-01,T07,S010,1085.22645,应急食品,7200.0,,0.0
S010-MED-01,T07,S010,1085.22645,医疗物资,3600.0,3600.0,0.0
S010-WAT-01,T07,S010,1085.22645,饮用水,3600.0,3600.0,0.0
S011-FOD-01,T20,S011,8426.871558,应急食品,14400.0,,0.0
S011-MED-01,T20,S011,8426.871558,医疗物资,10800.0,10800.0,0.0
S011-WAT-01,T20,S011,8426.871558,饮用水,10800.0,10800.0,0.0
S012-FOD-01,T11,S012,2826.679741,应急食品,7200.0,,0.0
S012-MED-01,T11,S012,2826.679741,医疗物资,7200.0,3600.0,0.0
S012-WAT-01,T11,S012,2826.679741,饮用水,3600.0,3600.0,0.0
S013-FOD-01,T12,S013,2932.525912,应急食品,7200.0,,0.0
S013-MED-01,T12,S013,2932.525912,医疗物资,3600.0,3600.0,0.0
S013-WAT-01,T12,S013,2932.525912,饮用水,3600.0,3600.0,0.0
S014-FOD-01,T09,S014,1242.434875,应急食品,7200.0,,0.0
S014-MED-01,T09,S014,1242.434875,医疗物资,7200.0,3600.0,0.0
S014-WAT-01,T09,S014,1242.434875,饮用水,3600.0,3600.0,0.0
S015-FOD-01,T15,S015,6499.638496,应急食品,14400.0,,0.0
S015-MED-01,T15,S015,6499.638496,医疗物资,7200.0,7200.0,0.0
S015-WAT-01,T15,S015,6499.638496,饮用水,10800.0,10800.0,0.0
