货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T09,S001,908.573084,应急食品,7200.0,,0.0
S001-FOD-02,T03,S001,908.573084,应急食品,7200.0,,0.0
S001-FOD-03,T14,S001,2159.472586,应急食品,7200.0,,0.0
S001-HYG-01,T01,S001,1182.269539,生活卫生用品,10800.0,,0.0
S001-HYG-02,T01,S001,1182.269539,生活卫生用品,10800.0,,0.0
S001-MED-01,T18,S001,3089.928112,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T18,S001,3089.928112,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T01,S001,1182.269539,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T01,S001,1182.269539,饮用水,3600.0,,0.0
S001-WAT-03,T14,S001,2159.472586,饮用水,3600.0,,0.0
S001-WAT-04,T01,S001,1182.269539,饮用水,3600.0,,0.0
S001-WAT-05,T09,S001,908.573084,饮用水,3600.0,,0.0
S001-WAT-06,T18,S001,3089.928112,饮用水,3600.0,,0.0
S001-WAT-07,T01,S001,1182.269539,饮用水,3600.0,,0.0
S001-WAT-08,T03,S001,908.573084,饮用水,3600.0,,0.0
S002-FOD-01,T07,S002,2981.48527,应急食品,7200.0,,0.0
S002-FOD-02,T07,S002,2981.48527,应急食品,7200.0,,0.0
S002-HYG-01,T07,S002,2981.48527,生活卫生用品,10800.0,,0.0
S002-MED-01,T17,S002,2564.708493,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T07,S002,2981.48527,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T07,S002,2981.48527,饮用水,3600.0,,0.0
S002-WAT-03,T17,S002,2564.708493,饮用水,3600.0,,0.0
S002-WAT-04,T07,S002,2981.48527,饮用水,3600.0,,0.0
S003-FOD-01,T12,S003,5084.250067,应急食品,10800.0,,0.0
S003-FOD-02,T23,S003,4841.542502,应急食品,10800.0,,0.0
S003-HYG-01,T12,S003,5084.250067,生活卫生用品,14400.0,,0.0
S003-MED-01,T12,S003,5084.250067,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T12,S003,5084.250067,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T12,S003,5084.250067,饮用水,7200.0,,0.0
S003-WAT-03,T12,S003,5084.250067,饮用水,7200.0,,0.0
S003-WAT-04,T23,S003,4841.542502,饮用水,7200.0,,0.0
S004-FOD-01,T13,S004,5185.479808,应急食品,10800.0,,0.0
S004-HYG-01,T13,S004,5185.479808,生活卫生用品,14400.0,,0.0
S004-MED-01,T13,S004,5185.479808,医疗物资,7200.0,7200.0,0.0
S004-WAT-01,T13,S004,5185.479808,饮用水,7200.0,7200.0,0.0
S004-WAT-02,T13,S004,5185.479808,饮用水,7200.0,,0.0
S004-WAT-03,T13,S004,5185.479808,饮用水,7200.0,,0.0
S005-FOD-01,T08,S005,2934.78413,应急食品,14400.0,,0.0
S005-HYG-01,T08,S005,2934.78413,生活卫生用品,18000.0,,0.0
S005-MED-01,T08,S005,2934.78413,医疗物资,10800.0,10800.0,0.0
S005-WAT-01,T08,S005,2934.78413,饮用水,10800.0,10800.0,0.0
S005-WAT-02,T08,S005,2934.78413,饮用水,10800.0,,0.0
S005-WAT-03,T08,S005,2934.78413,饮用水,10800.0,,0.0
S006-FOD-01,T02,S006,1209.421934,应急食品,7200.0,,0.0
S006-HYG-01,T02,S006,1209.421934,生活卫生用品,10800.0,,0.0
S006-MED-01,T02,S006,1209.421934,医疗物资,3600.0,3600.0,0.0
S006-WAT-01,T02,S006,1209.421934,饮用水,3600.0,3600.0,0.0
S006-WAT-02,T02,S006,1209.421934,饮用水,3600.0,,0.0
S006-WAT-03,T02,S006,1209.421934,饮用水,3600.0,,0.0
S007-FOD-01,T04,S007,1141.352042,应急食品,7200.0,,0.0
S007-HYG-01,T22,S007,3908.153707,生活卫生用品,10800.0,,0.0
S007-MED-01,T19,S007,3262.707069,医疗物资,3600.0,3600.0,0.0
S007-WAT-01,T19,S007,3262.707069,饮用水,3600.0,3600.0,0.0
S007-WAT-02,T04,S007,1141.352042,饮用水,3600.0,,0.0
S008-FOD-01,T20,S008,5062.730236,应急食品,10800.0,,0.0
S008-HYG-01,T05,S008,1231.142384,生活卫生用品,14400.0,,0.0
S008-MED-01,T20,S008,5062.730236,医疗物资,7200.0,7200.0,0.0
S008-WAT-01,T20,S008,5062.730236,饮用水,7200.0,7200.0,0.0
S008-WAT-02,T05,S008,1231.142384,饮用水,7200.0,,0.0
S009-FOD-01,T16,S009,4156.662757,应急食品,14400.0,,0.0
S009-MED-01,T16,S009,4156.662757,医疗物资,10800.0,10800.0,0.0
S009-WAT-01,T16,S009,4156.662757,饮用水,10800.0,10800.0,0.0
S010-FOD-01,T11,S010,2595.698775,应急食品,7200.0,,0.0
S010-MED-01,T11,S010,2595.698775,医疗物资,3600.0,3600.0,0.0
S010-WAT-01,T11,S010,2595.698775,饮用水,3600.0,3600.0,0.0
S011-FOD-01,T21,S011,5530.690527,应急食品,14400.0,,0.0
S011-MED-01,T21,S011,5530.690527,医疗物资,10800.0,10800.0,0.0
S011-WAT-01,T21,S011,5530.690527,饮用水,10800.0,10800.0,0.0
S012-FOD-01,T10,S012,1334.475037,应急食品,7200.0,,0.0
S012-MED-01,T17,S012,3114.892173,医疗物资,7200.0,3600.0,0.0
S012-WAT-01,T10,S012,1334.475037,饮用水,3600.0,3600.0,0.0
S013-FOD-01,T06,S013,1062.769496,应急食品,7200.0,,0.0
S013-MED-01,T06,S013,1062.769496,医疗物资,3600.0,3600.0,0.0
S013-WAT-01,T06,S013,1062.769496,饮用水,3600.0,3600.0,0.0
S014-FOD-01,T15,S014,3144.26631,应急食品,7200.0,,0.0
S014-MED-01,T15,S014,3144.26631,医疗物资,7200.0,3600.0,0.0
S014-WAT-01,T15,S014,3144.26631,饮用水,3600.0,3600.0,0.0
S015-FOD-01,T24,S015,5106.513813,应急食品,14400.0,,0.0
S015-MED-01,T22,S015,4335.94035,医疗物资,7200.0,7200.0,0.0
S015-WAT-01,T24,S015,5106.513813,饮用水,10800.0,10800.0,0.0
