货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T05,S001,1248.269539,应急食品,7200.0,,0.0
S001-FOD-02,T05,S001,1248.269539,应急食品,7200.0,,0.0
S001-FOD-03,T01,S001,1314.269539,应急食品,7200.0,,0.0
S001-HYG-01,T01,S001,1314.269539,生活卫生用品,10800.0,,0.0
S001-HYG-02,T05,S001,1248.269539,生活卫生用品,10800.0,,0.0
S001-MED-01,T01,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T01,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T01,S001,1314.269539,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T05,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-03,T05,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-04,T05,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-05,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-06,T05,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-07,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-08,T01,S001,1314.269539,饮用水,3600.0,,0.0
S002-FOD-01,T07,S002,4497.909448,应急食品,7200.0,,0.0
S002-FOD-02,T07,S002,4497.909448,应急食品,7200.0,,0.0
S002-HYG-01,T10,S002,3047.48527,生活卫生用品,10800.0,,0.0
S002-MED-01,T10,S002,3047.48527,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T10,S002,3047.48527,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T10,S002,3047.48527,饮用水,3600.0,,0.0
S002-WAT-03,T10,S002,3047.48527,饮用水,3600.0,,0.0
S002-WAT-04,T10,S002,3047.48527,饮用水,3600.0,,0.0
S003-FOD-01,T16,S003,7115.418953,应急食品,10800.0,,0.0
S003-FOD-02,T15,S003,7000.111282,应急食品,10800.0,,0.0
S003-HYG-01,T16,S003,7115.418953,生活卫生用品,14400.0,,0.0
S003-MED-01,T15,S003,7000.111282,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T15,S003,7000.111282,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T16,S003,7115.418953,饮用水,7200.0,,0.0
S003-WAT-03,T16,S003,7115.418953,饮用水,7200.0,,0.0
S003-WAT-04,T16,S003,7115.418953,饮用水,7200.0,,0.0
S004-FOD-01,T12,S004,4788.354932,应急食品,10800.0,,0.0
S004-HYG-01,T12,S004,4788.354932,生活卫生用品,14400.0,,0.0
S004-MED-01,T12,S004,4788.354932,医疗物资,7200.0,7200.0,0.0
S004-WAT-01,T12,S004,4788.354932,饮用水,7200.0,7200.0,0.0
S004-WAT-02,T12,S004,4788.354932,饮用水,7200.0,,0.0
S004-WAT-03,T12,S004,4788.354932,饮用水,7200.0,,0.0
S005-FOD-01,T17,S005,7733.605185,应急食品,14400.0,,0.0
S005-HYG-01,T17,S005,7733.605185,生活卫生用品,18000.0,,0.0
S005-MED-01,T17,S005,7733.605185,医疗物资,10800.0,10800.0,0.0
S005-WAT-01,T17,S005,7733.605185,饮用水,10800.0,10800.0,0.0
S005-WAT-02,T17,S005,7733.605185,饮用水,10800.0,,0.0
S005-WAT-03,T17,S005,7733.605185,饮用水,10800.0,,0.0
S006-FOD-01,T11,S006,2835.591011,应急食品,7200.0,,0.0
S006-HYG-01,T11,S006,2835.591011,生活卫生用品,10800.0,,0.0
S006-MED-01,T11,S006,2835.591011,医疗物资,3600.0,3600.0,0.0
