架次编号,航段序号,起点,终点,水平距离_m,起点爬升_m,终点下降_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s
T01,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,76.0,1.954336,306.27,540.0,846.27
T01,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,1314.27,1626.169
T02,1,O01,S014,5419.602,464.2473876953125,240.9473876953125,25.0,1.306885,612.435,390.0,1002.435
T02,2,S014,O01,5419.602,240.9473876953125,464.2473876953125,0.0,0.833504,627.322,1242.435,1869.756
T03,1,O01,S010,4784.495,307.93653564453126,84.03653564453123,25.0,1.119023,455.226,390.0,845.226
T03,2,S010,O01,4784.495,84.03653564453123,307.93653564453126,0.0,0.704173,470.153,1085.226,1555.38
T04,1,O01,S013,4849.242,271.48182373046876,47.48182373046876,25.0,1.12033,432.769,1945.38,2378.149
T04,2,S013,O01,4849.242,47.48182373046876,271.48182373046876,0.0,0.70443,447.703,2618.149,3065.852
T05,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,78.0,2.032523,306.27,510.0,816.27
T05,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,1248.27,1560.169
T06,1,O01,S012,7390.492,285.6009948730469,133.50099487304686,25.0,1.663788,641.3,2259.756,2901.057
T06,2,S012,O01,7390.492,133.50099487304686,285.6009948730469,0.0,1.088627,651.44,3141.057,3792.497
T07,1,O01,S009,5705.145,165.52891235351564,63.228912353515625,19.0,1.092203,460.811,3455.852,3916.663
T07,2,S009,S002,1724.547,98.28665161132812,108.78665161132812,16.0,0.325859,191.247,4096.663,4287.909
T07,3,S002,O01,7411.31,89.45425415039062,181.25425415039064,0.0,1.080765,596.407,4497.909,5094.317
T08,1,O01,S009,5705.145,165.52891235351564,63.228912353515625,22.0,1.169654,460.811,4152.497,4613.308
T08,2,S009,O01,5705.145,63.228912353515625,165.52891235351564,0.0,0.830575,467.631,4823.308,5290.939
T09,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,17.0,1.045831,571.352,360.0,931.352
T09,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,1141.352,1727.424
T10,1,O01,S002,7411.31,181.25425415039064,89.45425415039062,65.0,3.857802,611.316,2040.169,2651.485
T10,2,S002,O01,7411.31,89.45425415039062,181.25425415039064,0.0,2.304069,620.496,3047.485,3667.981
T11,1,O01,S006,3186.208,238.39783935546876,51.29783935546874,59.0,1.604045,333.422,2106.169,2439.591
T11,2,S006,O01,3186.208,51.29783935546874,238.39783935546876,0.0,0.993943,352.132,2835.591,3187.723
T12,1,O01,S004,7714.696,270.53916625976564,169.9391662597656,59.0,3.734222,707.498,3684.857,4392.355
T12,2,S004,O01,7714.696,169.9391662597656,270.53916625976564,0.0,2.418711,717.558,4788.355,5505.913
T13,1,O01,S011,2808.074,167.66175537109376,83.26175537109376,70.0,1.633669,295.901,4207.981,4503.882
T13,2,S011,S008,5327.212,200.81650390625,142.01650390625002,45.0,2.208271,506.482,4791.882,5298.364
T13,3,S008,O01,8079.033,102.00933227539065,245.20933227539064,0.0,2.512843,702.011,5658.364,6360.375
T14,1,O01,S015,6009.383,444.09925537109376,97.29925537109375,25.0,1.425033,587.578,5484.317,6071.895
T14,2,S015,O01,6009.383,97.29925537109375,444.09925537109376,0.0,0.88242,610.698,6311.895,6922.593
T15,1,O01,S003,7263.179,434.10413818359376,223.30413818359375,25.0,1.687386,718.235,6041.876,6760.111
T15,2,S003,O01,7263.179,223.30413818359375,434.10413818359376,0.0,1.092531,732.288,7000.111,7732.4
T16,1,O01,S003,7263.179,434.10413818359376,223.30413818359375,62.0,3.749317,769.506,5985.913,6755.419
T16,2,S003,S007,2734.262,72.1993408203125,62.1993408203125,6.0,0.87146,242.264,7115.419,7357.682
T16,3,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,1.438466,559.823,7573.682,8133.506
T17,1,O01,S005,5280.607,198.710888671875,131.410888671875,59.0,2.562626,497.23,6840.375,7337.605
T17,2,S005,O01,5280.607,131.410888671875,198.710888671875,0.0,1.659567,503.96,7733.605,8237.565
T18,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,22.0,1.11141,571.352,360.0,931.352
T18,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,1141.352,1727.424
