架次编号,航段序号,起点,终点,水平距离_m,起点爬升_m,终点下降_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s
T01,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,22.0,0.709036,338.573,360.0,698.573
T01,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.57331,342.326,908.573,1250.9
T02,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,17.0,1.045831,571.352,360.0,931.352
T02,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,1141.352,1727.424
T03,1,O01,S013,4849.242,271.48182373046876,47.48182373046876,25.0,1.12033,432.769,390.0,822.769
T03,2,S013,O01,4849.242,47.48182373046876,271.48182373046876,0.0,0.70443,447.703,1062.769,1510.472
T04,1,O01,S006,3186.208,238.39783935546876,51.29783935546874,59.0,1.604045,333.422,480.0,813.422
T04,2,S006,O01,3186.208,51.29783935546874,238.39783935546876,0.0,0.993943,352.132,1209.422,1561.554
T05,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,68.0,1.701537,306.27,480.0,786.27
T05,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,1182.27,1494.169
T06,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,22.0,0.709036,338.573,360.0,698.573
T06,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.57331,342.326,908.573,1250.9
T07,1,O01,S002,7411.31,181.25425415039064,89.45425415039062,64.0,3.801587,611.316,1974.169,2585.485
T07,2,S002,O01,7411.31,89.45425415039062,181.25425415039064,0.0,2.304069,620.496,2981.485,3601.981
T08,1,O01,S008,8079.033,245.20933227539064,102.00933227539065,20.0,1.584199,661.142,360.0,1021.142
T08,2,S008,O01,8079.033,102.00933227539065,245.20933227539064,0.0,1.179243,670.689,1231.142,1901.831
T09,1,O01,S010,4784.495,307.93653564453126,84.03653564453123,25.0,1.119023,455.226,1900.472,2355.699
T09,2,S010,O01,4784.495,84.03653564453123,307.93653564453126,0.0,0.704173,470.153,2595.699,3065.852
T10,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,20.0,0.691036,338.573,390.0,728.573
T10,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.57331,342.326,968.573,1310.9
T11,1,O01,S014,5419.602,464.2473876953125,240.9473876953125,25.0,1.306885,612.435,2291.831,2904.266
T11,2,S014,O01,5419.602,240.9473876953125,464.2473876953125,0.0,0.833504,627.322,3144.266,3771.588
T12,1,O01,S003,7263.179,434.10413818359376,223.30413818359375,64.0,3.855578,769.506,2041.554,2811.06
T12,2,S003,O01,7263.179,223.30413818359375,434.10413818359376,0.0,2.2939,790.586,3207.06,3997.645
T13,1,O01,S002,7411.31,181.25425415039064,89.45425415039062,20.0,1.618571,713.809,1640.9,2354.708
T13,2,S002,S012,3071.276,188.67825317382812,128.3782531738281,3.0,0.609593,370.184,2564.708,2934.892
T13,3,S012,O01,7390.492,133.50099487304686,285.6009948730469,0.0,1.365657,774.615,3114.892,3889.507
T14,1,O01,S004,7714.696,270.53916625976564,169.9391662597656,59.0,3.734222,707.498,4081.981,4789.48
T14,2,S004,O01,7714.696,169.9391662597656,270.53916625976564,0.0,2.418711,717.558,5185.48,5903.038
T15,1,O01,S005,5280.607,198.710888671875,131.410888671875,59.0,2.562626,497.23,4477.645,4974.875
T15,2,S005,O01,5280.607,131.410888671875,198.710888671875,0.0,1.659567,503.96,5370.875,5874.836
T16,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,22.0,1.11141,571.352,1610.9,2182.252
T16,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,2392.252,2978.324
T17,1,O01,S009,5705.145,165.52891235351564,63.228912353515625,25.0,1.265658,460.811,3455.852,3916.663
T17,2,S009,O01,5705.145,63.228912353515625,165.52891235351564,0.0,0.830575,467.631,4156.663,4624.294
T18,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,22.0,0.709036,338.573,2481.355,2819.928
T18,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.57331,342.326,3029.928,3372.255
T19,1,O01,S012,7390.492,285.6009948730469,133.50099487304686,22.0,1.6928,764.475,2481.355,3245.83
T19,2,S012,O01,7390.492,133.50099487304686,285.6009948730469,0.0,1.365657,774.615,3455.83,4230.445
T20,1,O01,S008,8079.033,245.20933227539064,102.00933227539065,25.0,1.795974,661.142,4161.588,4822.73
T20,2,S008,O01,8079.033,102.00933227539065,245.20933227539064,0.0,1.179243,670.689,5062.73,5733.419
T21,1,O01,S003,7263.179,434.10413818359376,223.30413818359375,20.0,1.673582,839.288,3368.324,4207.612
T21,2,S003,S015,2616.367,149.39886474609375,13.39886474609375,3.0,0.516171,273.19,4417.612,4690.801
T21,3,S015,O01,6009.383,97.29925537109375,444.09925537109376,0.0,1.107466,710.855,4870.801,5581.656
T22,1,O01,S015,6009.383,444.09925537109376,97.29925537109375,22.0,1.450228,687.735,3732.255,4419.989
T22,2,S015,O01,6009.383,97.29925537109375,444.09925537109376,0.0,1.107466,710.855,4629.989,5340.844
T23,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,6.0,0.94639,571.352,4377.701,4949.053
T23,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,5129.053,5715.125
T24,1,O01,S011,2808.074,167.66175537109376,83.26175537109376,25.0,0.652315,276.397,5014.294,5290.691
T24,2,S011,O01,2808.074,83.26175537109376,167.66175537109376,0.0,0.421636,282.024,5530.691,5812.714
