架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U07,C,C-B1,0.0,S001,1626.169077,2.917582,0.635302,3249.680952,76.0,0.195,"S001-WAT-07,S001-MED-02,S001-WAT-06,S001-WAT-04,S001-HYG-01,S001-WAT-03,S001-FOD-02,S001-MED-01"
T02,U05,B,B-B1,0.0,S013,1510.472325,1.824759,0.54381,2967.86801,25.0,0.067,"S013-WAT-01,S013-MED-01,S013-FOD-01"
T03,U06,B,B-B2,0.0,S014,1869.756416,2.140388,0.464903,3463.924759,25.0,0.067,"S014-MED-01,S014-FOD-01,S014-WAT-01"
T04,U08,C,C-B2,0.0,S001,1560.169077,2.995769,0.625529,3204.856586,78.0,0.199,"S001-FOD-03,S001-WAT-05,S001-FOD-01,S001-WAT-08,S001-WAT-01,S001-WAT-02,S001-HYG-02"
T05,U01,A,A-B1,0.0,S002,2003.737982,3.018691,0.32918,3375.804252,22.0,0.055,"S002-WAT-03,S002-FOD-02"
T06,U02,A,A-B2,0.0,S003,2262.629279,3.083593,0.314757,3653.444967,22.0,0.055,"S003-FOD-01,S003-WAT-03"
T07,U05,B,B-B3,1510.472325,S010,3065.851891,1.823196,0.544201,4522.570027,25.0,0.067,"S010-FOD-01,S010-WAT-01,S010-MED-01"
T08,U06,B,B-B4,1869.756416,S008,3771.587852,2.763441,0.30914,5635.745729,20.0,0.062,"S008-HYG-01,S008-WAT-02"
T09,U05,B,B-B1,3065.851891,S009,4624.293624,2.096234,0.475942,6199.328242,25.0,0.067,"S009-MED-01,S009-WAT-01,S009-FOD-01"
T10,U03,A,A-B3,0.0,S005-S012,2671.711055,3.512686,0.219403,4186.486895,12.0,0.059000000000000004,"S005-HYG-01,S005-MED-01,S012-MED-01"
T11,U04,A,A-B4,0.0,S007,1727.424085,1.970922,0.562017,2796.801665,22.0,0.055,"S007-FOD-01,S007-WAT-02"
T12,U08,C,C-B3,1560.169077,S002,3667.981462,5.853072,0.268366,6086.521712,59.0,0.156,"S002-HYG-01,S002-WAT-04,S002-FOD-01,S002-WAT-02,S002-WAT-01,S002-MED-01"
T13,U07,C,C-B4,1626.169077,S006,3187.722945,2.597988,0.675252,4724.677992,59.0,0.156,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-HYG-01,S006-WAT-03,S006-FOD-01"
T14,U04,A,A-B5,1727.424085,S012,3836.514158,3.058457,0.320343,5220.068521,22.0,0.055,"S012-WAT-01,S012-FOD-01"
T15,U01,A,A-B6,2003.737982,S007,3731.162066,1.905343,0.57659,4781.594491,17.0,0.039,"S007-MED-01,S007-WAT-01"
T16,U02,A,A-B4,2796.801665,S008,4967.934205,3.199907,0.288909,6392.351879,17.0,0.039,"S008-MED-01,S008-WAT-01"
T17,U03,A,A-B1,3375.804252,S005-S008,5808.960546,3.307416,0.265019,7264.436135,22.0,0.055,"S005-WAT-03,S008-FOD-01"
T18,U06,B,B-B2,3771.587852,S015,5599.864489,2.307453,0.423137,7266.42738,25.0,0.067,"S015-WAT-01,S015-FOD-01,S015-MED-01"
T19,U05,B,B-B3,4624.293624,S011,5812.714096,1.073952,0.731512,6944.759861,25.0,0.067,"S011-FOD-01,S011-WAT-01,S011-MED-01"
T20,U07,C,C-B2,3204.856586,S007-S003,5898.449004,6.100851,0.237394,8384.096191,65.0,0.191,"S007-HYG-01,S003-MED-01,S003-WAT-01,S003-WAT-02,S003-FOD-02,S003-WAT-04,S003-HYG-01"
T21,U01,A,A-B2,3731.162066,S005,5423.352526,2.192988,0.512669,6556.882509,22.0,0.055,"S005-WAT-01,S005-FOD-01"
T22,U08,C,C-B1,3667.981462,S004,5969.038155,6.152932,0.230883,8468.790576,59.0,0.156,"S004-HYG-01,S004-MED-01,S004-WAT-03,S004-WAT-02,S004-FOD-01,S004-WAT-01"
T23,U04,A,A-B3,4186.486895,S005,5818.677355,2.08596,0.536453,6921.287937,14.0,0.027,S005-WAT-02
