货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T04,S001,1248.269539,应急食品,7200.0,,0.0
S001-FOD-02,T01,S001,1314.269539,应急食品,7200.0,,0.0
S001-FOD-03,T04,S001,1248.269539,应急食品,7200.0,,0.0
S001-HYG-01,T01,S001,1314.269539,生活卫生用品,10800.0,,0.0
S001-HYG-02,T04,S001,1248.269539,生活卫生用品,10800.0,,0.0
S001-MED-01,T01,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T01,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T04,S001,1248.269539,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T04,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-03,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-04,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-05,T04,S001,1248.269539,饮用水,3600.0,,0.0
S001-WAT-06,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-07,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-08,T04,S001,1248.269539,饮用水,3600.0,,0.0
S002-FOD-01,T12,S002,3047.48527,应急食品,7200.0,,0.0
S002-FOD-02,T05,S002,1283.808991,应急食品,7200.0,,0.0
S002-HYG-01,T12,S002,3047.48527,生活卫生用品,10800.0,,0.0
S002-MED-01,T12,S002,3047.48527,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T12,S002,3047.48527,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T12,S002,3047.48527,饮用水,3600.0,,0.0
S002-WAT-03,T05,S002,1283.808991,饮用水,3600.0,,0.0
S002-WAT-04,T12,S002,3047.48527,饮用水,3600.0,,0.0
S003-FOD-01,T06,S003,1409.287973,应急食品,10800.0,,0.0
S003-FOD-02,T20,S003,5107.86333,应急食品,10800.0,,0.0
S003-HYG-01,T20,S003,5107.86333,生活卫生用品,14400.0,,0.0
S003-MED-01,T20,S003,5107.86333,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T20,S003,5107.86333,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T20,S003,5107.86333,饮用水,7200.0,,0.0
S003-WAT-03,T06,S003,1409.287973,饮用水,7200.0,,0.0
S003-WAT-04,T20,S003,5107.86333,饮用水,7200.0,,0.0
S004-FOD-01,T22,S004,5251.479808,应急食品,10800.0,,0.0
S004-HYG-01,T22,S004,5251.479808,生活卫生用品,14400.0,,0.0
