架次编号,航段序号,起点,终点,水平距离_m,起点爬升_m,终点下降_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s
T01,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,76.0,1.954336,306.27,540.0,846.27
T01,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,1314.27,1626.169
T02,1,O01,S013,4849.242,271.48182373046876,47.48182373046876,25.0,1.12033,432.769,390.0,822.769
T02,2,S013,O01,4849.242,47.48182373046876,271.48182373046876,0.0,0.70443,447.703,1062.769,1510.472
T03,1,O01,S014,5419.602,464.2473876953125,240.9473876953125,25.0,1.306885,612.435,390.0,1002.435
T03,2,S014,O01,5419.602,240.9473876953125,464.2473876953125,0.0,0.833504,627.322,1242.435,1869.756
T04,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,78.0,2.032523,306.27,510.0,816.27
T04,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,1248.27,1560.169
T05,1,O01,S002,7411.31,181.25425415039064,89.45425415039062,22.0,1.660956,713.809,360.0,1073.809
T05,2,S002,O01,7411.31,89.45425415039062,181.25425415039064,0.0,1.357735,719.929,1283.809,2003.738
T06,1,O01,S003,7263.179,434.10413818359376,223.30413818359375,22.0,1.71706,839.288,360.0,1199.288
T06,2,S003,O01,7263.179,223.30413818359375,434.10413818359376,0.0,1.366532,853.341,1409.288,2262.629
T07,1,O01,S010,4784.495,307.93653564453126,84.03653564453123,25.0,1.119023,455.226,1900.472,2355.699
T07,2,S010,O01,4784.495,84.03653564453123,307.93653564453126,0.0,0.704173,470.153,2595.699,3065.852
T08,1,O01,S008,8079.033,245.20933227539064,102.00933227539065,20.0,1.584199,661.142,2229.756,2890.899
T08,2,S008,O01,8079.033,102.00933227539065,245.20933227539064,0.0,1.179243,670.689,3100.899,3771.588
T09,1,O01,S009,5705.145,165.52891235351564,63.228912353515625,25.0,1.265658,460.811,3455.852,3916.663
T09,2,S009,O01,5705.145,63.228912353515625,165.52891235351564,0.0,0.830575,467.631,4156.663,4624.294
T10,1,O01,S005,5280.607,198.710888671875,131.410888671875,12.0,1.079902,558.852,390.0,948.852
T10,2,S005,S012,5622.613,168.56320190429688,83.76320190429686,3.0,1.067127,558.244,1158.852,1717.096
T10,3,S012,O01,7390.492,133.50099487304686,285.6009948730469,0.0,1.365657,774.615,1897.096,2671.711
T11,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,22.0,1.11141,571.352,360.0,931.352
T11,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,1141.352,1727.424
T12,1,O01,S002,7411.31,181.25425415039064,89.45425415039062,59.0,3.549003,611.316,2040.169,2651.485
T12,2,S002,O01,7411.31,89.45425415039062,181.25425415039064,0.0,2.304069,620.496,3047.485,3667.981
T13,1,O01,S006,3186.208,238.39783935546876,51.29783935546874,59.0,1.604045,333.422,2106.169,2439.591
T13,2,S006,O01,3186.208,51.29783935546874,238.39783935546876,0.0,0.993943,352.132,2835.591,3187.723
T14,1,O01,S012,7390.492,285.6009948730469,133.50099487304686,22.0,1.6928,764.475,2087.424,2851.899
T14,2,S012,O01,7390.492,133.50099487304686,285.6009948730469,0.0,1.365657,774.615,3061.899,3836.514
T15,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,17.0,1.045831,571.352,2363.738,2935.09
T15,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,3145.09,3731.162
T16,1,O01,S008,8079.033,245.20933227539064,102.00933227539065,17.0,1.718656,795.793,3156.802,3952.595
T16,2,S008,O01,8079.033,102.00933227539065,245.20933227539064,0.0,1.481251,805.34,4162.595,4967.934
T17,1,O01,S005,5280.607,198.710888671875,131.410888671875,22.0,1.207664,558.852,3735.804,4294.656
T17,2,S005,S008,3040.17,171.78717041015625,95.88717041015627,8.0,0.6185,348.965,4474.656,4823.621
T17,3,S008,O01,8079.033,102.00933227539065,245.20933227539064,0.0,1.481251,805.34,5003.621,5808.961
T18,1,O01,S015,6009.383,444.09925537109376,97.29925537109375,25.0,1.425033,587.578,4161.588,4749.166
T18,2,S015,O01,6009.383,97.29925537109375,444.09925537109376,0.0,0.88242,610.698,4989.166,5599.864
T19,1,O01,S011,2808.074,167.66175537109376,83.26175537109376,25.0,0.652315,276.397,5014.294,5290.691
T19,2,S011,O01,2808.074,83.26175537109376,167.66175537109376,0.0,0.421636,282.024,5530.691,5812.714
T20,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,65.0,2.499893,537.743,3714.857,4252.6
T20,2,S007,S003,2734.262,62.1993408203125,72.1993408203125,59.0,1.307058,243.264,4468.6,4711.863
T20,3,S003,O01,7263.179,223.30413818359375,434.10413818359376,0.0,2.2939,790.586,5107.863,5898.449
T21,1,O01,S005,5280.607,198.710888671875,131.410888671875,22.0,1.207664,558.852,4091.162,4650.014
T21,2,S005,O01,5280.607,131.410888671875,198.710888671875,0.0,0.985324,563.339,4860.014,5423.353
T22,1,O01,S004,7714.696,270.53916625976564,169.9391662597656,59.0,3.734222,707.498,4147.981,4855.48
T22,2,S004,O01,7714.696,169.9391662597656,270.53916625976564,0.0,2.418711,717.558,5251.48,5969.038
T23,1,O01,S005,5280.607,198.710888671875,131.410888671875,14.0,1.100636,558.852,4516.487,5075.339
T23,2,S005,O01,5280.607,131.410888671875,198.710888671875,0.0,0.985324,563.339,5255.339,5818.677
