架次编号,机型,无人机,电池,开始时刻_s,起飞时刻_s,访问顺序（每站箱数）,途经节点,服务区数,货箱数,总质量_kg,总体积_m3,总水平距离_m,总飞行时间_s,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,途经服务区坐标
T01,A,U01,A-B1,0.0,360.0,S007(2),O01-S007-O01,1,2,22.0,0.055,9068.921,1157.424,1727.424,1.970922,0.562017,2796.802,"S007(-3898,2316)"
T02,A,U02,A-B2,0.0,390.0,S001(3),O01-S001-O01,1,3,20.0,0.051000000000000004,6107.958,680.9,1310.9,1.264346,0.719034,2176.155,"S001(1269,2778)"
T03,B,U05,B-B1,0.0,390.0,S013(3),O01-S013-O01,1,3,25.0,0.067,9698.485,880.472,1510.472,1.824759,0.54381,2967.868,"S013(4155,2501)"
T04,C,U07,C-B1,0.0,480.0,S006(6),O01-S006-O01,1,6,59.0,0.156,6372.416,685.554,1561.554,2.597988,0.675252,3098.509,"S006(-3185,-88)"
T05,C,U08,C-B2,0.0,480.0,S001(6),O01-S001-O01,1,6,68.0,0.178,6107.958,618.169,1494.169,2.664783,0.666902,3049.215,"S001(1269,2778)"
T06,A,U03,A-B3,0.0,360.0,S012(2),O01-S012-O01,1,2,22.0,0.055,14780.983,1539.09,2109.09,3.058457,0.320343,3492.644,"S012(5358,5090)"
T07,C,U08,C-B3,1494.169,1974.169,S002(6),O01-S002-O01,1,6,64.0,0.17200000000000001,14822.621,1231.812,3601.981,6.105656,0.236793,6088.93,"S002(2838,6846)"
T08,B,U06,B-B2,0.0,360.0,S008(2),O01-S008-O01,1,2,20.0,0.062,16158.066,1331.831,1901.831,2.763441,0.30914,3765.989,"S008(-1855,7863)"
T09,B,U05,B-B3,1510.472,1900.472,S010(3),O01-S010-O01,1,3,25.0,0.067,9568.99,925.38,3065.852,1.823196,0.544201,4522.57,"S010(4630,1207)"
T10,A,U04,A-B4,0.0,360.0,S001(2),O01-S001-O01,1,2,22.0,0.055,6107.958,680.9,1250.9,1.282346,0.715034,2121.355,"S001(1269,2778)"
T11,B,U06,B-B4,1901.831,2291.831,S014(3),O01-S014-O01,1,3,25.0,0.067,10839.204,1239.756,3771.588,2.140388,0.464903,5365.756,"S014(5407,-364)"
T12,C,U07,C-B4,1561.554,2041.554,S003(6),O01-S003-O01,1,6,64.0,0.17200000000000001,14526.359,1560.091,3997.645,6.149478,0.231315,6496.462,"S003(-6354,3519)"
T13,A,U04,A-B5,1250.9,1640.9,S002(2)->S012(1),O01-S002-S012-O01,2,3,20.0,0.051000000000000004,17873.078,1858.608,3889.507,3.593821,0.201373,5427.722,"S002(2838,6846); S012(5358,5090)"
T14,C,U08,C-B1,3601.981,4081.981,S004(6),O01-S004-O01,1,6,59.0,0.156,15429.393,1425.057,5903.038,6.152932,0.230883,8402.791,"S004(750,7678)"
T15,C,U07,C-B2,3997.645,4477.645,S005(6),O01-S005-O01,1,6,59.0,0.156,10561.214,1001.191,5874.836,4.222193,0.472226,7851.68,"S005(-261,5274)"
T16,A,U02,A-B6,1310.9,1670.9,S001(2),O01-S001-O01,1,2,22.0,0.055,6107.958,680.9,2561.799,1.282346,0.715034,3432.255,"S001(1269,2778)"
T17,B,U05,B-B1,3065.852,3455.852,S009(3),O01-S009-O01,1,3,25.0,0.067,11410.29,928.442,4624.294,2.096234,0.475942,6199.328,"S009(2387,5182)"
T18,A,U01,A-B4,2121.355,2481.355,S007(2),O01-S007-O01,1,2,17.0,0.039,9068.921,1157.424,3848.779,1.905343,0.57659,4899.212,"S007(-3898,2316)"
T19,A,U03,A-B2,2176.155,2536.155,S001(2),O01-S001-O01,1,2,22.0,0.055,6107.958,680.9,3427.054,1.282346,0.715034,4297.51,"S001(1269,2778)"
T20,B,U06,B-B2,3771.588,4161.588,S008(3),O01-S008-O01,1,3,25.0,0.067,16158.066,1331.831,5733.419,2.975217,0.256196,7689.346,"S008(-1855,7863)"
T21,A,U02,A-B1,2796.802,3186.802,S003(2)->S015(1),O01-S003-S015-O01,2,3,20.0,0.051000000000000004,15888.929,1823.332,5400.134,3.297219,0.267285,6852.664,"S003(-6354,3519); S015(-3943,4535)"
T22,A,U03,A-B6,3432.255,3792.255,S015(2),O01-S015-O01,1,2,22.0,0.055,12018.766,1398.589,5400.844,2.557694,0.431623,6639.733,"S015(-3943,4535)"
T23,A,U01,A-B3,3848.779,4178.779,S007(1),O01-S007-O01,1,1,6.0,0.035,9068.921,1157.424,5516.203,1.805902,0.598688,6537.908,"S007(-3898,2316)"
T24,B,U05,B-B3,4624.294,5014.294,S011(3),O01-S011-O01,1,3,25.0,0.067,5616.148,558.42,5812.714,1.073952,0.731512,6944.76,"S011(-1078,2593)"
