架次编号,机型,无人机,电池,航段序号,起点,终点,起点作业海拔_m,终点作业海拔_m,计划巡航海拔_m,起点爬升_m,终点下降_m,水平距离_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s,本段后是否投送,投送交接耗时_s,投送完成时刻_s
T01,A,U01,A-B1,1,O01,S007,127.7,348.5,511.9731750488281,384.27317504882814,163.47317504882812,4534.461,22.0,1.11141,571.352,360.0,931.352,是,210.0,1141.352
T01,A,U01,A-B1,2,S007,O01,348.5,127.7,511.9731750488281,163.47317504882812,384.27317504882814,4534.461,0.0,0.859512,586.072,1141.352,1727.424,否（返航）,0.0,
T02,A,U02,A-B2,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,20.0,0.691036,338.573,390.0,728.573,是,240.0,968.573
T02,A,U02,A-B2,2,S001,O01,184.0,127.7,273.0566101074219,89.05661010742188,145.3566101074219,3053.979,0.0,0.57331,342.326,968.573,1310.9,否（返航）,0.0,
T03,B,U05,B-B1,1,O01,S013,127.7,351.7,399.18182373046875,271.48182373046876,47.48182373046876,4849.242,25.0,1.12033,432.769,390.0,822.769,是,240.0,1062.769
T03,B,U05,B-B1,2,S013,O01,351.7,127.7,399.18182373046875,47.48182373046876,271.48182373046876,4849.242,0.0,0.70443,447.703,1062.769,1510.472,否（返航）,0.0,
T04,C,U07,C-B1,1,O01,S006,127.7,314.8,366.09783935546875,238.39783935546876,51.29783935546874,3186.208,59.0,1.604045,333.422,480.0,813.422,是,396.0,1209.422
T04,C,U07,C-B1,2,S006,O01,314.8,127.7,366.09783935546875,51.29783935546874,238.39783935546876,3186.208,0.0,0.993943,352.132,1209.422,1561.554,否（返航）,0.0,
T05,C,U08,C-B2,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,68.0,1.701537,306.27,480.0,786.27,是,396.0,1182.27
T05,C,U08,C-B2,2,S001,O01,184.0,127.7,273.0566101074219,89.05661010742188,145.3566101074219,3053.979,0.0,0.963246,311.9,1182.27,1494.169,否（返航）,0.0,
T06,A,U03,A-B3,1,O01,S012,127.7,279.8,413.3009948730469,285.6009948730469,133.50099487304686,7390.492,22.0,1.6928,764.475,360.0,1124.475,是,210.0,1334.475
T06,A,U03,A-B3,2,S012,O01,279.8,127.7,413.3009948730469,133.50099487304686,285.6009948730469,7390.492,0.0,1.365657,774.615,1334.475,2109.09,否（返航）,0.0,
T07,C,U08,C-B3,1,O01,S002,127.7,219.5,308.9542541503906,181.25425415039064,89.45425415039062,7411.31,64.0,3.801587,611.316,1974.169,2585.485,是,396.0,2981.485
T07,C,U08,C-B3,2,S002,O01,219.5,127.7,308.9542541503906,89.45425415039062,181.25425415039064,7411.31,0.0,2.304069,620.496,2981.485,3601.981,否（返航）,0.0,
T08,B,U06,B-B2,1,O01,S008,127.7,270.9,372.9093322753906,245.20933227539064,102.00933227539065,8079.033,20.0,1.584199,661.142,360.0,1021.142,是,210.0,1231.142
T08,B,U06,B-B2,2,S008,O01,270.9,127.7,372.9093322753906,102.00933227539065,245.20933227539064,8079.033,0.0,1.179243,670.689,1231.142,1901.831,否（返航）,0.0,
T09,B,U05,B-B3,1,O01,S010,127.7,351.6,435.63653564453125,307.93653564453126,84.03653564453123,4784.495,25.0,1.119023,455.226,1900.472,2355.699,是,240.0,2595.699
T09,B,U05,B-B3,2,S010,O01,351.6,127.7,435.63653564453125,84.03653564453123,307.93653564453126,4784.495,0.0,0.704173,470.153,2595.699,3065.852,否（返航）,0.0,
T10,A,U04,A-B4,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,22.0,0.709036,338.573,360.0,698.573,是,210.0,908.573
T10,A,U04,A-B4,2,S001,O01,184.0,127.7,273.0566101074219,89.05661010742188,145.3566101074219,3053.979,0.0,0.57331,342.326,908.573,1250.9,否（返航）,0.0,
T11,B,U06,B-B4,1,O01,S014,127.7,351.0,591.9473876953125,464.2473876953125,240.9473876953125,5419.602,25.0,1.306885,612.435,2291.831,2904.266,是,240.0,3144.266
T11,B,U06,B-B4,2,S014,O01,351.0,127.7,591.9473876953125,240.9473876953125,464.2473876953125,5419.602,0.0,0.833504,627.322,3144.266,3771.588,否（返航）,0.0,
T12,C,U07,C-B4,1,O01,S003,127.7,338.5,561.8041381835938,434.10413818359376,223.30413818359375,7263.179,64.0,3.855578,769.506,2041.554,2811.06,是,396.0,3207.06
T12,C,U07,C-B4,2,S003,O01,338.5,127.7,561.8041381835938,223.30413818359375,434.10413818359376,7263.179,0.0,2.2939,790.586,3207.06,3997.645,否（返航）,0.0,
T13,A,U04,A-B5,1,O01,S002,127.7,219.5,308.9542541503906,181.25425415039064,89.45425415039062,7411.31,20.0,1.618571,713.809,1640.9,2354.708,是,210.0,2564.708
T13,A,U04,A-B5,2,S002,S012,219.5,279.8,408.1782531738281,188.67825317382812,128.3782531738281,3071.276,3.0,0.609593,370.184,2564.708,2934.892,是,180.0,3114.892
T13,A,U04,A-B5,3,S012,O01,279.8,127.7,413.3009948730469,133.50099487304686,285.6009948730469,7390.492,0.0,1.365657,774.615,3114.892,3889.507,否（返航）,0.0,
T14,C,U08,C-B1,1,O01,S004,127.7,228.3,398.2391662597656,270.53916625976564,169.9391662597656,7714.696,59.0,3.734222,707.498,4081.981,4789.48,是,396.0,5185.48
T14,C,U08,C-B1,2,S004,O01,228.3,127.7,398.2391662597656,169.9391662597656,270.53916625976564,7714.696,0.0,2.418711,717.558,5185.48,5903.038,否（返航）,0.0,
T15,C,U07,C-B2,1,O01,S005,127.7,195.0,326.410888671875,198.710888671875,131.410888671875,5280.607,59.0,2.562626,497.23,4477.645,4974.875,是,396.0,5370.875
T15,C,U07,C-B2,2,S005,O01,195.0,127.7,326.410888671875,131.410888671875,198.710888671875,5280.607,0.0,1.659567,503.96,5370.875,5874.836,否（返航）,0.0,
T16,A,U02,A-B6,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,22.0,0.709036,338.573,1670.9,2009.473,是,210.0,2219.473
T16,A,U02,A-B6,2,S001,O01,184.0,127.7,273.0566101074219,89.05661010742188,145.3566101074219,3053.979,0.0,0.57331,342.326,2219.473,2561.799,否（返航）,0.0,
T17,B,U05,B-B1,1,O01,S009,127.7,230.0,293.2289123535156,165.52891235351564,63.228912353515625,5705.145,25.0,1.265658,460.811,3455.852,3916.663,是,240.0,4156.663
T17,B,U05,B-B1,2,S009,O01,230.0,127.7,293.2289123535156,63.228912353515625,165.52891235351564,5705.145,0.0,0.830575,467.631,4156.663,4624.294,否（返航）,0.0,
T18,A,U01,A-B4,1,O01,S007,127.7,348.5,511.9731750488281,384.27317504882814,163.47317504882812,4534.461,17.0,1.045831,571.352,2481.355,3052.707,是,210.0,3262.707
T18,A,U01,A-B4,2,S007,O01,348.5,127.7,511.9731750488281,163.47317504882812,384.27317504882814,4534.461,0.0,0.859512,586.072,3262.707,3848.779,否（返航）,0.0,
T19,A,U03,A-B2,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,22.0,0.709036,338.573,2536.155,2874.728,是,210.0,3084.728
T19,A,U03,A-B2,2,S001,O01,184.0,127.7,273.0566101074219,89.05661010742188,145.3566101074219,3053.979,0.0,0.57331,342.326,3084.728,3427.054,否（返航）,0.0,
T20,B,U06,B-B2,1,O01,S008,127.7,270.9,372.9093322753906,245.20933227539064,102.00933227539065,8079.033,25.0,1.795974,661.142,4161.588,4822.73,是,240.0,5062.73
T20,B,U06,B-B2,2,S008,O01,270.9,127.7,372.9093322753906,102.00933227539065,245.20933227539064,8079.033,0.0,1.179243,670.689,5062.73,5733.419,否（返航）,0.0,
T21,A,U02,A-B1,1,O01,S003,127.7,338.5,561.8041381835938,434.10413818359376,223.30413818359375,7263.179,20.0,1.673582,839.288,3186.802,4026.09,是,210.0,4236.09
T21,A,U02,A-B1,2,S003,S015,338.5,474.5,487.89886474609375,149.39886474609375,13.39886474609375,2616.367,3.0,0.516171,273.19,4236.09,4509.279,是,180.0,4689.279
T21,A,U02,A-B1,3,S015,O01,474.5,127.7,571.7992553710938,97.29925537109375,444.09925537109376,6009.383,0.0,1.107466,710.855,4689.279,5400.134,否（返航）,0.0,
T22,A,U03,A-B6,1,O01,S015,127.7,474.5,571.7992553710938,444.09925537109376,97.29925537109375,6009.383,22.0,1.450228,687.735,3792.255,4479.989,是,210.0,4689.989
T22,A,U03,A-B6,2,S015,O01,474.5,127.7,571.7992553710938,97.29925537109375,444.09925537109376,6009.383,0.0,1.107466,710.855,4689.989,5400.844,否（返航）,0.0,
T23,A,U01,A-B3,1,O01,S007,127.7,348.5,511.9731750488281,384.27317504882814,163.47317504882812,4534.461,6.0,0.94639,571.352,4178.779,4750.131,是,180.0,4930.131
T23,A,U01,A-B3,2,S007,O01,348.5,127.7,511.9731750488281,163.47317504882812,384.27317504882814,4534.461,0.0,0.859512,586.072,4930.131,5516.203,否（返航）,0.0,
T24,B,U05,B-B3,1,O01,S011,127.7,212.1,295.36175537109375,167.66175537109376,83.26175537109376,2808.074,25.0,0.652315,276.397,5014.294,5290.691,是,240.0,5530.691
T24,B,U05,B-B3,2,S011,O01,212.1,127.7,295.36175537109375,83.26175537109376,167.66175537109376,2808.074,0.0,0.421636,282.024,5530.691,5812.714,否（返航）,0.0,
