架次编号,机型,无人机,电池,开始时刻_s,起飞时刻_s,访问顺序（每站箱数）,途经节点,服务区数,货箱数,总质量_kg,总体积_m3,总水平距离_m,总飞行时间_s,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,途经服务区坐标
T01,B,U05,B-B1,0.0,390.0,S010(3),O01-S010-O01,1,3,25.0,0.067,9568.99,925.38,1555.38,1.823196,0.544201,3012.098,"S010(4630,1207)"
T02,A,U01,A-B1,0.0,360.0,S012(2),O01-S012-O01,1,2,22.0,0.055,14780.983,1539.09,2109.09,3.058457,0.320343,3492.644,"S012(5358,5090)"
T03,A,U02,A-B2,0.0,360.0,S007(2),O01-S007-O01,1,2,17.0,0.039,9068.921,1157.424,1727.424,1.905343,0.57659,2777.857,"S007(-3898,2316)"
T04,B,U06,B-B2,0.0,390.0,S014(3),O01-S014-O01,1,3,25.0,0.067,10839.204,1239.756,1869.756,2.140388,0.464903,3463.925,"S014(5407,-364)"
T05,B,U05,B-B3,1555.38,1945.38,S013(3),O01-S013-O01,1,3,25.0,0.067,9698.485,880.472,3065.852,1.824759,0.54381,4523.248,"S013(4155,2501)"
T06,C,U07,C-B1,0.0,540.0,S006(6)->S001(2),O01-S006-S001-O01,2,8,73.0,0.219,11536.355,1135.021,2323.021,4.661292,0.417338,4418.788,"S006(-3185,-88); S001(1269,2778)"
T07,C,U08,C-B2,0.0,480.0,S002(6),O01-S002-O01,1,6,59.0,0.156,14822.621,1231.812,2107.812,5.853072,0.268366,4526.353,"S002(2838,6846)"
T08,A,U03,A-B3,0.0,360.0,S002(2),O01-S002-O01,1,2,22.0,0.055,14822.621,1433.738,2003.738,3.018691,0.32918,3375.804,"S002(2838,6846)"
T09,C,U08,C-B3,2107.812,2647.812,S001(6)->S005(2),O01-S001-S005-O01,2,8,79.0,0.218,11262.626,1118.857,4414.669,4.693097,0.413363,6519.049,"S001(1269,2778); S005(-261,5274)"
T10,B,U06,B-B4,1869.756,2259.756,S001(2)->S012(1),O01-S001-S012-O01,2,3,25.0,0.067,15142.154,1398.479,4048.235,2.530537,0.367366,5811.468,"S001(1269,2778); S012(5358,5090)"
T11,C,U07,C-B4,2323.021,2893.021,S001(5)->S004(4),O01-S001-S004-O01,2,9,79.0,0.20700000000000002,15696.354,1532.49,5109.511,6.321539,0.209808,7654.928,"S001(1269,2778); S004(750,7678)"
T12,C,U08,C-B1,4418.788,4898.788,S003(5)->S007(1),O01-S003-S007-O01,2,6,62.0,0.179,14531.901,1571.592,7046.38,6.059243,0.242595,9520.759,"S003(-6354,3519); S007(-3898,2316)"
T13,B,U05,B-B1,3065.852,3455.852,S015(3),O01-S015-O01,1,3,25.0,0.067,12018.766,1198.277,4894.129,2.307453,0.423137,6560.691,"S015(-3943,4535)"
T14,B,U06,B-B2,4048.235,4438.235,S003(3),O01-S003-O01,1,3,25.0,0.067,14526.359,1450.523,6128.759,2.779917,0.305021,8000.056,"S003(-6354,3519)"
T15,B,U05,B-B3,4894.129,5254.129,S004(2),O01-S004-O01,1,2,28.0,0.054,15429.393,1351.644,6815.772,3.035358,0.241161,8797.761,"S004(750,7678)"
T16,C,U07,C-B2,5109.511,5649.511,S011(3)->S008(5),O01-S011-S008-O01,2,8,70.0,0.196,16214.319,1504.393,7801.905,6.354783,0.205652,10356.325,"S011(-1078,2593); S008(-1855,7863)"
T17,C,U08,C-B3,7046.38,7556.38,S005(4)->S009(3),O01-S005-S009-O01,2,7,75.0,0.176,13635.674,1296.498,9464.878,6.019966,0.247504,11928.619,"S005(-261,5274); S009(2387,5182)"
T18,A,U04,A-B4,0.0,360.0,S007(2),O01-S007-O01,1,2,22.0,0.055,9068.921,1157.424,1727.424,1.970922,0.562017,2796.802,"S007(-3898,2316)"
