架次编号,机型,无人机,电池,航段序号,起点,终点,起点作业海拔_m,终点作业海拔_m,计划巡航海拔_m,起点爬升_m,终点下降_m,水平距离_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s,本段后是否投送,投送交接耗时_s,投送完成时刻_s
T01,B,U05,B-B1,1,O01,S010,127.7,351.6,435.63653564453125,307.93653564453126,84.03653564453123,4784.495,25.0,1.119023,455.226,390.0,845.226,是,240.0,1085.226
T01,B,U05,B-B1,2,S010,O01,351.6,127.7,435.63653564453125,84.03653564453123,307.93653564453126,4784.495,0.0,0.704173,470.153,1085.226,1555.38,否（返航）,0.0,
T02,A,U01,A-B1,1,O01,S012,127.7,279.8,413.3009948730469,285.6009948730469,133.50099487304686,7390.492,22.0,1.6928,764.475,360.0,1124.475,是,210.0,1334.475
T02,A,U01,A-B1,2,S012,O01,279.8,127.7,413.3009948730469,133.50099487304686,285.6009948730469,7390.492,0.0,1.365657,774.615,1334.475,2109.09,否（返航）,0.0,
T03,A,U02,A-B2,1,O01,S007,127.7,348.5,511.9731750488281,384.27317504882814,163.47317504882812,4534.461,17.0,1.045831,571.352,360.0,931.352,是,210.0,1141.352
T03,A,U02,A-B2,2,S007,O01,348.5,127.7,511.9731750488281,163.47317504882812,384.27317504882814,4534.461,0.0,0.859512,586.072,1141.352,1727.424,否（返航）,0.0,
T04,B,U06,B-B2,1,O01,S014,127.7,351.0,591.9473876953125,464.2473876953125,240.9473876953125,5419.602,25.0,1.306885,612.435,390.0,1002.435,是,240.0,1242.435
T04,B,U06,B-B2,2,S014,O01,351.0,127.7,591.9473876953125,240.9473876953125,464.2473876953125,5419.602,0.0,0.833504,627.322,1242.435,1869.756,否（返航）,0.0,
T05,B,U05,B-B3,1,O01,S013,127.7,351.7,399.18182373046875,271.48182373046876,47.48182373046876,4849.242,25.0,1.12033,432.769,1945.38,2378.149,是,240.0,2618.149
T05,B,U05,B-B3,2,S013,O01,351.7,127.7,399.18182373046875,47.48182373046876,271.48182373046876,4849.242,0.0,0.70443,447.703,2618.149,3065.852,否（返航）,0.0,
T06,C,U07,C-B1,1,O01,S006,127.7,314.8,366.09783935546875,238.39783935546876,51.29783935546874,3186.208,73.0,1.976454,333.422,540.0,873.422,是,396.0,1269.422
T06,C,U07,C-B1,2,S006,S001,314.8,184.0,393.9356384277344,79.13563842773436,209.93563842773438,5296.168,14.0,1.721593,489.7,1269.422,1759.122,是,252.0,2011.122
T06,C,U07,C-B1,3,S001,O01,184.0,127.7,273.0566101074219,89.05661010742188,145.3566101074219,3053.979,0.0,0.963246,311.9,2011.122,2323.021,否（返航）,0.0,
T07,C,U08,C-B2,1,O01,S002,127.7,219.5,308.9542541503906,181.25425415039064,89.45425415039062,7411.31,59.0,3.549003,611.316,480.0,1091.316,是,396.0,1487.316
T07,C,U08,C-B2,2,S002,O01,219.5,127.7,308.9542541503906,89.45425415039062,181.25425415039064,7411.31,0.0,2.304069,620.496,1487.316,2107.812,否（返航）,0.0,
T08,A,U03,A-B3,1,O01,S002,127.7,219.5,308.9542541503906,181.25425415039064,89.45425415039062,7411.31,22.0,1.660956,713.809,360.0,1073.809,是,210.0,1283.809
