架次编号,机型,无人机,电池,开始时刻_s,起飞时刻_s,访问顺序（每站箱数）,途经节点,服务区数,货箱数,总质量_kg,总体积_m3,总水平距离_m,总飞行时间_s,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,途经服务区坐标
T01,C,U07,C-B1,0.0,480.0,S002(6),O01-S002-O01,1,6,59.0,0.156,14822.621,1231.812,2107.812,5.853072,0.268366,4526.353,"S002(2838,6846)"
T02,A,U01,A-B1,0.0,360.0,S002(2),O01-S002-O01,1,2,22.0,0.055,14822.621,1433.738,2003.738,3.018691,0.32918,3375.804,"S002(2838,6846)"
T03,A,U02,A-B2,0.0,360.0,S006(2),O01-S006-O01,1,2,17.0,0.039,6372.416,743.478,1313.478,1.311566,0.708541,2192.375,"S006(-3185,-88)"
T04,C,U08,C-B2,0.0,540.0,S001(8),O01-S001-O01,1,8,76.0,0.195,6107.958,618.169,1626.169,2.917582,0.635302,3249.681,"S001(1269,2778)"
T05,C,U08,C-B3,1626.169,2136.169,S006(2)->S007(5),O01-S006-S007-O01,2,7,65.0,0.191,10228.11,1291.563,4039.732,4.29704,0.46287,6036.847,"S006(-3185,-88); S007(-3898,2316)"
T06,C,U07,C-B4,2107.812,2617.812,S001(7),O01-S001-O01,1,7,78.0,0.199,6107.958,618.169,3667.981,2.995769,0.625529,5312.669,"S001(1269,2778)"
T07,B,U05,B-B1,0.0,390.0,S010(3),O01-S010-O01,1,3,25.0,0.067,9568.99,925.38,1555.38,1.823196,0.544201,3012.098,"S010(4630,1207)"
T08,C,U07,C-B2,3667.981,4147.981,S005(6),O01-S005-O01,1,6,59.0,0.156,10561.214,1001.191,5545.172,4.222193,0.472226,7522.016,"S005(-261,5274)"
T09,B,U06,B-B2,0.0,390.0,S014(3),O01-S014-O01,1,3,25.0,0.067,10839.204,1239.756,1869.756,2.140388,0.464903,3463.925,"S014(5407,-364)"
T10,C,U08,C-B1,4526.353,4976.353,S003(5),O01-S003-O01,1,5,56.0,0.14400000000000002,14526.359,1560.091,6896.444,5.764965,0.279379,9291.122,"S003(-6354,3519)"
T11,B,U05,B-B3,1555.38,1945.38,S012(3),O01-S012-O01,1,3,25.0,0.067,14780.983,1292.74,3478.12,2.752414,0.311896,5337.499,"S012(5358,5090)"
T12,B,U06,B-B4,1869.756,2259.756,S013(3),O01-S013-O01,1,3,25.0,0.067,9698.485,880.472,3380.229,1.824759,0.54381,4837.624,"S013(4155,2501)"
T13,B,U06,B-B1,3380.229,3740.229,S008(2),O01-S008-O01,1,2,20.0,0.062,16158.066,1331.831,5282.06,2.763441,0.30914,7146.218,"S008(-1855,7863)"
T14,B,U05,B-B2,3478.12,3868.12,S003(3),O01-S003-O01,1,3,25.0,0.067,14526.359,1450.523,5558.643,2.779917,0.305021,7429.941,"S003(-6354,3519)"
T15,B,U06,B-B4,5282.06,5672.06,S015(3),O01-S015-O01,1,3,25.0,0.067,12018.766,1198.277,7110.337,2.307453,0.423137,8776.9,"S015(-3943,4535)"
T16,B,U05,B-B3,5558.643,5948.643,S008(3),O01-S008-O01,1,3,25.0,0.067,16158.066,1331.831,7520.475,2.975217,0.256196,9476.402,"S008(-1855,7863)"
T17,A,U03,A-B3,0.0,360.0,S006(2),O01-S006-O01,1,2,22.0,0.055,6372.416,743.478,1313.478,1.357048,0.698434,2205.514,"S006(-3185,-88)"
T18,C,U07,C-B4,5545.172,6025.172,S004(6),O01-S004-O01,1,6,59.0,0.156,15429.393,1425.057,7846.229,6.152932,0.230883,10345.981,"S004(750,7678)"
T19,B,U06,B-B1,7146.218,7536.218,S009(3),O01-S009-O01,1,3,25.0,0.067,11410.29,928.442,8704.66,2.096234,0.475942,10279.694,"S009(2387,5182)"
T20,B,U05,B-B2,7520.475,7910.475,S011(3),O01-S011-O01,1,3,25.0,0.067,5616.148,558.42,8708.895,1.073952,0.731512,9840.941,"S011(-1078,2593)"
