架次编号,机型,无人机,电池,航段序号,起点,终点,起点作业海拔_m,终点作业海拔_m,计划巡航海拔_m,起点爬升_m,终点下降_m,水平距离_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s,本段后是否投送,投送交接耗时_s,投送完成时刻_s
T01,C,U07,C-B1,1,O01,S002,127.7,219.5,308.9542541503906,181.25425415039064,89.45425415039062,7411.31,59.0,3.549003,611.316,480.0,1091.316,是,396.0,1487.316
T01,C,U07,C-B1,2,S002,O01,219.5,127.7,308.9542541503906,89.45425415039062,181.25425415039064,7411.31,0.0,2.304069,620.496,1487.316,2107.812,否（返航）,0.0,
T02,A,U01,A-B1,1,O01,S002,127.7,219.5,308.9542541503906,181.25425415039064,89.45425415039062,7411.31,22.0,1.660956,713.809,360.0,1073.809,是,210.0,1283.809
T02,A,U01,A-B1,2,S002,O01,219.5,127.7,308.9542541503906,89.45425415039062,181.25425415039064,7411.31,0.0,1.357735,719.929,1283.809,2003.738,否（返航）,0.0,
T03,A,U02,A-B2,1,O01,S006,127.7,314.8,366.09783935546875,238.39783935546876,51.29783935546874,3186.208,17.0,0.724458,365.502,360.0,725.502,是,210.0,935.502
T03,A,U02,A-B2,2,S006,O01,314.8,127.7,366.09783935546875,51.29783935546874,238.39783935546876,3186.208,0.0,0.587108,377.976,935.502,1313.478,否（返航）,0.0,
T04,C,U08,C-B2,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,76.0,1.954336,306.27,540.0,846.27,是,468.0,1314.27
T04,C,U08,C-B2,2,S001,O01,184.0,127.7,273.0566101074219,89.05661010742188,145.3566101074219,3053.979,0.0,0.963246,311.9,1314.27,1626.169,否（返航）,0.0,
T05,C,U08,C-B3,1,O01,S006,127.7,314.8,366.09783935546875,238.39783935546876,51.29783935546874,3186.208,65.0,1.740445,333.422,2136.169,2469.591,是,252.0,2721.591
T05,C,U08,C-B3,2,S006,S007,314.8,348.5,590.361328125,275.561328125,241.861328125,2507.442,45.0,1.118129,398.318,2721.591,3119.909,是,360.0,3479.909
T05,C,U08,C-B3,3,S007,O01,348.5,127.7,511.9731750488281,163.47317504882812,384.27317504882814,4534.461,0.0,1.438466,559.823,3479.909,4039.732,否（返航）,0.0,
T06,C,U07,C-B4,1,O01,S001,127.7,184.0,273.0566101074219,145.3566101074219,89.05661010742188,3053.979,78.0,2.032523,306.27,2617.812,2924.082,是,432.0,3356.082
T06,C,U07,C-B4,2,S001,O01,184.0,127.7,273.0566101074219,89.05661010742188,145.3566101074219,3053.979,0.0,0.963246,311.9,3356.082,3667.981,否（返航）,0.0,
T07,B,U05,B-B1,1,O01,S010,127.7,351.6,435.63653564453125,307.93653564453126,84.03653564453123,4784.495,25.0,1.119023,455.226,390.0,845.226,是,240.0,1085.226
T07,B,U05,B-B1,2,S010,O01,351.6,127.7,435.63653564453125,84.03653564453123,307.93653564453126,4784.495,0.0,0.704173,470.153,1085.226,1555.38,否（返航）,0.0,
T08,C,U07,C-B2,1,O01,S005,127.7,195.0,326.410888671875,198.710888671875,131.410888671875,5280.607,59.0,2.562626,497.23,4147.981,4645.212,是,396.0,5041.212
T08,C,U07,C-B2,2,S005,O01,195.0,127.7,326.410888671875,131.410888671875,198.710888671875,5280.607,0.0,1.659567,503.96,5041.212,5545.172,否（返航）,0.0,
T09,B,U06,B-B2,1,O01,S014,127.7,351.0,591.9473876953125,464.2473876953125,240.9473876953125,5419.602,25.0,1.306885,612.435,390.0,1002.435,是,240.0,1242.435
T09,B,U06,B-B2,2,S014,O01,351.0,127.7,591.9473876953125,240.9473876953125,464.2473876953125,5419.602,0.0,0.833504,627.322,1242.435,1869.756,否（返航）,0.0,
T10,C,U08,C-B1,1,O01,S003,127.7,338.5,561.8041381835938,434.10413818359376,223.30413818359375,7263.179,56.0,3.471065,769.506,4976.353,5745.858,是,360.0,6105.858
T10,C,U08,C-B1,2,S003,O01,338.5,127.7,561.8041381835938,223.30413818359375,434.10413818359376,7263.179,0.0,2.2939,790.586,6105.858,6896.444,否（返航）,0.0,
T11,B,U05,B-B3,1,O01,S012,127.7,279.8,413.3009948730469,285.6009948730469,133.50099487304686,7390.492,25.0,1.663788,641.3,1945.38,2586.68,是,240.0,2826.68
T11,B,U05,B-B3,2,S012,O01,279.8,127.7,413.3009948730469,133.50099487304686,285.6009948730469,7390.492,0.0,1.088627,651.44,2826.68,3478.12,否（返航）,0.0,
T12,B,U06,B-B4,1,O01,S013,127.7,351.7,399.18182373046875,271.48182373046876,47.48182373046876,4849.242,25.0,1.12033,432.769,2259.756,2692.526,是,240.0,2932.526
T12,B,U06,B-B4,2,S013,O01,351.7,127.7,399.18182373046875,47.48182373046876,271.48182373046876,4849.242,0.0,0.70443,447.703,2932.526,3380.229,否（返航）,0.0,
T13,B,U06,B-B1,1,O01,S008,127.7,270.9,372.9093322753906,245.20933227539064,102.00933227539065,8079.033,20.0,1.584199,661.142,3740.229,4401.371,是,210.0,4611.371
T13,B,U06,B-B1,2,S008,O01,270.9,127.7,372.9093322753906,102.00933227539065,245.20933227539064,8079.033,0.0,1.179243,670.689,4611.371,5282.06,否（返航）,0.0,
T14,B,U05,B-B2,1,O01,S003,127.7,338.5,561.8041381835938,434.10413818359376,223.30413818359375,7263.179,25.0,1.687386,718.235,3868.12,4586.355,是,240.0,4826.355
T14,B,U05,B-B2,2,S003,O01,338.5,127.7,561.8041381835938,223.30413818359375,434.10413818359376,7263.179,0.0,1.092531,732.288,4826.355,5558.643,否（返航）,0.0,
T15,B,U06,B-B4,1,O01,S015,127.7,474.5,571.7992553710938,444.09925537109376,97.29925537109375,6009.383,25.0,1.425033,587.578,5672.06,6259.638,是,240.0,6499.638
T15,B,U06,B-B4,2,S015,O01,474.5,127.7,571.7992553710938,97.29925537109375,444.09925537109376,6009.383,0.0,0.88242,610.698,6499.638,7110.337,否（返航）,0.0,
T16,B,U05,B-B3,1,O01,S008,127.7,270.9,372.9093322753906,245.20933227539064,102.00933227539065,8079.033,25.0,1.795974,661.142,5948.643,6609.786,是,240.0,6849.786
T16,B,U05,B-B3,2,S008,O01,270.9,127.7,372.9093322753906,102.00933227539065,245.20933227539064,8079.033,0.0,1.179243,670.689,6849.786,7520.475,否（返航）,0.0,
T17,A,U03,A-B3,1,O01,S006,127.7,314.8,366.09783935546875,238.39783935546876,51.29783935546874,3186.208,22.0,0.769941,365.502,360.0,725.502,是,210.0,935.502
T17,A,U03,A-B3,2,S006,O01,314.8,127.7,366.09783935546875,51.29783935546874,238.39783935546876,3186.208,0.0,0.587108,377.976,935.502,1313.478,否（返航）,0.0,
T18,C,U07,C-B4,1,O01,S004,127.7,228.3,398.2391662597656,270.53916625976564,169.9391662597656,7714.696,59.0,3.734222,707.498,6025.172,6732.67,是,396.0,7128.67
T18,C,U07,C-B4,2,S004,O01,228.3,127.7,398.2391662597656,169.9391662597656,270.53916625976564,7714.696,0.0,2.418711,717.558,7128.67,7846.229,否（返航）,0.0,
T19,B,U06,B-B1,1,O01,S009,127.7,230.0,293.2289123535156,165.52891235351564,63.228912353515625,5705.145,25.0,1.265658,460.811,7536.218,7997.029,是,240.0,8237.029
T19,B,U06,B-B1,2,S009,O01,230.0,127.7,293.2289123535156,63.228912353515625,165.52891235351564,5705.145,0.0,0.830575,467.631,8237.029,8704.66,否（返航）,0.0,
T20,B,U05,B-B2,1,O01,S011,127.7,212.1,295.36175537109375,167.66175537109376,83.26175537109376,2808.074,25.0,0.652315,276.397,7910.475,8186.872,是,240.0,8426.872
T20,B,U05,B-B2,2,S011,O01,212.1,127.7,295.36175537109375,83.26175537109376,167.66175537109376,2808.074,0.0,0.421636,282.024,8426.872,8708.895,否（返航）,0.0,
