架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U07,C,C-B1,0.0,S006,1561.553868,2.597988,0.675252,3098.508915,59.0,0.156,"S006-MED-01,S006-HYG-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-WAT-01"
T02,U08,C,C-B2,0.0,S001,1692.169077,2.917582,0.635302,3315.680952,76.0,0.231,"S001-MED-02,S001-FOD-01,S001-MED-01,S001-HYG-02,S001-WAT-08,S001-FOD-02,S001-WAT-06,S001-WAT-07,S001-HYG-01"
T03,U07,C,C-B3,1561.553868,S001,3055.722945,2.995769,0.625529,4700.410454,78.0,0.163,"S001-WAT-02,S001-WAT-05,S001-WAT-03,S001-FOD-03,S001-WAT-04,S001-WAT-01"
T04,U08,C,C-B4,1692.169077,S002,3799.981462,6.105656,0.236793,6286.929928,64.0,0.17200000000000001,"S002-WAT-02,S002-WAT-04,S002-FOD-01,S002-WAT-03,S002-HYG-01,S002-FOD-02"
T05,U07,C,C-B1,3098.508915,S007-S003,5792.101333,6.392209,0.200974,8356.658039,70.0,0.20700000000000002,"S007-HYG-01,S003-WAT-02,S003-WAT-03,S003-FOD-02,S003-WAT-04,S003-HYG-01,S003-FOD-01"
T06,U08,C,C-B2,3799.981462,S005,5677.171987,4.222193,0.472226,7654.015886,59.0,0.156,"S005-HYG-01,S005-FOD-01,S005-WAT-01,S005-WAT-03,S005-WAT-02,S005-MED-01"
T07,U05,B,B-B1,0.0,S012,1922.740351,2.752414,0.311896,3782.11988,25.0,0.067,"S012-FOD-01,S012-WAT-01,S012-MED-01"
T08,U06,B,B-B2,0.0,S014,1869.756416,2.140388,0.464903,3463.924759,25.0,0.067,"S014-MED-01,S014-WAT-01,S014-FOD-01"
T09,U06,B,B-B3,1869.756416,S004,3791.400053,2.668368,0.332908,5614.359736,20.0,0.062,"S004-WAT-01,S004-HYG-01"
T10,U05,B,B-B4,1922.740351,S010,3478.119917,1.823196,0.544201,4934.838052,25.0,0.067,"S010-MED-01,S010-WAT-01,S010-FOD-01"
T11,U05,B,B-B2,3478.119917,S008,5439.951352,2.975217,0.256196,7395.878514,25.0,0.067,"S008-MED-01,S008-FOD-01,S008-WAT-01"
T12,U06,B,B-B1,3791.400053,S008,5693.231489,2.763441,0.30914,7557.389366,20.0,0.062,"S008-HYG-01,S008-WAT-02"
T13,U01,A,A-B1,0.0,S013,1612.113738,2.025446,0.549901,2697.242479,22.0,0.055,"S013-FOD-01,S013-WAT-01"
T14,U02,A,A-B2,0.0,S007,1727.424085,1.970922,0.562017,2796.801665,22.0,0.055,"S007-FOD-01,S007-WAT-01"
T15,U03,A,A-B3,0.0,S002-S013,2463.451172,3.371662,0.250742,3937.48695,20.0,0.051000000000000004,"S002-WAT-01,S002-MED-01,S013-MED-01"
T16,U04,A,A-B4,0.0,S004,2178.800185,3.19112,0.290862,3600.679426,22.0,0.055,"S004-WAT-03,S004-FOD-01"
T17,U01,A,A-B5,1612.113738,S015,3580.703141,2.557694,0.431623,4819.592655,22.0,0.055,"S015-WAT-01,S015-FOD-01"
T18,U02,A,A-B6,1727.424085,S007-S011,3764.825233,2.150375,0.522139,4886.04464,20.0,0.051000000000000004,"S007-WAT-02,S007-MED-01,S011-MED-01"
T19,U03,A,A-B1,2697.242479,S003-S015,5300.574896,3.297219,0.267285,6753.104789,20.0,0.051000000000000004,"S003-MED-01,S003-WAT-01,S015-MED-01"
T20,U04,A,A-B2,2796.801665,S004-S009,5259.714041,3.324988,0.261114,6720.266119,20.0,0.051000000000000004,"S004-WAT-02,S004-MED-01,S009-MED-01"
T21,U01,A,A-B4,3600.679426,S009,5289.292658,2.331316,0.48193,6462.784065,22.0,0.055,"S009-FOD-01,S009-WAT-01"
T22,U02,A,A-B3,3937.48695,S011,5159.509897,1.191299,0.735267,6003.662831,22.0,0.055,"S011-FOD-01,S011-WAT-01"
