货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T02,S001,1182.269539,应急食品,7200.0,,0.0
S001-FOD-02,T01,S001,1314.269539,应急食品,7200.0,,0.0
S001-FOD-03,T22,S001,4767.204968,应急食品,7200.0,,0.0
S001-HYG-01,T01,S001,1314.269539,生活卫生用品,10800.0,,0.0
S001-HYG-02,T02,S001,1182.269539,生活卫生用品,10800.0,,0.0
S001-MED-01,T01,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T01,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T02,S001,1182.269539,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T02,S001,1182.269539,饮用水,3600.0,,0.0
S001-WAT-03,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-04,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-05,T02,S001,1182.269539,饮用水,3600.0,,0.0
S001-WAT-06,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-07,T01,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-08,T02,S001,1182.269539,饮用水,3600.0,,0.0
S002-FOD-01,T03,S002,2981.48527,应急食品,7200.0,,0.0
S002-FOD-02,T18,S002,3011.233075,应急食品,7200.0,,0.0
S002-HYG-01,T03,S002,2981.48527,生活卫生用品,10800.0,,0.0
S002-MED-01,T03,S002,2981.48527,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T03,S002,2981.48527,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T03,S002,2981.48527,饮用水,3600.0,,0.0
S002-WAT-03,T18,S002,3011.233075,饮用水,3600.0,,0.0
S002-WAT-04,T03,S002,2981.48527,饮用水,3600.0,,0.0
S003-FOD-01,T21,S003,4901.932409,应急食品,10800.0,,0.0
S003-FOD-02,T05,S003,5090.729689,应急食品,10800.0,,0.0
S003-HYG-01,T05,S003,5090.729689,生活卫生用品,14400.0,,0.0
S003-MED-01,T05,S003,5090.729689,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T05,S003,5090.729689,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T05,S003,5090.729689,饮用水,7200.0,,0.0
S003-WAT-03,T21,S003,4901.932409,饮用水,7200.0,,0.0
S003-WAT-04,T05,S003,5090.729689,饮用水,7200.0,,0.0
S004-FOD-01,T06,S004,5185.479808,应急食品,10800.0,,0.0
S004-HYG-01,T06,S004,5185.479808,生活卫生用品,14400.0,,0.0
S004-MED-01,T06,S004,5185.479808,医疗物资,7200.0,7200.0,0.0
S004-WAT-01,T06,S004,5185.479808,饮用水,7200.0,7200.0,0.0
S004-WAT-02,T06,S004,5185.479808,饮用水,7200.0,,0.0
S004-WAT-03,T06,S004,5185.479808,饮用水,7200.0,,0.0
S005-FOD-01,T23,S005,5315.338792,应急食品,14400.0,,0.0
S005-HYG-01,T14,S005,1158.851896,生活卫生用品,18000.0,,0.0
S005-MED-01,T14,S005,1158.851896,医疗物资,10800.0,10800.0,0.0
S005-WAT-01,T23,S005,5315.338792,饮用水,10800.0,10800.0,0.0
S005-WAT-02,T22,S005,5283.709524,饮用水,10800.0,,0.0
S005-WAT-03,T15,S005,1098.851896,饮用水,10800.0,,0.0
S006-FOD-01,T04,S006,2835.591011,应急食品,7200.0,,0.0
S006-HYG-01,T04,S006,2835.591011,生活卫生用品,10800.0,,0.0
S006-MED-01,T04,S006,2835.591011,医疗物资,3600.0,3600.0,0.0
S006-WAT-01,T04,S006,2835.591011,饮用水,3600.0,3600.0,0.0
S006-WAT-02,T04,S006,2835.591011,饮用水,3600.0,,0.0
S006-WAT-03,T04,S006,2835.591011,饮用水,3600.0,,0.0
S007-FOD-01,T19,S007,3250.442116,应急食品,7200.0,,0.0
S007-HYG-01,T05,S007,4451.466174,生活卫生用品,10800.0,,0.0
S007-MED-01,T16,S007,1141.352042,医疗物资,3600.0,3600.0,0.0
S007-WAT-01,T16,S007,1141.352042,饮用水,3600.0,3600.0,0.0
S007-WAT-02,T19,S007,3250.442116,饮用水,3600.0,,0.0
S008-FOD-01,T15,S008,1627.816691,应急食品,10800.0,,0.0
S008-HYG-01,T10,S008,3100.898801,生活卫生用品,14400.0,,0.0
S008-MED-01,T20,S008,4143.649446,医疗物资,7200.0,7200.0,0.0
S008-WAT-01,T20,S008,4143.649446,饮用水,7200.0,7200.0,0.0
S008-WAT-02,T10,S008,3100.898801,饮用水,7200.0,,0.0
S009-FOD-01,T11,S009,4156.662757,应急食品,14400.0,,0.0
S009-MED-01,T11,S009,4156.662757,医疗物资,10800.0,10800.0,0.0
S009-WAT-01,T11,S009,4156.662757,饮用水,10800.0,10800.0,0.0
S010-FOD-01,T09,S010,2595.698775,应急食品,7200.0,,0.0
S010-MED-01,T09,S010,2595.698775,医疗物资,3600.0,3600.0,0.0
