架次编号,无人机编号,机型编号,电池编号,开始时刻_s,访问服务区顺序,返回O01时刻_s,架次能耗_kWh,返航SOC,电池充满时刻_s,总质量_kg,总体积_m3,货箱编号列表
T01,U01,A,A-B1,0.0,S007,1727.424085,1.970922,0.562017,2796.801665,22.0,0.055,"S007-WAT-02,S007-FOD-01"
T02,U05,B,B-B1,0.0,S010,1555.379566,1.823196,0.544201,3012.097702,25.0,0.067,"S010-MED-01,S010-WAT-01,S010-FOD-01"
T03,U06,B,B-B2,0.0,S013,1510.472325,1.824759,0.54381,2967.86801,25.0,0.067,"S013-WAT-01,S013-MED-01,S013-FOD-01"
T04,U02,A,A-B2,0.0,S002-S012,2638.607707,3.593821,0.201373,4176.822772,20.0,0.051000000000000004,"S002-WAT-04,S002-MED-01,S012-MED-01"
T05,U07,C,C-B1,0.0,S006,1561.553868,2.597988,0.675252,3098.508915,59.0,0.156,"S006-WAT-03,S006-FOD-01,S006-WAT-02,S006-MED-01,S006-HYG-01,S006-WAT-01"
T06,U06,B,B-B3,1510.472325,S008,3472.303761,2.975217,0.256196,5428.230922,25.0,0.067,"S008-FOD-01,S008-MED-01,S008-WAT-02"
T07,U05,B,B-B4,1555.379566,S014,3425.135982,2.140388,0.464903,5019.304324,25.0,0.067,"S014-MED-01,S014-FOD-01,S014-WAT-01"
T08,U08,C,C-B2,0.0,S001,1626.169077,2.995769,0.625529,3270.856586,78.0,0.188,"S001-WAT-03,S001-FOD-03,S001-WAT-02,S001-MED-02,S001-WAT-01,S001-FOD-01,S001-MED-01,S001-WAT-08"
T09,U05,B,B-B1,3425.135982,S008,5326.967418,2.763441,0.30914,7191.125295,20.0,0.062,"S008-HYG-01,S008-WAT-01"
T10,U07,C,C-B3,1561.553868,S001,3121.722945,2.917582,0.635302,4745.23482,76.0,0.20600000000000002,"S001-WAT-07,S001-WAT-04,S001-FOD-02,S001-WAT-06,S001-HYG-01,S001-HYG-02,S001-WAT-05"
T11,U06,B,B-B2,3472.303761,S015,5300.580398,2.307453,0.423137,6967.143289,25.0,0.067,"S015-MED-01,S015-WAT-01,S015-FOD-01"
T12,U03,A,A-B3,0.0,S012,2109.090074,3.058457,0.320343,3492.644436,22.0,0.055,"S012-WAT-01,S012-FOD-01"
T13,U04,A,A-B4,0.0,S003,2262.629279,3.083593,0.314757,3653.444967,22.0,0.055,"S003-FOD-01,S003-WAT-04"
T14,U08,C,C-B4,1626.169077,S002,3733.981462,6.105656,0.236793,6220.929928,64.0,0.17200000000000001,"S002-HYG-01,S002-WAT-01,S002-WAT-03,S002-WAT-02,S002-FOD-02,S002-FOD-01"
T15,U01,A,A-B5,1727.424085,S007,3454.848169,1.905343,0.57659,4505.280594,17.0,0.039,"S007-MED-01,S007-WAT-01"
T16,U07,C,C-B1,3121.722945,S005,4998.91347,4.222193,0.472226,6975.757369,59.0,0.156,"S005-WAT-02,S005-MED-01,S005-HYG-01,S005-WAT-03,S005-WAT-01,S005-FOD-01"
T17,U06,B,B-B4,5300.580398,S009,6859.022131,2.096234,0.475942,8434.056749,25.0,0.067,"S009-FOD-01,S009-WAT-01,S009-MED-01"
T18,U05,B,B-B3,5428.230922,S011,6616.651394,1.073952,0.731512,7748.697159,25.0,0.067,"S011-MED-01,S011-WAT-01,S011-FOD-01"
T19,U08,C,C-B2,3733.981462,S007-S003,6427.57388,6.100851,0.237394,8913.221068,65.0,0.191,"S007-HYG-01,S003-WAT-02,S003-MED-01,S003-WAT-01,S003-FOD-02,S003-HYG-01,S003-WAT-03"
T20,U07,C,C-B3,4998.91347,S004,7299.970162,6.152932,0.230883,9799.722584,59.0,0.156,"S004-MED-01,S004-FOD-01,S004-WAT-02,S004-WAT-03,S004-HYG-01,S004-WAT-01"
