货箱编号,架次编号,服务区编号,交付完成时刻_s,物资类型,期望送达时间_s,硬截止时间_s,加权延误
S001-FOD-01,T08,S001,1314.269539,应急食品,7200.0,,0.0
S001-FOD-02,T10,S001,2809.823407,应急食品,7200.0,,0.0
S001-FOD-03,T08,S001,1314.269539,应急食品,7200.0,,0.0
S001-HYG-01,T10,S001,2809.823407,生活卫生用品,10800.0,,0.0
S001-HYG-02,T10,S001,2809.823407,生活卫生用品,10800.0,,0.0
S001-MED-01,T08,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-MED-02,T08,S001,1314.269539,医疗物资,3600.0,3600.0,0.0
S001-WAT-01,T08,S001,1314.269539,饮用水,3600.0,3600.0,0.0
S001-WAT-02,T08,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-03,T08,S001,1314.269539,饮用水,3600.0,,0.0
S001-WAT-04,T10,S001,2809.823407,饮用水,3600.0,,0.0
S001-WAT-05,T10,S001,2809.823407,饮用水,3600.0,,0.0
S001-WAT-06,T10,S001,2809.823407,饮用水,3600.0,,0.0
S001-WAT-07,T10,S001,2809.823407,饮用水,3600.0,,0.0
S001-WAT-08,T08,S001,1314.269539,饮用水,3600.0,,0.0
S002-FOD-01,T14,S002,3113.48527,应急食品,7200.0,,0.0
S002-FOD-02,T14,S002,3113.48527,应急食品,7200.0,,0.0
S002-HYG-01,T14,S002,3113.48527,生活卫生用品,10800.0,,0.0
S002-MED-01,T04,S002,1313.808991,医疗物资,3600.0,3600.0,0.0
S002-WAT-01,T14,S002,3113.48527,饮用水,3600.0,3600.0,0.0
S002-WAT-02,T14,S002,3113.48527,饮用水,3600.0,,0.0
S002-WAT-03,T14,S002,3113.48527,饮用水,3600.0,,0.0
S002-WAT-04,T04,S002,1313.808991,饮用水,3600.0,,0.0
S003-FOD-01,T13,S003,1409.287973,应急食品,10800.0,,0.0
S003-FOD-02,T19,S003,5636.988206,应急食品,10800.0,,0.0
S003-HYG-01,T19,S003,5636.988206,生活卫生用品,14400.0,,0.0
S003-MED-01,T19,S003,5636.988206,医疗物资,7200.0,7200.0,0.0
S003-WAT-01,T19,S003,5636.988206,饮用水,7200.0,7200.0,0.0
S003-WAT-02,T19,S003,5636.988206,饮用水,7200.0,,0.0
S003-WAT-03,T19,S003,5636.988206,饮用水,7200.0,,0.0
S003-WAT-04,T13,S003,1409.287973,饮用水,7200.0,,0.0
S004-FOD-01,T20,S004,6582.411816,应急食品,10800.0,,0.0
S004-HYG-01,T20,S004,6582.411816,生活卫生用品,14400.0,,0.0
S004-MED-01,T20,S004,6582.411816,医疗物资,7200.0,7200.0,0.0
S004-WAT-01,T20,S004,6582.411816,饮用水,7200.0,7200.0,0.0
S004-WAT-02,T20,S004,6582.411816,饮用水,7200.0,,0.0
S004-WAT-03,T20,S004,6582.411816,饮用水,7200.0,,0.0
S005-FOD-01,T16,S005,4494.953208,应急食品,14400.0,,0.0
S005-HYG-01,T16,S005,4494.953208,生活卫生用品,18000.0,,0.0
S005-MED-01,T16,S005,4494.953208,医疗物资,10800.0,10800.0,0.0
S005-WAT-01,T16,S005,4494.953208,饮用水,10800.0,10800.0,0.0
S005-WAT-02,T16,S005,4494.953208,饮用水,10800.0,,0.0
S005-WAT-03,T16,S005,4494.953208,饮用水,10800.0,,0.0
S006-FOD-01,T05,S006,1209.421934,应急食品,7200.0,,0.0
S006-HYG-01,T05,S006,1209.421934,生活卫生用品,10800.0,,0.0
S006-MED-01,T05,S006,1209.421934,医疗物资,3600.0,3600.0,0.0
S006-WAT-01,T05,S006,1209.421934,饮用水,3600.0,3600.0,0.0
S006-WAT-02,T05,S006,1209.421934,饮用水,3600.0,,0.0
S006-WAT-03,T05,S006,1209.421934,饮用水,3600.0,,0.0
S007-FOD-01,T01,S007,1141.352042,应急食品,7200.0,,0.0
S007-HYG-01,T19,S007,4997.724691,生活卫生用品,10800.0,,0.0
S007-MED-01,T15,S007,2868.776127,医疗物资,3600.0,3600.0,0.0
S007-WAT-01,T15,S007,2868.776127,饮用水,3600.0,3600.0,0.0
S007-WAT-02,T01,S007,1141.352042,饮用水,3600.0,,0.0
S008-FOD-01,T07,S008,2846.52195,应急食品,10800.0,,0.0
S008-HYG-01,T11,S008,4748.353386,生活卫生用品,14400.0,,0.0
S008-MED-01,T07,S008,2846.52195,医疗物资,7200.0,7200.0,0.0
S008-WAT-01,T11,S008,4748.353386,饮用水,7200.0,7200.0,0.0
S008-WAT-02,T07,S008,2846.52195,饮用水,7200.0,,0.0
S009-FOD-01,T17,S009,6299.316245,应急食品,14400.0,,0.0
S009-MED-01,T17,S009,6299.316245,医疗物资,10800.0,10800.0,0.0
S009-WAT-01,T17,S009,6299.316245,饮用水,10800.0,10800.0,0.0
S010-FOD-01,T02,S010,1085.22645,应急食品,7200.0,,0.0
S010-MED-01,T02,S010,1085.22645,医疗物资,3600.0,3600.0,0.0
S010-WAT-01,T02,S010,1085.22645,饮用水,3600.0,3600.0,0.0
S011-FOD-01,T18,S011,6379.535066,应急食品,14400.0,,0.0
S011-MED-01,T18,S011,6379.535066,医疗物资,10800.0,10800.0,0.0
S011-WAT-01,T18,S011,6379.535066,饮用水,10800.0,10800.0,0.0
S012-FOD-01,T12,S012,1334.475037,应急食品,7200.0,,0.0
S012-MED-01,T04,S012,1863.992671,医疗物资,7200.0,3600.0,0.0
S012-WAT-01,T12,S012,1334.475037,饮用水,3600.0,3600.0,0.0
S013-FOD-01,T03,S013,1062.769496,应急食品,7200.0,,0.0
S013-MED-01,T03,S013,1062.769496,医疗物资,3600.0,3600.0,0.0
S013-WAT-01,T03,S013,1062.769496,饮用水,3600.0,3600.0,0.0
S014-FOD-01,T06,S014,2752.9072,应急食品,7200.0,,0.0
S014-MED-01,T06,S014,2752.9072,医疗物资,7200.0,3600.0,0.0
S014-WAT-01,T06,S014,2752.9072,饮用水,3600.0,3600.0,0.0
S015-FOD-01,T09,S015,4597.80706,应急食品,14400.0,,0.0
S015-MED-01,T09,S015,4597.80706,医疗物资,7200.0,7200.0,0.0
S015-WAT-01,T09,S015,4597.80706,饮用水,10800.0,10800.0,0.0
