架次编号,航段序号,起点,终点,水平距离_m,起点爬升_m,终点下降_m,航段载重_kg,航段能耗_kWh,航段飞行时间_s,起飞时刻_s,到达时刻_s
T01,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,22.0,1.11141,571.352,360.0,931.352
T01,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,1141.352,1727.424
T02,1,O01,S010,4784.495,307.93653564453126,84.03653564453123,25.0,1.119023,455.226,390.0,845.226
T02,2,S010,O01,4784.495,84.03653564453123,307.93653564453126,0.0,0.704173,470.153,1085.226,1555.38
T03,1,O01,S013,4849.242,271.48182373046876,47.48182373046876,25.0,1.12033,432.769,390.0,822.769
T03,2,S013,O01,4849.242,47.48182373046876,271.48182373046876,0.0,0.70443,447.703,1062.769,1510.472
T04,1,O01,S002,7411.31,181.25425415039064,89.45425415039062,20.0,1.618571,713.809,390.0,1103.809
T04,2,S002,S012,3071.276,188.67825317382812,128.3782531738281,3.0,0.609593,370.184,1313.809,1683.993
T04,3,S012,O01,7390.492,133.50099487304686,285.6009948730469,0.0,1.365657,774.615,1863.993,2638.608
T05,1,O01,S006,3186.208,238.39783935546876,51.29783935546874,59.0,1.604045,333.422,480.0,813.422
T05,2,S006,O01,3186.208,51.29783935546874,238.39783935546876,0.0,0.993943,352.132,1209.422,1561.554
T06,1,O01,S014,5419.602,464.2473876953125,240.9473876953125,25.0,1.306885,612.435,1900.472,2512.907
T06,2,S014,O01,5419.602,240.9473876953125,464.2473876953125,0.0,0.833504,627.322,2752.907,3380.229
T07,1,O01,S008,8079.033,245.20933227539064,102.00933227539065,25.0,1.795974,661.142,1945.38,2606.522
T07,2,S008,O01,8079.033,102.00933227539065,245.20933227539064,0.0,1.179243,670.689,2846.522,3517.211
T08,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,78.0,2.032523,306.27,540.0,846.27
T08,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,1314.27,1626.169
T09,1,O01,S015,6009.383,444.09925537109376,97.29925537109375,25.0,1.425033,587.578,3770.229,4357.807
T09,2,S015,O01,6009.383,97.29925537109375,444.09925537109376,0.0,0.88242,610.698,4597.807,5208.505
T10,1,O01,S001,3053.979,145.3566101074219,89.05661010742188,76.0,1.954336,306.27,2071.554,2377.823
T10,2,S001,O01,3053.979,89.05661010742188,145.3566101074219,0.0,0.963246,311.9,2809.823,3121.723
T11,1,O01,S008,8079.033,245.20933227539064,102.00933227539065,20.0,1.584199,661.142,3877.211,4538.353
T11,2,S008,O01,8079.033,102.00933227539065,245.20933227539064,0.0,1.179243,670.689,4748.353,5419.042
T12,1,O01,S012,7390.492,285.6009948730469,133.50099487304686,22.0,1.6928,764.475,360.0,1124.475
T12,2,S012,O01,7390.492,133.50099487304686,285.6009948730469,0.0,1.365657,774.615,1334.475,2109.09
T13,1,O01,S003,7263.179,434.10413818359376,223.30413818359375,22.0,1.71706,839.288,360.0,1199.288
T13,2,S003,O01,7263.179,223.30413818359375,434.10413818359376,0.0,1.366532,853.341,1409.288,2262.629
T14,1,O01,S002,7411.31,181.25425415039064,89.45425415039062,64.0,3.801587,611.316,2106.169,2717.485
T14,2,S002,O01,7411.31,89.45425415039062,181.25425415039064,0.0,2.304069,620.496,3113.485,3733.981
T15,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,17.0,1.045831,571.352,2087.424,2658.776
T15,2,S007,O01,4534.461,163.47317504882812,384.27317504882814,0.0,0.859512,586.072,2868.776,3454.848
T16,1,O01,S005,5280.607,198.710888671875,131.410888671875,59.0,2.562626,497.23,3601.723,4098.953
T16,2,S005,O01,5280.607,131.410888671875,198.710888671875,0.0,1.659567,503.96,4494.953,4998.913
T17,1,O01,S009,5705.145,165.52891235351564,63.228912353515625,25.0,1.265658,460.811,5598.505,6059.316
T17,2,S009,O01,5705.145,63.228912353515625,165.52891235351564,0.0,0.830575,467.631,6299.316,6766.947
T18,1,O01,S011,2808.074,167.66175537109376,83.26175537109376,25.0,0.652315,276.397,5863.138,6139.535
T18,2,S011,O01,2808.074,83.26175537109376,167.66175537109376,0.0,0.421636,282.024,6379.535,6661.559
T19,1,O01,S007,4534.461,384.27317504882814,163.47317504882812,65.0,2.499893,537.743,4243.981,4781.725
T19,2,S007,S003,2734.262,62.1993408203125,72.1993408203125,59.0,1.307058,243.264,4997.725,5240.988
T19,3,S003,O01,7263.179,223.30413818359375,434.10413818359376,0.0,2.2939,790.586,5636.988,6427.574
T20,1,O01,S004,7714.696,270.53916625976564,169.9391662597656,59.0,3.734222,707.498,5478.913,6186.412
T20,2,S004,O01,7714.696,169.9391662597656,270.53916625976564,0.0,2.418711,717.558,6582.412,7299.97
